date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,120700.0,14048.0,-390.0,349.0,1217986.0,13.09
2025-06-17,120000.0,18441.0,3593.0,-6456.0,1211120.0,13.02
2025-06-18,116400.0,36315.0,-10501.0,-7796.0,1202395.0,12.92
2025-06-19,115800.0,21277.0,-2787.0,618.0,1202560.0,12.93
2025-06-20,117100.0,16234.0,1345.0,-1071.0,1201663.0,12.92
2025-06-23,114500.0,28260.0,-8275.0,-2984.0,1200603.0,12.9
2025-06-24,117300.0,38511.0,-13077.0,17571.0,1221203.0,13.13
2025-06-25,116900.0,21538.0,-5433.0,-40.0,1219821.0,13.11
2025-06-26,115500.0,32640.0,-9892.0,-692.0,1219329.0,13.11
2025-06-27,114000.0,29983.0,-6226.0,-1004.0,1217849.0,13.09
2025-06-30,115500.0,32470.0,-10016.0,15107.0,1235617.0,13.28
2025-07-01,119500.0,30293.0,-4171.0,16955.0,1253747.0,13.48
2025-07-02,124000.0,33704.0,11514.0,1086.0,1255508.0,13.49
2025-07-03,123900.0,18062.0,3532.0,-2075.0,1253142.0,13.47
2025-07-04,121300.0,12176.0,-871.0,-2248.0,1250998.0,13.45
2025-07-07,126600.0,41467.0,1833.0,4824.0,1256013.0,13.5
2025-07-08,124000.0,21886.0,-1608.0,-5795.0,1248772.0,13.42
2025-07-09,126100.0,15778.0,3968.0,-3373.0,1245393.0,13.39
2025-07-10,125500.0,21643.0,4528.0,-1588.0,1244087.0,13.37
2025-07-11,124300.0,16086.0,-1112.0,-1391.0,1242190.0,13.35
2025-07-14,124200.0,24616.0,-3656.0,6550.0,1249527.0,13.43
2025-07-15,123800.0,16278.0,1185.0,-4073.0,1244761.0,13.38
2025-07-16,120800.0,25706.0,5330.0,-7817.0,1235061.0,13.27
2025-07-17,120600.0,12019.0,-37.0,-2902.0,1227242.0,13.19
2025-07-18,120700.0,14592.0,-2544.0,-762.0,1226437.0,13.18
2025-07-21,123500.0,14600.0,-53.0,-325.0,1226781.0,13.19
2025-07-22,124200.0,22845.0,10157.0,-3569.0,1223182.0,13.15
2025-07-23,123300.0,17252.0,9259.0,-6309.0,1216332.0,13.07
2025-07-24,122800.0,18803.0,8305.0,-8592.0,1206777.0,12.97
2025-07-25,122000.0,10725.0,4988.0,-5107.0,1200784.0,12.91
2025-07-28,121000.0,17833.0,6615.0,-5891.0,1194776.0,12.84
2025-07-29,122400.0,14660.0,3882.0,-1098.0,1189795.0,12.79
2025-07-30,124600.0,14739.0,5937.0,-1650.0,1188178.0,12.77
2025-07-31,123400.0,8422.0,1575.0,-1973.0,1186198.0,12.75
2025-08-01,120200.0,14315.0,2901.0,-4180.0,1182448.0,12.71
2025-08-04,122900.0,12997.0,2078.0,1808.0,1185965.0,12.75
2025-08-05,117000.0,45726.0,6149.0,-10169.0,1175058.0,12.63
2025-08-06,119900.0,21117.0,3634.0,1677.0,1177887.0,12.66
2025-08-07,118400.0,17802.0,-3980.0,-2538.0,1172683.0,12.6
2025-08-08,119500.0,11841.0,2772.0,299.0,1173320.0,12.61
2025-08-11,117600.0,11495.0,338.0,-3731.0,1169709.0,12.57
2025-08-12,116500.0,12856.0,1799.0,-6577.0,1159118.0,12.46
2025-08-13,116300.0,17830.0,-4702.0,258.0,1159555.0,12.46
2025-08-14,116300.0,7570.0,267.0,-4275.0,1153248.0,12.4
2025-08-18,116000.0,8017.0,-201.0,-1246.0,1151943.0,12.38
2025-08-19,116200.0,7243.0,2161.0,-1150.0,1152098.0,12.38
