날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,9020,3.02,0.29,855,0.0,0
2023-06-08,9020,3.09,0.29,855,0.0,0
2023-06-09,9020,3.11,0.29,855,0.0,0
2023-06-12,9020,3.13,0.3,855,0.0,0
2023-06-13,9020,3.13,0.3,855,0.0,0
2023-06-14,9020,3.13,0.3,855,0.0,0
2023-06-15,9020,3.06,0.29,855,0.0,0
2023-06-16,9020,3.09,0.29,855,0.0,0
2023-06-19,9020,2.99,0.28,855,0.0,0
2023-06-20,9020,2.99,0.28,855,0.0,0
2023-06-21,9020,3.06,0.29,855,0.0,0
2023-06-22,9020,3.03,0.29,855,0.0,0
2023-06-23,9020,2.93,0.28,855,0.0,0
2023-06-26,9020,2.99,0.28,855,0.0,0
2023-06-27,9020,3.02,0.29,855,0.0,0
2023-06-28,9020,3.07,0.29,855,0.0,0
2023-06-29,9020,2.96,0.28,855,0.0,0
2023-06-30,9020,3.02,0.29,855,0.0,0
2023-07-03,9020,3.03,0.29,855,0.0,0
2023-07-04,9020,2.94,0.28,855,0.0,0
2023-07-05,9020,2.94,0.28,855,0.0,0
2023-07-06,9020,2.85,0.27,855,0.0,0
2023-07-07,9020,2.81,0.27,855,0.0,0
2023-07-10,9020,2.87,0.27,855,0.0,0
2023-07-11,9020,2.94,0.28,855,0.0,0
2023-07-12,9020,2.91,0.28,855,0.0,0
2023-07-13,9020,2.9,0.27,855,0.0,0
2023-07-14,9020,2.92,0.28,855,0.0,0
2023-07-17,9020,2.9,0.27,855,0.0,0
2023-07-18,9020,2.87,0.27,855,0.0,0
2023-07-19,9020,2.83,0.27,855,0.0,0
2023-07-20,9020,2.84,0.27,855,0.0,0
2023-07-21,9020,2.87,0.27,855,0.0,0
2023-07-24,9020,2.8,0.27,855,0.0,0
2023-07-25,9020,2.78,0.26,855,0.0,0
2023-07-26,9020,2.71,0.26,855,0.0,0
2023-07-27,9020,2.77,0.26,855,0.0,0
2023-07-28,9020,2.74,0.26,855,0.0,0
2023-07-31,9020,2.77,0.26,855,0.0,0
2023-08-01,9020,2.8,0.27,855,0.0,0
2023-08-02,9020,2.8,0.27,855,0.0,0
2023-08-03,9020,2.79,0.26,855,0.0,0
2023-08-04,9020,2.85,0.27,855,0.0,0
2023-08-07,9020,2.91,0.28,855,0.0,0
2023-08-08,9020,2.91,0.28,855,0.0,0
