Price,Close,High,Low,Open,Volume
Ticker,EEM,EEM,EEM,EEM,EEM
Date,,,,,
2016-06-06,27.428653717041016,27.47671598859081,27.220373687521,27.2444048232959,110069500
2016-06-07,27.676977157592773,27.709020701725347,27.58084958103562,27.60488071121477,59934000
2016-06-08,27.87725257873535,27.925317908476032,27.765103198515195,27.861230802155127,75850100
2016-06-09,27.556825637817383,27.62090968695541,27.460694980348297,27.500750948881095,54934300
2016-06-10,26.859891891479492,27.116234197509996,26.795807842892533,26.996075460468948,77417500
2016-06-13,26.483386993408203,26.731716847316882,26.45134344585841,26.507418126150103,56865500
2016-06-14,26.395275115966797,26.531455642055555,26.178985701730273,26.403284476860758,71023800
2016-06-15,26.675643920898438,26.907955072147125,26.57951632776974,26.66763456140483,64707000
2016-06-16,26.57951545715332,26.60354659068808,26.026777994966945,26.195002041392232,73981900
2016-06-17,26.6516170501709,26.667638827562282,26.451349416540978,26.627585912004612,56740400
2016-06-20,27.124244689941406,27.300481158779892,27.100213555405656,27.156288239883153,78204200
2016-06-21,27.33252716064453,27.4126360516416,27.100219016357364,27.252421325489195,75173100
2016-06-22,27.401954650878906,27.579575856440798,27.353514743799604,27.51498828705117,67273500
2016-06-23,28.063993453979492,28.063993453979492,27.652238843848167,27.773344771455328,70159900
2016-06-24,26.36045265197754,27.01441593815393,26.295862012436007,26.449260161570336,158566000
2016-06-27,26.021360397338867,26.247421497257623,25.74685631321545,26.239349206482594,101826000
2016-06-28,26.78835678100586,26.804504442049527,26.546148025053743,26.643030911464304,68332900
2016-06-29,27.466543197631836,27.466543197631836,27.256626683517826,27.30506966674062,82587300
2016-06-30,27.741046905517578,27.813709839455136,27.458467460270903,27.587645667287518,92761700
2016-07-01,28.007478713989258,28.055921701933467,27.88637586390634,27.950963434646884,66514800
2016-07-05,27.4100284576416,27.644164928001384,27.36966084409545,27.619941895992497,63420200
2016-07-06,27.337364196777344,27.337364196777344,26.909461970187994,27.038640175187684,61084500
2016-07-07,27.264707565307617,27.547283991599066,27.18396924361573,27.46654874975924,49586800
2016-07-08,27.854082107543945,27.8621543993968,27.53921036780019,27.571505694915423,74907900
2016-07-11,28.120508193969727,28.217391075679036,28.07206521318943,28.088212873449528,70202000
2016-07-12,28.516122817993164,28.604933433563442,28.41116453778719,28.491902860965677,89275200
