DATE,USALOLITONOSTSAM
1999-06-01,100.9379
1999-07-01,101.0074
1999-08-01,101.0579
1999-09-01,101.1023
1999-10-01,101.148
1999-11-01,101.1954
1999-12-01,101.2284
2000-01-01,101.2235
2000-02-01,101.1658
2000-03-01,101.0802
2000-04-01,100.9746
2000-05-01,100.8442
2000-06-01,100.697
2000-07-01,100.5336
2000-08-01,100.3411
2000-09-01,100.1168
2000-10-01,99.84575
2000-11-01,99.53703
2000-12-01,99.20428
2001-01-01,98.90028
2001-02-01,98.66687
2001-03-01,98.51558
2001-04-01,98.43899
2001-05-01,98.41459
2001-06-01,98.39322
2001-07-01,98.35278
2001-08-01,98.29589
2001-09-01,98.25891
2001-10-01,98.30439
2001-11-01,98.45556
2001-12-01,98.69349
2002-01-01,98.9692
2002-02-01,99.23076
2002-03-01,99.42764
2002-04-01,99.5098
2002-05-01,99.45938
2002-06-01,99.28414
2002-07-01,99.03129
2002-08-01,98.76104
2002-09-01,98.51003
2002-10-01,98.31223
2002-11-01,98.18129
2002-12-01,98.0932
2003-01-01,98.02883
2003-02-01,97.99784
2003-03-01,98.02911
2003-04-01,98.1471
2003-05-01,98.34695
2003-06-01,98.60476
2003-07-01,98.90762
2003-08-01,99.2458
2003-09-01,99.60869
2003-10-01,99.97696
2003-11-01,100.3207
2003-12-01,100.6097
2004-01-01,100.8281
2004-02-01,100.959
2004-03-01,101.0171
2004-04-01,101.0155
2004-05-01,100.9738
2004-06-01,100.901
2004-07-01,100.8032
2004-08-01,100.695
2004-09-01,100.6008
2004-10-01,100.537
2004-11-01,100.5113
2004-12-01,100.4995
2005-01-01,100.4692
2005-02-01,100.4142
2005-03-01,100.3446
2005-04-01,100.2931
2005-05-01,100.2827
2005-06-01,100.3113
2005-07-01,100.3567
2005-08-01,100.4218
2005-09-01,100.5187
2005-10-01,100.6568
2005-11-01,100.8225
2005-12-01,100.9799
2006-01-01,101.101
2006-02-01,101.1772
2006-03-01,101.2034
2006-04-01,101.1768
2006-05-01,101.1195
2006-06-01,101.0672
2006-07-01,101.0372
2006-08-01,101.0487
2006-09-01,101.1075
2006-10-01,101.1949
2006-11-01,101.2988
2006-12-01,101.41
2007-01-01,101.5179
2007-02-01,101.6232
2007-03-01,101.7319
2007-04-01,101.8351
2007-05-01,101.9135
2007-06-01,101.9542
2007-07-01,101.9427
2007-08-01,101.876
2007-09-01,101.779
2007-10-01,101.6702
2007-11-01,101.5545
2007-12-01,101.4426
2008-01-01,101.3258
2008-02-01,101.1931
2008-03-01,101.0466
2008-04-01,100.8642
2008-05-01,100.6157
2008-06-01,100.2665
2008-07-01,99.78567
2008-08-01,99.16016
2008-09-01,98.40291
2008-10-01,97.57042
2008-11-01,96.77334
2008-12-01,96.10251
2009-01-01,95.6155
2009-02-01,95.3459
2009-03-01,95.30939
2009-04-01,95.49648
2009-05-01,95.84531
2009-06-01,96.29185
2009-07-01,96.77999
2009-08-01,97.27346
2009-09-01,97.74572
2009-10-01,98.18285
2009-11-01,98.5845
2009-12-01,98.95368
2010-01-01,99.27216
2010-02-01,99.50831
2010-03-01,99.66566
2010-04-01,99.72921
2010-05-01,99.70831
2010-06-01,99.63864
2010-07-01,99.57851
2010-08-01,99.57319
2010-09-01,99.63367
2010-10-01,99.74897
2010-11-01,99.91078
2010-12-01,100.0835
2011-01-01,100.2302
2011-02-01,100.3192
2011-03-01,100.3181
2011-04-01,100.2247
2011-05-01,100.0492
2011-06-01,99.81157
2011-07-01,99.55637
2011-08-01,99.34052
2011-09-01,99.22665
2011-10-01,99.2426
2011-11-01,99.37043
2011-12-01,99.56333
2012-01-01,99.75617
2012-02-01,99.89115
2012-03-01,99.94395
2012-04-01,99.91798
2012-05-01,99.83439
2012-06-01,99.72973
2012-07-01,99.64983
2012-08-01,99.61892
2012-09-01,99.64855
2012-10-01,99.71512
2012-11-01,99.80225
2012-12-01,99.91215
2013-01-01,100.0398
2013-02-01,100.17
2013-03-01,100.2792
2013-04-01,100.3812
2013-05-01,100.4823
2013-06-01,100.5623
2013-07-01,100.611
2013-08-01,100.64
2013-09-01,100.6522
2013-10-01,100.6561
2013-11-01,100.6596
2013-12-01,100.6531
2014-01-01,100.6421
2014-02-01,100.6572
2014-03-01,100.6986
2014-04-01,100.7503
2014-05-01,100.7957
2014-06-01,100.8292
2014-07-01,100.846
2014-08-01,100.8486
2014-09-01,100.8381
2014-10-01,100.8113
2014-11-01,100.7686
2014-12-01,100.7052
2015-01-01,100.6224
2015-02-01,100.5264
2015-03-01,100.4264
2015-04-01,100.327
2015-05-01,100.2221
2015-06-01,100.1078
2015-07-01,99.96508
2015-08-01,99.80469
2015-09-01,99.64994
2015-10-01,99.52224
2015-11-01,99.41467
2015-12-01,99.32087
2016-01-01,99.24446
2016-02-01,99.19215
2016-03-01,99.1731
2016-04-01,99.17165
2016-05-01,99.17371
2016-06-01,99.17411
2016-07-01,99.18951
2016-08-01,99.23176
2016-09-01,99.31293
2016-10-01,99.42847
2016-11-01,99.56319
2016-12-01,99.69708
2017-01-01,99.80352
2017-02-01,99.87235
2017-03-01,99.90405
2017-04-01,99.91348
2017-05-01,99.91911
2017-06-01,99.93415
2017-07-01,99.96452
2017-08-01,100.033
2017-09-01,100.131
2017-10-01,100.2471
2017-11-01,100.3643
2017-12-01,100.4772
2018-01-01,100.5871
2018-02-01,100.6859
2018-03-01,100.7467
2018-04-01,100.7645
2018-05-01,100.7493
2018-06-01,100.7076
2018-07-01,100.6413
2018-08-01,100.5526
2018-09-01,100.4275
2018-10-01,100.2606
2018-11-01,100.0662
2018-12-01,99.86469
2019-01-01,99.67632
2019-02-01,99.5174
2019-03-01,99.38998
2019-04-01,99.27512
2019-05-01,99.17093
2019-06-01,99.08028
2019-07-01,99.00743
2019-08-01,98.96103
2019-09-01,98.96491
2019-10-01,99.01381
2019-11-01,99.08697
2019-12-01,99.15616
2020-01-01,99.18732
2020-02-01,99.15326
2020-03-01,97.89362
2020-04-01,93.4837
2020-05-01,94.9228
2020-06-01,96.59299
2020-07-01,97.98195
