Price,Close,High,Low,Open,Volume
Ticker,SOXX,SOXX,SOXX,SOXX,SOXX
Date,,,,,
2016-06-06,28.812814712524414,29.05103768149639,28.764567241019417,28.897246924925316,1886100
2016-06-07,29.087221145629883,29.144516960074814,28.933433837617837,28.93644995168306,1399200
2016-06-08,29.075159072875977,29.15054466708179,28.984696359829005,29.087220077762648,418800
2016-06-09,29.108335494995117,29.123412616980584,28.78869636778485,28.888205717982117,1087200
2016-06-10,28.631885528564453,28.812814407525806,28.529360084068042,28.812814407525806,1038900
2016-06-13,28.484130859375,28.80075383306118,28.42382065338452,28.447944390687553,1664400
2016-06-14,28.47508430480957,28.55046990563117,28.20369096545441,28.39065036133042,1265700
2016-06-15,28.472063064575195,28.668069042354695,28.423815598549364,28.619821576328864,706500
2016-06-16,28.46905517578125,28.48714841213455,27.980549872503943,28.191633028716527,4066500
2016-06-17,28.227819442749023,28.423825488729584,28.022768503523714,28.423825488729584,1817700
2016-06-20,28.541423797607422,28.882172240890434,28.526346677174132,28.637920474218973,1106100
2016-06-21,28.631872177124023,28.716573695078274,28.529021817551463,28.66212197742174,966600
2016-06-22,28.60464859008789,28.907150060652512,28.57137311675768,28.67422347827494,918900
2016-06-23,29.318552017211914,29.35182748719242,28.89202225177722,28.97974770402868,1099200
2016-06-24,27.727388381958008,28.529020159803835,27.62151235613431,28.078291930196578,2657100
2016-06-27,26.602079391479492,27.35228514055057,26.420577135108296,27.349261199202456,5307000
2016-06-28,27.29783821105957,27.3522882016912,26.943910675553003,27.016511240039836,2741700
2016-06-29,27.848392486572266,27.93006833670236,27.5186651444129,27.618489837178817,2353800
2016-06-30,28.32634735107422,28.356598884774083,27.830244354351784,27.884694345517122,1577400
2016-07-01,28.09341812133789,28.190218865864207,28.03594246290866,28.111568693670037,1338000
2016-07-05,27.57916259765625,27.872590500727206,27.412786968731773,27.872590500727206,2583300
2016-07-06,27.615467071533203,27.660841776455978,27.113312720944712,27.37951479787988,1725300
2016-07-07,27.951242446899414,28.156944905530512,27.65781625613136,27.65781625613136,1184100
2016-07-08,28.72867202758789,28.752870480866918,28.223492100313383,28.238616999079632,1075200
2016-07-11,29.05234718322754,29.17637550396353,28.925296652314792,28.946472894756024,960900
2016-07-12,29.43048095703125,29.53030737817676,29.264103588455402,29.318555307771454,3075300
2016-07-13,29.466781616210938,29.645258209951184,29.421403453263654,29.53635477311905,1431000
2016-07-14,29.681560516357422,29.763232904373915,29.4940068979457,29.73298310247123,1401300
2016-07-15,29.6724853515625,29.723911402755526,29.55450834728063,29.687610253458317,1151100
2016-07-18,30.10807991027832,30.16253161822353,29.962878817624894,30.04758032047284,1426200
2016-07-19,30.005239486694336,30.08691534938664,29.91146439371722,30.05969121577869,845400
2016-07-20,30.480159759521484,30.555784251326084,30.07783192413329,30.174632658390106,1967100
2016-07-21,30.265396118164062,30.528574318603145,30.14137120157504,30.510423739758835,1458000
2016-07-22,30.416637420654297,30.434787992807273,29.978008402249035,30.16253633424793,1398900
2016-07-25,30.59209442138672,30.649571821616515,30.410592125618003,30.410592125618003,710100
2016-07-26,31.77789878845215,31.92007422974068,30.885515862689363,30.885515862689363,4409700
2016-07-27,31.774877548217773,32.074356834066904,31.590353054594868,32.06225760504713,3430500
2016-07-28,31.599414825439453,31.811166832716044,31.460265088939668,31.632690289234354,2495700
2016-07-29,31.460269927978516,31.696220420562053,31.31809103614927,31.593368341763735,1017000
2016-08-01,31.484474182128906,31.599425508476696,31.375574201013944,31.529848885771145,1479300
2016-08-02,31.000459671020508,31.42698935348014,30.812909576246366,31.42698935348014,4523400
2016-08-03,31.039798736572266,31.04584662022874,30.828046647496404,30.83409453115288,1248900
2016-08-04,31.33020782470703,31.342307056520582,31.060978280174854,31.118455689559806,1218600
2016-08-05,31.729501724243164,31.762777199275366,31.469349269216142,31.51472397284151,1239000
2016-08-08,31.693193435668945,31.914022482545253,31.635719516400098,31.838394531675043,695700
2016-08-09,31.950340270996094,32.053188937260096,31.814212657988826,31.868664395565535,1128000
2016-08-10,31.732526779174805,32.0138554751647,31.599424881636875,31.97755432822383,2446800
2016-08-11,31.8535213470459,31.89587383293095,31.68714746122363,31.868649707624424,1129500
2016-08-12,32.00175094604492,32.07132756337224,31.880751745685455,31.91402721815785,575100
2016-08-15,32.437355041503906,32.51600867777996,32.068302625341566,32.068302625341566,683100
2016-08-16,32.210479736328125,32.38593412891171,32.17418205063618,32.38593412891171,1883100
2016-08-17,32.20444107055664,32.2286395346107,32.03201230122836,32.222591649531665,1782300
2016-08-18,32.437355041503906,32.440380713955726,32.18627961788785,32.213503746218606,693000
2016-08-19,32.71565628051758,32.79430645065912,32.467606542809854,32.467606542809854,1472400
2016-08-22,32.73079299926758,32.80944319780992,32.59164318059556,32.664242032377395,770700
2016-08-23,32.89112091064453,33.036322084203945,32.875996004765575,32.875996004765575,825600
2016-08-24,32.61886215209961,32.963716163595215,32.5341606202092,32.93648856935325,917700
2016-08-25,32.751956939697266,32.90320939503495,32.51902864313868,32.51902864313868,940200
2016-08-26,32.89715576171875,33.14520894036596,32.676330169495834,32.80640637195059,932100
2016-08-29,33.02724075317383,33.15429131740607,32.98791393002183,33.036314309818316,810900
2016-08-30,32.96371078491211,33.21478620484595,32.84573379409605,33.03328740281231,3181200
2016-08-31,32.942543029785156,32.99094341517462,32.75801850778895,32.954642260665366,1447200
2016-09-01,33.20269012451172,33.226892044197726,32.77616374505909,33.036312745008175,1393800
2016-09-02,33.169429779052734,33.3751340736788,33.01817723215762,33.35093214295294,1664400
2016-09-06,33.093788146972656,33.27226474463346,32.92438510497996,33.22689004255723,1085400
2016-09-07,32.842708587646484,33.14823919151354,32.78220898611026,33.142187846612806,3814200
2016-09-08,32.78523254394531,32.87295626814118,32.59163106202228,32.736832173464556,1353300
2016-09-09,31.6205997467041,32.528107609385074,31.523799000334606,32.528107609385074,2546400
2016-09-12,32.210479736328125,32.246780883888036,31.257597115022243,31.363474885093993,2162700
2016-09-13,31.926122665405273,32.322402615767466,31.765796666792763,32.05014752346132,1202100
2016-09-14,32.20745849609375,32.28610867693154,31.80210143924008,31.844453933292176,1094100
2016-09-15,32.95161056518555,33.01211016404216,32.14997703286479,32.1923260596909,1795500
2016-09-16,32.960689544677734,33.29646652783266,32.70961062911395,33.19361788522392,1916100
2016-09-19,33.000003814697266,33.4840074248295,32.891100406017344,33.166377675646736,1180500
2016-09-20,32.85179138183594,33.211770305639135,32.770115520652595,33.190594056630594,1076100
2016-09-21,33.305545806884766,33.356971862613776,32.872964573651885,33.0151435106287,1295700
2016-09-22,33.41443634033203,33.623162715292914,33.31763560232503,33.523336305123046,1056600
2016-09-23,33.07261276245117,33.381165591219116,33.03026373178418,33.3660406901332,818100
2016-09-26,32.74666213989258,32.94714953846903,32.609963183973264,32.83779245957289,1149300
2016-09-27,33.311683654785156,33.317760401063566,32.652499215956375,32.67072250199265,1034700
2016-09-28,33.378517150878906,33.548627822551055,33.174987847878526,33.433197443416276,840600
2016-09-29,33.788604736328125,33.998207273079515,33.029171426267446,33.39369969320851,2580900
2016-09-30,34.323238372802734,34.544990890682605,33.98908693336878,33.98908693336878,1372500
2016-10-03,34.09238052368164,34.554115926566126,34.025550216611535,34.405266922309956,3632100
2016-10-04,34.00428771972656,34.3414776545571,33.873665468748946,34.23515543909164,1019400
