날짜,시가총액,거래량,거래대금,상장주식수
2023-06-07,265210879500,140824,1000083460,37353645
2023-06-08,265210879500,139929,984007750,37353645
2023-06-09,268199171100,127845,916386220,37353645
2023-06-12,268199171100,94558,675805050,37353645
2023-06-13,271934535600,448552,3286940850,37353645
2023-06-14,265957952400,218971,1574797540,37353645
2023-06-15,278284655250,444300,3269504020,37353645
2023-06-16,298829160000,2077248,16387157720,37353645
2023-06-19,288743675850,706741,5500948130,37353645
2023-06-20,290984894550,316327,2431733680,37353645
2023-06-21,284634774900,298385,2305271380,37353645
2023-06-22,279031728150,262549,1985347360,37353645
2023-06-23,307794034800,11080741,94054367080,37353645
2023-06-26,311529399300,1577624,12963576140,37353645
2023-06-27,307420498350,791147,6441303930,37353645
2023-06-28,307420498350,1195935,9933859550,37353645
2023-06-29,314891227350,2210042,18791255790,37353645
2023-06-30,311529399300,670362,5539652510,37353645
2023-07-03,324229638600,1153005,9913533470,37353645
2023-07-04,329459148900,846667,7397602020,37353645
2023-07-05,327591466650,1332584,11888318290,37353645
2023-07-06,304805743200,1050644,8813557490,37353645
2023-07-07,304058670300,499503,4048181820,37353645
2023-07-10,293599649700,756278,5992852100,37353645
2023-07-11,305179279650,448369,3597460760,37353645
2023-07-12,310035253500,644729,5292698720,37353645
2023-07-13,322361956350,1407380,12239321290,37353645
2023-07-14,313770618000,1086797,9367301270,37353645
2023-07-17,326844393750,1942667,17201776940,37353645
2023-07-18,327591466650,622213,5398411150,37353645
2023-07-19,320120737650,655569,5593060790,37353645
2023-07-20,329085612450,501474,4354617540,37353645
2023-07-21,317879518950,334047,2862533850,37353645
2023-07-24,314144154450,585075,4885305280,37353645
2023-07-25,304432206750,528887,4360383610,37353645
2023-07-26,305552816100,587156,4791294360,37353645
2023-07-27,323856102150,698435,5927078500,37353645
2023-07-28,324976711500,614445,5367284620,37353645
2023-07-31,321241347000,347221,3007685300,37353645
2023-08-01,319000128300,643539,5399482470,37353645
2023-08-02,308914644150,507610,4231756390,37353645
2023-08-03,304058670300,443130,3582189460,37353645
2023-08-04,297708550650,219950,1763749080,37353645
2023-08-07,297708550650,214082,1717612950,37353645
2023-08-08,290611358100,306833,2414679520,37353645
2023-08-09,294346722600,177215,1382159780,37353645
2023-08-10,289490748750,357599,2732609550,37353645
2023-08-11,283887702000,259395,2006422110,37353645
