날짜,시가,고가,저가,종가,거래량,등락률
2023-06-07,46450,47200,45850,46300,516972,-0.32292787944025836
2023-06-08,46800,47400,46200,46400,2345178,0.21598272138228944
2023-06-09,46500,46700,44400,44650,1491757,-3.771551724137931
2023-06-12,44800,44900,43800,44000,797405,-1.4557670772676372
2023-06-13,44100,44150,42850,42850,925455,-2.6136363636363633
2023-06-14,42950,43750,42450,42900,509075,0.11668611435239205
2023-06-15,43000,43650,42400,42600,533161,-0.6993006993006993
2023-06-16,43000,43900,42750,43900,2026309,3.051643192488263
2023-06-19,43850,43950,42750,43000,444445,-2.050113895216401
2023-06-20,43100,43850,42900,43350,443679,0.813953488372093
2023-06-21,43750,44150,43300,43500,515381,0.34602076124567477
2023-06-22,43450,43950,42900,43500,344260,0.0
2023-06-23,43700,43700,41950,42050,586159,-3.3333333333333335
2023-06-26,41900,42750,41750,41950,328132,-0.23781212841854932
2023-06-27,41850,41900,41150,41250,399109,-1.66865315852205
2023-06-28,41450,42150,41350,41650,314615,0.9696969696969697
2023-06-29,41650,42250,41500,41500,262519,-0.36014405762304924
2023-06-30,42050,42100,41000,41500,383448,0.0
2023-07-03,41800,42800,41550,42350,564981,2.0481927710843375
2023-07-04,42350,42900,42000,42400,291639,0.11806375442739078
2023-07-05,42300,43400,42000,42800,429237,0.9433962264150944
2023-07-06,42850,42850,42050,42250,499856,-1.2850467289719625
2023-07-07,41800,42100,40100,41150,938832,-2.603550295857988
2023-07-10,41450,43200,40850,43000,586182,4.495747266099635
2023-07-11,43250,44500,43100,44000,583246,2.3255813953488373
2023-07-12,44000,44550,43700,44400,423899,0.9090909090909091
2023-07-13,44650,44900,44100,44350,566883,-0.11261261261261261
2023-07-14,44700,46100,44700,45550,884838,2.705749718151071
2023-07-17,45100,45550,44700,45400,344015,-0.3293084522502744
2023-07-18,45400,45400,44250,44500,306569,-1.9823788546255507
2023-07-19,44500,45250,44500,45200,324428,1.5730337078651686
2023-07-20,45100,47350,45100,47150,1210408,4.314159292035398
2023-07-21,47250,48300,47000,48000,774715,1.8027571580063628
2023-07-24,47900,48300,47150,47800,558847,-0.4166666666666667
2023-07-25,47950,49500,47800,48950,887257,2.405857740585774
2023-07-26,48450,48650,46800,47950,889409,-2.0429009193054135
2023-07-27,47950,49000,47800,48450,480889,1.0427528675703857
2023-07-28,48150,48800,47450,48200,403694,-0.5159958720330238
2023-07-31,48500,49300,47800,49200,369756,2.0746887966804977
2023-08-01,49200,50200,48700,49650,528245,0.9146341463414633
2023-08-02,49650,49900,48500,49000,526976,-1.3091641490433032
2023-08-03,49350,49650,48800,49500,422928,1.0204081632653061
2023-08-04,50000,50300,49200,50200,481099,1.4141414141414141
2023-08-07,50000,51100,49950,50500,453803,0.5976095617529881
2023-08-08,50800,51000,49500,49800,502968,-1.3861386138613863
2023-08-09,49550,49900,49000,49500,276365,-0.6024096385542169
2023-08-10,49500,49600,48150,48200,432244,-2.6262626262626263
2023-08-11,48250,50500,48250,49750,463485,3.2157676348547715
2023-08-14,49900,50400,49450,50200,261478,0.9045226130653266
2023-08-16,49900,50300,49100,49700,338499,-0.9960159362549801
2023-08-17,49650,50200,48700,49700,472285,0.0
2023-08-18,49250,50300,49250,49550,283880,-0.30181086519114686
2023-08-21,50000,50100,49300,49600,207450,0.10090817356205853
2023-08-22,49600,50400,49500,50000,309966,0.8064516129032258
2023-08-23,49550,51800,49500,50900,592498,1.7999999999999998
2023-08-24,51000,51200,50000,50700,390176,-0.3929273084479371
2023-08-25,50400,51700,50300,51500,496267,1.5779092702169626
2023-08-28,51600,52200,50900,51800,425452,0.5825242718446602
2023-08-29,51800,54700,51800,53200,629115,2.7027027027027026
2023-08-30,53700,54900,53100,53900,462170,1.3157894736842104
2023-08-31,54400,55600,54400,54700,739174,1.4842300556586272
2023-09-01,55200,56700,53800,54300,535288,-0.7312614259597806
2023-09-04,53900,54100,53000,54100,281799,-0.3683241252302026
2023-09-05,53700,54000,53400,54000,315441,-0.18484288354898337
2023-09-06,53600,54800,53600,54400,439483,0.7407407407407408
2023-09-07,54100,55100,53500,54200,450486,-0.3676470588235294
2023-09-08,54300,55000,53900,55000,220798,1.4760147601476015
2023-09-11,55000,55600,54100,55300,288942,0.5454545454545455
2023-09-12,55500,55700,54200,54400,338178,-1.62748643761302
2023-09-13,54200,55700,54200,54800,491619,0.7352941176470588
2023-09-14,55000,55200,54100,55200,375498,0.7299270072992701
2023-09-15,55100,56600,55000,55500,670085,0.5434782608695652
2023-09-18,55400,55700,54500,54800,374739,-1.2612612612612613
2023-09-19,54600,55100,54300,54700,268063,-0.18248175182481752
2023-09-20,54600,54700,53600,54200,425528,-0.9140767824497258
2023-09-21,53800,54500,53600,54000,420773,-0.36900369003690037
2023-09-22,55000,58200,54200,57400,983600,6.296296296296296
2023-09-25,57500,59800,57300,58600,860116,2.0905923344947737
2023-09-26,58200,58600,56100,56400,551386,-3.754266211604096
2023-09-27,55600,56400,54600,55200,411312,-2.127659574468085
2023-10-04,54900,54900,52200,52600,574579,-4.710144927536232
2023-10-05,52800,53700,51500,52900,372791,0.5703422053231939
2023-10-06,53600,54300,52400,53400,334545,0.945179584120983
2023-10-10,54400,54600,52700,53400,414215,0.0
2023-10-11,54200,54700,51700,53600,625283,0.37453183520599254
2023-10-12,53400,54100,52800,53500,442420,-0.18656716417910446
2023-10-13,52800,54100,52700,53500,219322,0.0
2023-10-16,52800,53500,52200,52800,423761,-1.3084112149532712
2023-10-17,53100,53500,51600,51700,460443,-2.083333333333333
2023-10-18,51700,52500,51600,52500,575379,1.5473887814313347
2023-10-19,52000,52500,50500,51100,486253,-2.666666666666667
2023-10-20,50700,51100,49650,50100,434703,-1.9569471624266144
2023-10-23,50100,50100,47200,47900,724366,-4.39121756487026
2023-10-24,48450,49100,47700,48800,406422,1.8789144050104383
2023-10-25,49800,51300,49800,50500,421446,3.483606557377049
2023-10-26,50300,50400,49250,49400,334436,-2.178217821782178
2023-10-27,50300,50500,49450,49700,253522,0.6072874493927125
2023-10-30,49500,50300,48700,50300,299785,1.2072434607645874
