date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,22550.0,111309.0,6706.0,1018.0,2671400.0,4.57
2025-06-17,22350.0,104868.0,12872.0,-863.0,2665822.0,4.56
2025-06-18,21950.0,65399.0,1162.0,-25049.0,2624297.0,4.49
2025-06-19,21900.0,42824.0,-3536.0,-4410.0,2622239.0,4.48
2025-06-20,21550.0,65300.0,-9382.0,-6673.0,2601224.0,4.45
2025-06-23,21700.0,114725.0,-13153.0,2418.0,2595403.0,4.44
2025-06-24,21800.0,129020.0,-14113.0,-3374.0,2591164.0,4.43
2025-06-25,21950.0,65177.0,-12916.0,8315.0,2575730.0,4.4
2025-06-26,22100.0,83321.0,10519.0,1339.0,2524817.0,4.32
2025-06-27,22150.0,74743.0,3031.0,-10226.0,2513040.0,4.3
2025-06-30,22200.0,48539.0,9008.0,-11026.0,2501598.0,4.28
2025-07-01,22800.0,134083.0,12832.0,43043.0,2550736.0,4.36
2025-07-02,23200.0,88953.0,47953.0,-29671.0,2520498.0,4.31
2025-07-03,23750.0,98870.0,33559.0,188.0,2520734.0,4.31
2025-07-04,23400.0,59920.0,5021.0,-14688.0,2376370.0,4.06
2025-07-07,23400.0,51629.0,8665.0,1888.0,2404623.0,4.11
2025-07-08,25100.0,253377.0,19469.0,94824.0,2619896.0,4.48
2025-07-09,25250.0,69336.0,9492.0,-16320.0,2597002.0,4.44
2025-07-10,26150.0,122111.0,-4935.0,8752.0,2604094.0,4.45
2025-07-11,26900.0,109554.0,-2784.0,-13517.0,2590258.0,4.43
2025-07-14,27450.0,124148.0,1424.0,6245.0,2597294.0,4.44
2025-07-15,27450.0,77832.0,-7053.0,1548.0,2592326.0,4.43
2025-07-16,27400.0,105142.0,-15766.0,-5470.0,2381675.0,4.07
2025-07-17,27700.0,137140.0,-9062.0,30331.0,2406805.0,4.11
2025-07-18,27600.0,102704.0,10553.0,-30490.0,2376413.0,4.06
2025-07-21,27700.0,77268.0,-15092.0,-3044.0,2372780.0,4.06
2025-07-22,27200.0,70066.0,-8631.0,10556.0,2385792.0,4.08
2025-07-23,29000.0,197752.0,38022.0,3145.0,2390847.0,4.09
2025-07-24,29600.0,163999.0,33112.0,-23117.0,2324200.0,3.97
2025-07-25,31100.0,225909.0,28940.0,-36222.0,2283514.0,3.9
2025-07-28,30550.0,134394.0,24451.0,-19622.0,2265860.0,3.87
2025-07-29,30900.0,108195.0,4848.0,-9254.0,2233292.0,3.82
2025-07-30,29300.0,209583.0,-22306.0,-1990.0,2093927.0,3.58
2025-07-31,29000.0,131193.0,3078.0,8814.0,2135835.0,3.65
2025-08-01,28100.0,190449.0,-1764.0,35532.0,2180636.0,3.73
2025-08-04,28200.0,112789.0,-753.0,7529.0,2194658.0,3.75
2025-08-05,26400.0,377903.0,41123.0,-84562.0,2096677.0,3.58
2025-08-06,25800.0,141324.0,-19832.0,31832.0,2130416.0,3.64
2025-08-07,25900.0,121707.0,-9556.0,12247.0,2139533.0,3.66
2025-08-08,25650.0,74585.0,-8258.0,10305.0,2145595.0,3.67
2025-08-11,25450.0,73558.0,4406.0,-3005.0,2144026.0,3.66
2025-08-12,25550.0,57792.0,-171.0,-929.0,2142683.0,3.66
2025-08-13,25550.0,83381.0,-17862.0,17951.0,2161137.0,3.69
2025-08-14,24850.0,103429.0,-43689.0,24479.0,2184282.0,3.73
2025-08-18,24150.0,171586.0,-33370.0,74563.0,2314710.0,3.96
2025-08-19,23600.0,78935.0,-1496.0,12751.0,2285615.0,3.91
2025-08-20,23750.0,80305.0,15412.0,-26060.0,2256932.0,3.86
2025-08-21,24850.0,131552.0,68208.0,-71342.0,2180002.0,3.73
2025-08-22,25000.0,59153.0,-4441.0,-20732.0,2523027.0,4.31
2025-08-25,25300.0,101848.0,28635.0,-28322.0,2497132.0,4.27
2025-08-26,26200.0,73690.0,6547.0,-23541.0,2474468.0,4.23
2025-08-27,26500.0,77027.0,14932.0,-31124.0,2099717.0,3.59
2025-08-28,26700.0,76788.0,14932.0,-8457.0,2221738.0,3.8
2025-08-29,26600.0,53814.0,10898.0,-710.0,2097559.0,3.58
2025-09-01,26100.0,44291.0,1940.0,1037.0,2096944.0,3.58
2025-09-02,25700.0,96072.0,4504.0,13732.0,2184980.0,3.73
2025-09-03,26100.0,97015.0,-2931.0,11990.0,2227173.0,3.81
2025-09-04,25600.0,45969.0,-791.0,-1340.0,2341451.0,4.0
2025-09-05,25200.0,106844.0,-8087.0,10638.0,2430976.0,4.15
2025-09-08,25000.0,37361.0,-8384.0,596.0,2441585.0,4.17
2025-09-09,25050.0,44884.0,7676.0,-6601.0,2419171.0,4.13
2025-09-10,25900.0,77582.0,26612.0,-31718.0,2371449.0,4.05
2025-09-11,26600.0,110704.0,54045.0,-51146.0,2311185.0,3.95
2025-09-12,26050.0,65634.0,-4402.0,-15248.0,2280489.0,3.9
2025-09-15,26000.0,50078.0,19666.0,-13513.0,2450495.0,4.19
2025-09-16,24850.0,95815.0,-15626.0,-20360.0,2116425.0,3.62
2025-09-17,24750.0,49104.0,-3709.0,-3134.0,2112215.0,3.61
2025-09-18,24450.0,84444.0,-19801.0,9003.0,2120976.0,3.62
2025-09-19,23750.0,117370.0,-38344.0,18330.0,2137241.0,3.65
2025-09-22,23350.0,93429.0,-15736.0,13739.0,2172059.0,3.71
2025-09-23,23050.0,109568.0,-11055.0,3699.0,2172334.0,3.71
2025-09-24,22900.0,80357.0,-8403.0,-13908.0,2153990.0,3.68
2025-09-25,22550.0,93191.0,-22874.0,13480.0,2163614.0,3.7
2025-09-26,22100.0,82374.0,-13204.0,3680.0,2169576.0,3.71
2025-09-29,22700.0,83514.0,-136.0,-35816.0,2128789.0,3.64
2025-09-30,22850.0,48433.0,-3467.0,-23464.0,2103098.0,3.59
2025-10-01,22750.0,53042.0,-1608.0,-2151.0,2099008.0,3.59
2025-10-02,22550.0,135405.0,-54783.0,23645.0,2123620.0,3.63
2025-10-10,23900.0,134075.0,-16185.0,28045.0,2150721.0,3.68
2025-10-13,23750.0,120561.0,-14086.0,1116.0,2151749.0,3.68
2025-10-14,23400.0,100185.0,-10650.0,14010.0,2169865.0,3.71
2025-10-15,23550.0,342574.0,-12173.0,28619.0,2193899.0,3.75
2025-10-16,23400.0,113613.0,-2254.0,-39524.0,2187003.0,3.74
2025-10-17,23650.0,63611.0,-7027.0,279.0,2191283.0,3.75
2025-10-20,24150.0,63748.0,4703.0,-6858.0,2190151.0,3.74
2025-10-21,23750.0,115444.0,-1343.0,9375.0,2200839.0,3.76
2025-10-22,24200.0,84415.0,-9552.0,-3123.0,2194315.0,3.75
2025-10-23,23150.0,106600.0,-22525.0,11386.0,2201960.0,3.76
2025-10-24,23400.0,57330.0,8853.0,-18336.0,2186726.0,3.74
2025-10-27,23650.0,102930.0,-15201.0,35618.0,2222126.0,3.8
2025-10-28,23300.0,50360.0,-11534.0,8687.0,2241079.0,3.83
2025-10-29,23500.0,76465.0,-17536.0,25253.0,2264154.0,3.87
2025-10-30,24200.0,136840.0,-39443.0,21354.0,2275257.0,3.89
2025-10-31,23300.0,118838.0,-8984.0,-10058.0,2288392.0,3.91
2025-11-03,22850.0,90940.0,-29196.0,-1039.0,2284316.0,3.9
2025-11-04,22400.0,113125.0,-41530.0,9653.0,2312818.0,3.95
2025-11-05,23300.0,169560.0,-29677.0,31637.0,2337475.0,4.0
2025-11-06,24000.0,122059.0,-14123.0,35936.0,2371065.0,4.05
2025-11-07,23300.0,98793.0,5276.0,-27319.0,2339427.0,4.0
2025-11-10,24000.0,100254.0,-15463.0,27058.0,2371695.0,4.05
2025-11-11,23950.0,93579.0,-1130.0,27653.0,2412990.0,4.12
2025-11-12,24300.0,141325.0,-26963.0,-12967.0,2385441.0,4.08
2025-11-13,23550.0,148358.0,-14748.0,8721.0,2398836.0,4.1
2025-11-14,23600.0,141794.0,40760.0,-11784.0,2391857.0,4.09
2025-11-17,23450.0,90278.0,-23458.0,2162.0,2388108.0,4.08
2025-11-18,22600.0,82973.0,-10837.0,-10929.0,2376064.0,4.06
2025-11-19,23050.0,71759.0,12565.0,5323.0,2692761.0,4.6
2025-11-20,23050.0,75958.0,-8323.0,15440.0,2396838.0,4.1
2025-11-21,23150.0,81307.0,3428.0,3286.0,2399349.0,4.1
