date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,42550.0,34393.0,-8895.0,3696.0,1921647.0,10.06
2025-06-17,42650.0,49223.0,-8683.0,7220.0,1929100.0,10.1
2025-06-18,42100.0,31468.0,441.0,4651.0,1934942.0,10.13
2025-06-19,42500.0,14149.0,-2759.0,4642.0,1939717.0,10.15
2025-06-20,41800.0,27270.0,-595.0,-894.0,1937534.0,10.14
2025-06-23,42250.0,36041.0,6412.0,2051.0,1936136.0,10.13
2025-06-24,43450.0,43082.0,3758.0,2657.0,1939393.0,10.15
2025-06-25,42600.0,34428.0,-6627.0,8995.0,1948433.0,10.2
2025-06-26,41700.0,30788.0,3533.0,-214.0,1945169.0,10.18
2025-06-27,43200.0,459374.0,-9932.0,-55561.0,1890891.0,9.9
2025-06-30,42950.0,41416.0,2707.0,5223.0,1895941.0,9.92
2025-07-01,44500.0,60698.0,-3628.0,16371.0,1912568.0,10.01
2025-07-02,43550.0,25784.0,6282.0,-8930.0,1902911.0,9.96
2025-07-03,44700.0,48090.0,4479.0,12250.0,1899197.0,9.94
2025-07-04,43300.0,26873.0,675.0,-9289.0,1889391.0,9.89
2025-07-07,44350.0,25505.0,5507.0,3362.0,1893788.0,9.91
2025-07-08,46150.0,51067.0,4033.0,17589.0,1909752.0,9.99
2025-07-09,45950.0,41901.0,-848.0,-1516.0,1910175.0,10.0
2025-07-10,46150.0,45591.0,5846.0,-2373.0,1908867.0,9.99
2025-07-11,46250.0,41759.0,297.0,7241.0,1915391.0,10.02
2025-07-14,45850.0,18499.0,-3279.0,1959.0,1914660.0,10.02
2025-07-15,45150.0,21809.0,-970.0,-49.0,1910635.0,10.0
2025-07-16,44250.0,25009.0,-1445.0,-733.0,1909702.0,9.99
2025-07-17,43850.0,20211.0,879.0,2834.0,1912572.0,10.01
2025-07-18,44800.0,66680.0,-3040.0,11260.0,1924603.0,10.07
2025-07-21,44650.0,47684.0,-17010.0,12472.0,1937269.0,10.14
2025-07-22,44250.0,22209.0,-230.0,427.0,1937005.0,10.14
2025-07-23,43850.0,31071.0,2028.0,3234.0,1939988.0,10.15
2025-07-24,43200.0,18956.0,389.0,-7327.0,1932252.0,10.11
2025-07-25,44000.0,23054.0,6702.0,-4125.0,1927544.0,10.09
2025-07-28,43250.0,17161.0,1112.0,-1836.0,1925661.0,10.08
2025-07-29,43100.0,9758.0,346.0,-1366.0,1923960.0,10.07
2025-07-30,43150.0,20242.0,786.0,4341.0,1928063.0,10.09
2025-07-31,42500.0,26700.0,-2641.0,110.0,1927907.0,10.09
2025-08-01,40700.0,34826.0,-4986.0,-3658.0,1924262.0,10.07
2025-08-04,40650.0,12956.0,-6589.0,3417.0,1927516.0,10.09
2025-08-05,40500.0,27119.0,-5546.0,4259.0,1931492.0,10.11
2025-08-06,41450.0,15091.0,1137.0,2567.0,1934571.0,10.12
2025-08-07,42150.0,21083.0,-3160.0,2032.0,1937156.0,10.14
2025-08-08,41750.0,9936.0,2620.0,-1244.0,1935297.0,10.13
2025-08-11,41500.0,14697.0,-88.0,912.0,1936272.0,10.13
2025-08-12,41250.0,19433.0,-5654.0,5864.0,1941611.0,10.16
2025-08-13,41450.0,9197.0,807.0,-1000.0,1940597.0,10.16
2025-08-14,42000.0,21475.0,6889.0,-2344.0,1937554.0,10.14
2025-08-18,40000.0,33182.0,6404.0,-6500.0,1930356.0,10.1
2025-08-19,39050.0,23051.0,1214.0,2656.0,1932650.0,10.11
2025-08-20,38500.0,27144.0,460.0,3025.0,1935627.0,10.13
2025-08-21,38500.0,6239.0,-210.0,-1183.0,1933977.0,10.12
2025-08-22,38650.0,12397.0,3426.0,-2466.0,1931671.0,10.11
2025-08-25,39000.0,29919.0,10762.0,8555.0,1940771.0,10.16
2025-08-26,38400.0,11132.0,-305.0,-5763.0,1934176.0,10.12
2025-08-27,38550.0,8141.0,-2331.0,-1292.0,1932950.0,10.12
2025-08-28,38400.0,19717.0,90.0,6404.0,1939286.0,10.15
2025-08-29,37900.0,21724.0,-46.0,-1369.0,1937830.0,10.14
2025-09-01,37500.0,17531.0,3314.0,-1034.0,1934285.0,10.12
2025-09-02,38050.0,37157.0,4393.0,12412.0,1944514.0,10.18
2025-09-03,39000.0,43895.0,2384.0,26993.0,1979338.0,10.36
2025-09-04,38850.0,24401.0,3850.0,-2088.0,1977190.0,10.35
2025-09-05,39000.0,30538.0,5611.0,5268.0,1982395.0,10.37
2025-09-08,38750.0,24003.0,1246.0,4652.0,1984559.0,10.39
2025-09-09,39250.0,26292.0,4558.0,10690.0,1995884.0,10.45
2025-09-10,41300.0,78706.0,1238.0,38642.0,2034760.0,10.65
2025-09-11,41950.0,29748.0,4994.0,-1519.0,2033208.0,10.64
2025-09-12,43450.0,43889.0,10954.0,-4287.0,2028346.0,10.62
2025-09-15,43950.0,36121.0,6387.0,10001.0,2043779.0,10.7
2025-09-16,43000.0,31004.0,1358.0,6997.0,2050202.0,10.73
