date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,51100.0,18518.0,-876.0,311.0,3177574.0,29.5
2025-06-17,50300.0,29053.0,-9367.0,3375.0,3179704.0,29.52
2025-06-18,50900.0,19322.0,-173.0,6167.0,3182874.0,29.55
2025-06-19,50300.0,15808.0,2492.0,2242.0,3185150.0,29.57
2025-06-20,50800.0,18595.0,-2316.0,6759.0,3190404.0,29.62
2025-06-23,50300.0,12309.0,-831.0,-1632.0,3183930.0,29.56
2025-06-24,50400.0,35831.0,9241.0,-2360.0,3181585.0,29.54
2025-06-25,50900.0,23810.0,-3817.0,8048.0,3189724.0,29.61
2025-06-26,50400.0,18349.0,4779.0,-3643.0,3183740.0,29.56
2025-06-27,50900.0,22904.0,580.0,3914.0,3179085.0,29.52
2025-06-30,50200.0,16326.0,5619.0,-3687.0,3177408.0,29.5
2025-07-01,50600.0,29742.0,7233.0,-190.0,3181469.0,29.54
2025-07-02,49900.0,31631.0,4523.0,-703.0,3180633.0,29.53
2025-07-03,50000.0,13580.0,2453.0,3079.0,3183659.0,29.56
2025-07-04,50100.0,16073.0,5699.0,-3064.0,3180613.0,29.53
2025-07-07,49600.0,18725.0,2164.0,4795.0,3185961.0,29.58
2025-07-08,49550.0,22698.0,-1047.0,5812.0,3191777.0,29.63
2025-07-09,51100.0,33492.0,2793.0,10063.0,3202515.0,29.73
2025-07-10,51000.0,33387.0,5572.0,-242.0,3201716.0,29.73
2025-07-11,50900.0,12703.0,1626.0,-1325.0,3200202.0,29.71
2025-07-14,52000.0,43154.0,14075.0,-3002.0,3197723.0,29.69
2025-07-15,50600.0,30033.0,-1554.0,-3317.0,3193855.0,29.65
2025-07-16,51000.0,26188.0,6976.0,361.0,3194189.0,29.66
2025-07-17,51000.0,19453.0,2272.0,2218.0,3195345.0,29.67
2025-07-18,50500.0,22878.0,1329.0,-712.0,3194081.0,29.65
2025-07-21,50700.0,17951.0,5646.0,2607.0,3196399.0,29.68
2025-07-22,51000.0,41942.0,10153.0,4342.0,3201985.0,29.73
2025-07-23,49850.0,24837.0,1615.0,-5287.0,3196003.0,29.67
2025-07-24,49850.0,18477.0,1811.0,-3843.0,3192168.0,29.64
2025-07-25,49750.0,8871.0,4220.0,-2274.0,3189909.0,29.62
2025-07-28,48500.0,33400.0,-2458.0,1766.0,3190954.0,29.63
2025-07-29,49800.0,24592.0,2859.0,6335.0,3197500.0,29.69
2025-07-30,50300.0,20033.0,3798.0,5692.0,3203618.0,29.74
2025-07-31,50100.0,22711.0,-3327.0,10957.0,3215558.0,29.85
2025-08-01,49100.0,19165.0,4960.0,-3062.0,3211668.0,29.82
2025-08-04,49900.0,18986.0,3787.0,2695.0,3214212.0,29.84
2025-08-05,49600.0,11274.0,884.0,-1054.0,3213158.0,29.83
2025-08-06,50300.0,19705.0,3990.0,9450.0,3223120.0,29.92
2025-08-07,50200.0,11768.0,394.0,3049.0,3226152.0,29.95
2025-08-08,50200.0,16008.0,1034.0,6886.0,3233241.0,30.02
2025-08-11,49600.0,12588.0,2205.0,-728.0,3232119.0,30.01
2025-08-12,49650.0,11920.0,-521.0,887.0,3232953.0,30.02
2025-08-13,47950.0,28284.0,-5275.0,-5289.0,3226188.0,29.95
2025-08-14,48750.0,13635.0,-320.0,-577.0,3225207.0,29.94
2025-08-18,48950.0,20669.0,9309.0,-2625.0,3222931.0,29.92
2025-08-19,48250.0,12761.0,2557.0,-301.0,3222714.0,29.92
2025-08-20,48750.0,24370.0,6703.0,1650.0,3224044.0,29.93
2025-08-21,47650.0,13375.0,3521.0,-7882.0,3215969.0,29.86
2025-08-22,47900.0,33398.0,9677.0,-4312.0,3212338.0,29.82
2025-08-25,47400.0,10900.0,-1030.0,-1361.0,3216081.0,29.86
2025-08-26,47000.0,15705.0,-2123.0,2928.0,3221330.0,29.91
2025-08-27,47050.0,14577.0,-2269.0,4496.0,3225922.0,29.95
