날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,9627,38.62,3.61,901,0.57,200
2023-06-08,9627,38.73,3.63,901,0.57,200
2023-06-09,9627,38.68,3.62,901,0.57,200
2023-06-12,9627,37.62,3.52,901,0.59,200
2023-06-13,9627,37.79,3.54,901,0.59,200
2023-06-14,9627,36.46,3.41,901,0.61,200
2023-06-15,9627,36.51,3.42,901,0.61,200
2023-06-16,9627,36.74,3.44,901,0.6,200
2023-06-19,9627,37.62,3.52,901,0.59,200
2023-06-20,9627,37.35,3.5,901,0.59,200
2023-06-21,9627,34.74,3.25,901,0.64,200
2023-06-22,9627,34.18,3.2,901,0.65,200
2023-06-23,9627,33.57,3.14,901,0.66,200
2023-06-26,9627,32.96,3.09,901,0.67,200
2023-06-27,9627,32.91,3.08,901,0.67,200
2023-06-28,9627,32.91,3.08,901,0.67,200
2023-06-29,9627,32.91,3.08,901,0.67,200
2023-06-30,9627,33.07,3.1,901,0.67,200
2023-07-03,9627,33.41,3.13,901,0.66,200
2023-07-04,9627,32.91,3.08,901,0.67,200
2023-07-05,9627,32.91,3.08,901,0.67,200
2023-07-06,9627,31.85,2.98,901,0.7,200
2023-07-07,9627,31.74,2.97,901,0.7,200
2023-07-10,9627,30.97,2.9,901,0.72,200
2023-07-11,9627,31.69,2.97,901,0.7,200
2023-07-12,9627,32.02,3.0,901,0.69,200
2023-07-13,9627,32.13,3.01,901,0.69,200
2023-07-14,9627,31.52,2.95,901,0.7,200
2023-07-17,9627,34.02,3.18,901,0.65,200
2023-07-18,9627,32.85,3.07,901,0.68,200
2023-07-19,9627,34.13,3.19,901,0.65,200
2023-07-20,9627,36.13,3.38,901,0.61,200
2023-07-21,9627,35.41,3.31,901,0.63,200
2023-07-24,9627,35.63,3.33,901,0.62,200
2023-07-25,9627,33.35,3.12,901,0.67,200
2023-07-26,9627,31.8,2.98,901,0.7,200
2023-07-27,9627,32.52,3.04,901,0.68,200
2023-07-28,9627,33.3,3.12,901,0.67,200
2023-07-31,9627,35.46,3.32,901,0.63,200
2023-08-01,9627,36.02,3.37,901,0.62,200
2023-08-02,9627,34.63,3.24,901,0.64,200
2023-08-03,9627,35.52,3.32,901,0.63,200
2023-08-04,9627,37.96,3.55,901,0.58,200
2023-08-07,9627,36.46,3.41,901,0.61,200
2023-08-08,9627,36.63,3.43,901,0.61,200
2023-08-09,9627,35.96,3.37,901,0.62,200
2023-08-10,9627,34.85,3.26,901,0.64,200
2023-08-11,9627,35.9,3.36,901,0.62,200
2023-08-14,9627,36.35,3.4,901,0.61,200
2023-08-16,9627,33.41,3.13,901,0.66,200
2023-08-17,9627,32.91,3.08,901,0.67,200
2023-08-18,9627,32.08,3.0,901,0.69,200
2023-08-21,9627,31.96,2.99,901,0.69,200
2023-08-22,9627,31.41,2.94,901,0.71,200
2023-08-23,9627,31.3,2.93,901,0.71,200
2023-08-24,9627,32.74,3.06,901,0.68,200
2023-08-25,9627,32.19,3.01,901,0.69,200
2023-08-28,9627,33.24,3.11,901,0.67,200
2023-08-29,9627,33.52,3.14,901,0.66,200
2023-08-30,9627,33.46,3.13,901,0.66,200
2023-08-31,9627,36.35,3.4,901,0.61,200
2023-09-01,9627,35.85,3.36,901,0.62,200
2023-09-04,9627,41.07,3.84,901,0.54,200
2023-09-05,9627,41.4,3.87,901,0.54,200
2023-09-06,9627,40.51,3.79,901,0.55,200
2023-09-07,9627,44.34,4.15,901,0.5,200
2023-09-08,9627,46.45,4.35,901,0.48,200
2023-09-11,9627,45.34,4.24,901,0.49,200
2023-09-12,9627,42.67,3.99,901,0.52,200
2023-09-13,9627,40.34,3.78,901,0.55,200
2023-09-14,9627,42.51,3.98,901,0.52,200
2023-09-15,9627,40.34,3.78,901,0.55,200
2023-09-18,9627,40.12,3.76,901,0.55,200
2023-09-19,9627,41.29,3.86,901,0.54,200
2023-09-20,9627,41.73,3.91,901,0.53,200
2023-09-21,9627,38.68,3.62,901,0.57,200
2023-09-22,9627,44.95,4.21,901,0.49,200
2023-09-25,9627,42.95,4.02,901,0.52,200
2023-09-26,9627,42.95,4.02,901,0.52,200
2023-09-27,9627,45.28,4.24,901,0.49,200
2023-10-04,9627,42.01,3.93,901,0.53,200
2023-10-05,9627,37.18,3.48,901,0.6,200
2023-10-06,9627,36.85,3.45,901,0.6,200
2023-10-10,9627,35.18,3.29,901,0.63,200
2023-10-11,9627,35.52,3.32,901,0.63,200
2023-10-12,9627,37.29,3.49,901,0.6,200
2023-10-13,9627,36.85,3.45,901,0.6,200
2023-10-16,9627,34.35,3.21,901,0.65,200
2023-10-17,9627,34.52,3.23,901,0.64,200
2023-10-18,9627,33.63,3.15,901,0.66,200
2023-10-19,9627,32.19,3.01,901,0.69,200
2023-10-20,9627,30.85,2.89,901,0.72,200
2023-10-23,9627,30.52,2.86,901,0.73,200
2023-10-24,9627,31.69,2.97,901,0.7,200
2023-10-25,9627,30.97,2.9,901,0.72,200
2023-10-26,9627,29.63,2.77,901,0.75,200
2023-10-27,9627,29.47,2.76,901,0.75,200
2023-10-30,9627,30.97,2.9,901,0.72,200
2023-10-31,9627,29.97,2.8,901,0.74,200
2023-11-01,9627,31.52,2.95,901,0.7,200
2023-11-02,9627,32.85,3.07,901,0.68,200
2023-11-03,9627,33.96,3.18,901,0.65,200
2023-11-06,9627,35.74,3.34,901,0.62,200
2023-11-07,9627,35.29,3.3,901,0.63,200
2023-11-08,9627,34.07,3.19,901,0.65,200
2023-11-09,9627,33.57,3.14,901,0.66,200
2023-11-10,9627,31.85,2.98,901,0.7,200
2023-11-13,9627,31.13,2.91,901,0.71,200
2023-11-14,9627,32.8,3.07,901,0.68,200
2023-11-15,9627,34.07,3.19,901,0.65,200
2023-11-16,9627,34.52,3.23,901,0.64,200
2023-11-17,9627,33.3,3.12,901,0.67,200
2023-11-20,9627,34.57,3.24,901,0.64,200
2023-11-21,9627,34.96,3.27,901,0.63,200
2023-11-22,9627,36.85,3.45,901,0.6,200
2023-11-23,9627,36.35,3.4,901,0.61,200
2023-11-24,9627,37.74,3.53,901,0.59,200
2023-11-27,9627,36.85,3.45,901,0.6,200
2023-11-28,9627,38.57,3.61,901,0.58,200
2023-11-29,9627,37.35,3.5,901,0.59,200
2023-11-30,9627,38.73,3.63,901,0.57,200
2023-12-01,9627,37.07,3.47,901,0.6,200
2023-12-04,9627,36.13,3.38,901,0.61,200
2023-12-05,9627,35.79,3.35,901,0.62,200
2023-12-06,9627,36.63,3.43,901,0.61,200
2023-12-07,9627,35.41,3.31,901,0.63,200
2023-12-08,9627,36.57,3.42,901,0.61,200
2023-12-11,9627,37.85,3.54,901,0.59,200
2023-12-12,9627,38.18,3.57,901,0.58,200
2023-12-13,9627,39.07,3.66,901,0.57,200
2023-12-14,9627,39.4,3.69,901,0.56,200
2023-12-15,9627,39.23,3.67,901,0.57,200
2023-12-18,9627,40.95,3.83,901,0.54,200
2023-12-19,9627,40.12,3.76,901,0.55,200
2023-12-20,9627,39.73,3.72,901,0.56,200
2023-12-21,9627,39.51,3.7,901,0.56,200
2023-12-22,9627,38.9,3.64,901,0.57,200
2023-12-26,9627,38.68,3.62,901,0.57,200
2023-12-27,9627,39.68,3.71,901,0.56,200
2023-12-28,9627,39.96,3.74,901,0.56,200
2024-01-02,9627,40.07,3.75,901,0.55,200
2024-01-03,9627,38.24,3.58,901,0.58,200
2024-01-04,9627,37.68,3.53,901,0.59,200
2024-01-05,9627,38.12,3.57,901,0.58,200
2024-01-08,9627,38.18,3.57,901,0.58,200
2024-01-09,9627,37.68,3.53,901,0.59,200
2024-01-10,9627,38.51,3.6,901,0.58,200
2024-01-11,9627,38.07,3.56,901,0.58,200
2024-01-12,9627,39.01,3.65,901,0.57,200
2024-01-15,9627,39.35,3.68,901,0.56,200
2024-01-16,9627,39.9,3.73,901,0.56,200
2024-01-17,9627,37.9,3.55,901,0.59,200
2024-01-18,9627,36.96,3.46,901,0.6,200
2024-01-19,9627,37.85,3.54,901,0.59,200
2024-01-22,9627,38.57,3.61,901,0.58,200
2024-01-23,9627,37.46,3.51,901,0.59,200
2024-01-24,9627,37.18,3.48,901,0.6,200
2024-01-25,9627,35.41,3.31,901,0.63,200
2024-01-26,9627,35.79,3.35,901,0.62,200
2024-01-29,9627,33.68,3.15,901,0.66,200
2024-01-30,9627,33.52,3.14,901,0.66,200
2024-01-31,9627,32.35,3.03,901,0.69,200
2024-02-01,9627,33.52,3.14,901,0.66,200
2024-02-02,9627,33.8,3.16,901,0.66,200
2024-02-05,9627,33.46,3.13,901,0.66,200
2024-02-06,9627,33.57,3.14,901,0.66,200
2024-02-07,9627,33.35,3.12,901,0.67,200
2024-02-08,9627,33.85,3.17,901,0.66,200
2024-02-13,9627,34.96,3.27,901,0.63,200
2024-02-14,9627,35.07,3.28,901,0.63,200
2024-02-15,9627,34.85,3.26,901,0.64,200
