날짜,시가총액,거래량,거래대금,상장주식수
2023-06-07,771772128000,769339,26671667650,22177360
2023-06-08,773989864000,793833,27367632850,22177360
2023-06-09,772880996000,581728,20289485650,22177360
2023-06-12,751812504000,663099,22785529450,22177360
2023-06-13,755139108000,582327,19651167000,22177360
2023-06-14,728526276000,726357,24154485150,22177360
2023-06-15,729635144000,410004,13474112600,22177360
2023-06-16,734070616000,378476,12559752350,22177360
2023-06-19,751812504000,727801,24638230650,22177360
2023-06-20,746268164000,473002,15787163100,22177360
2023-06-21,694151368000,1037615,33027179500,22177360
2023-06-22,683062688000,531913,16646492450,22177360
2023-06-23,670865140000,531769,16125989850,22177360
2023-06-26,658667592000,390864,11653715300,22177360
2023-06-27,657558724000,379032,11289913250,22177360
2023-06-28,657558724000,362981,10905306500,22177360
2023-06-29,657558724000,234294,6972552850,22177360
2023-06-30,660885328000,317838,9403922850,22177360
2023-07-03,667538536000,267338,8054682700,22177360
2023-07-04,657558724000,285473,8451564950,22177360
2023-07-05,657558724000,312647,9173231700,22177360
2023-07-06,636490232000,370544,10803937050,22177360
2023-07-07,634272496000,246722,7096114050,22177360
2023-07-10,618748344000,414740,11631572000,22177360
2023-07-11,633163628000,253104,7172995350,22177360
2023-07-12,639816836000,274621,7878943900,22177360
2023-07-13,642034572000,270842,7882467800,22177360
2023-07-14,629837024000,341216,9676560200,22177360
2023-07-17,679736084000,989222,29502945550,22177360
2023-07-18,656449856000,459121,13686544800,22177360
2023-07-19,681953820000,728564,22115251050,22177360
2023-07-20,721873068000,1516321,48235405100,22177360
2023-07-21,707457784000,1497756,49177881750,22177360
2023-07-24,711893256000,757332,24340916100,22177360
2023-07-25,666429668000,630339,19334886550,22177360
2023-07-26,635381364000,782480,22751280450,22177360
2023-07-27,649796648000,699003,20735090300,22177360
2023-07-28,665320800000,398386,11964562650,22177360
2023-07-31,708566652000,1032093,32523812050,22177360
2023-08-01,719655332000,1234943,40171392700,22177360
2023-08-02,691933632000,1160436,37808441800,22177360
2023-08-03,709675520000,660482,20953132950,22177360
2023-08-04,758465712000,2508731,84180135800,22177360
2023-08-07,728526276000,2836313,97256493000,22177360
2023-08-08,731852880000,790691,26136065150,22177360
2023-08-09,718546464000,726731,23806713550,22177360
2023-08-10,696369104000,647074,20592334550,22177360
2023-08-11,717437596000,743448,23817388500,22177360
2023-08-14,726308540000,621087,20257352400,22177360
2023-08-16,667538536000,708350,21834444050,22177360
2023-08-17,657558724000,485401,14286807850,22177360
2023-08-18,640925704000,327328,9490877200,22177360
2023-08-21,638707968000,255831,7406975050,22177360
2023-08-22,627619288000,251332,7215957300,22177360
2023-08-23,625401552000,215570,6138941800,22177360
2023-08-24,654232120000,418436,12250267100,22177360
2023-08-25,643143440000,171489,4949675250,22177360
2023-08-28,664211932000,345451,10333547150,22177360
2023-08-29,669756272000,211105,6337950000,22177360
2023-08-30,668647404000,307392,9308339300,22177360
2023-08-31,726308540000,1810211,57610951150,22177360
2023-09-01,716328728000,1618793,53153534350,22177360
2023-09-04,820562320000,18776316,698858709000,22177360
2023-09-05,827215528000,3144323,116358584550,22177360
2023-09-06,809473640000,3009836,111943696150,22177360
2023-09-07,885985532000,14821643,611763706600,22177360
2023-09-08,928122516000,6197135,255306244900,22177360
2023-09-11,905945156000,8542639,365118043150,22177360
2023-09-12,852719492000,3154426,127478919600,22177360
2023-09-13,806147036000,2541672,94375856450,22177360
2023-09-14,849392888000,3836055,144856972300,22177360
2023-09-15,806147036000,1257960,46298908650,22177360
2023-09-18,801711564000,774732,28239655650,22177360
2023-09-19,824997792000,1679255,61396772550,22177360
2023-09-20,833868736000,1852596,69868984000,22177360
2023-09-21,772880996000,1012157,36151860300,22177360
2023-09-22,898183080000,9089147,357760181300,22177360
2023-09-25,858263832000,3842223,151437553900,22177360
2023-09-26,858263832000,4795235,193736244500,22177360
2023-09-27,904836288000,5810014,236989380000,22177360
2023-10-04,839413076000,2311376,88148699700,22177360
2023-10-05,742941560000,2939762,101511974350,22177360
2023-10-06,736288352000,885546,29704009400,22177360
2023-10-10,703022312000,1069291,34961152600,22177360
2023-10-11,709675520000,664885,21596277000,22177360
2023-10-12,745159296000,913312,30509149500,22177360
2023-10-13,736288352000,600640,19900965650,22177360
2023-10-16,686389292000,692087,21618318900,22177360
2023-10-17,689715896000,531895,16846166900,22177360
2023-10-18,671974008000,444280,13675642600,22177360
2023-10-19,643143440000,586947,17204181450,22177360
2023-10-20,616530608000,723037,20316484200,22177360
2023-10-23,609877400000,444918,12410456650,22177360
2023-10-24,633163628000,538188,14934105500,22177360
2023-10-25,618748344000,416990,11855034150,22177360
2023-10-26,592135512000,413172,11145938800,22177360
