날짜,시가,고가,저가,종가,거래량,등락률
2024-01-26,28950,29200,27000,29200,4900303,
2024-01-29,25000,25050,20450,20450,10892576,-29.96575342465753
2024-01-30,17450,22100,17380,17710,17225580,-13.398533007334965
2024-01-31,18770,19000,16600,16710,4672954,-5.646527385657821
2024-02-01,16310,18000,13890,16200,13384970,-3.052064631956912
2024-02-02,16200,17150,15990,16010,3741318,-1.1728395061728396
2024-02-05,16030,20800,16030,20800,23622677,29.918800749531542
2024-02-06,19800,25150,19000,20050,20500590,-3.6057692307692304
2024-02-07,20350,22250,19420,21450,13304485,6.982543640897755
2024-02-08,21000,22800,20000,20000,4881954,-6.75990675990676
2024-02-13,20800,22050,19340,19990,4553377,-0.05
2024-02-14,19590,20100,19070,19210,1439113,-3.9019509754877437
2024-02-15,19280,19350,18200,18200,1622855,-5.25767829255596
2024-02-16,17980,18570,17920,18040,1051852,-0.8791208791208791
2024-02-19,18010,20700,17850,18890,7019348,4.711751662971175
2024-02-20,19010,19900,18300,18360,2469535,-2.805717310746427
2024-02-21,18460,19040,17860,17870,1747830,-2.6688453159041394
2024-02-22,17880,18250,17600,17660,851118,-1.1751538891997761
2024-02-23,17660,17730,17000,17000,737796,-3.737259343148358
2024-02-26,15670,16430,15670,16100,956721,-5.294117647058823
2024-02-27,16010,16190,15180,15200,729349,-5.590062111801243
2024-02-28,15210,15850,15210,15330,473560,0.855263157894737
2024-02-29,15180,15250,14940,15000,293787,-2.152641878669276
2024-03-04,14850,15250,14680,14710,353547,-1.9333333333333333
2024-03-05,14710,16300,14680,15290,1861527,3.9428959891230457
2024-03-06,15150,15770,14940,15040,433349,-1.6350555918901242
2024-03-07,15040,15040,14700,14700,269322,-2.2606382978723407
2024-03-08,14870,14920,14240,14340,303644,-2.4489795918367347
2024-03-11,14340,15280,14030,14510,605062,1.1854951185495117
2024-03-12,14530,14880,14340,14800,281615,1.9986216402481045
2024-03-13,14800,14850,14300,14450,279335,-2.364864864864865
2024-03-14,14600,18700,14510,17830,15508544,23.391003460207614
2024-03-15,18770,21100,18140,18380,19699732,3.084688726864835
2024-03-18,18300,19340,18070,18710,6182278,1.7954298150163224
2024-03-19,18600,19170,17830,18250,2109767,-2.4585783003741315
2024-03-20,18000,19930,17990,18450,6231643,1.095890410958904
2024-03-21,18630,19390,18110,18390,2204457,-0.3252032520325203
2024-03-22,18700,19300,18390,18590,2089724,1.0875475802066341
2024-03-25,18680,19170,17920,18000,1383049,-3.1737493275954813
2024-03-26,18960,20700,18670,20150,14077912,11.944444444444445
2024-03-27,19790,20250,19050,19050,2155472,-5.459057071960298
2024-03-28,18710,19010,18150,18170,1263262,-4.619422572178477
2024-03-29,18310,18630,17850,17890,884776,-1.5410016510731976
2024-04-01,17840,18340,17660,18130,586583,1.3415315818893236
2024-04-02,18200,19320,17860,18120,2479140,-0.05515719801434087
2024-04-03,18200,19140,17900,18520,2008523,2.207505518763797
2024-04-04,18600,18790,18080,18140,654038,-2.0518358531317493
2024-04-05,18050,18960,17840,18450,1357131,1.7089305402425579
2024-04-08,18940,18950,18150,18310,549214,-0.7588075880758808
2024-04-09,18550,19700,18340,18440,3403768,0.70999453850355
2024-04-11,18620,18940,18100,18240,876926,-1.0845986984815619
2024-04-12,18170,18350,16670,17080,1128607,-6.359649122807018
2024-04-15,16710,16710,16240,16370,520966,-4.156908665105386
2024-04-16,16200,17170,16130,16130,414515,-1.4660965180207697
2024-04-17,15960,16500,15960,16100,238545,-0.18598884066955984
2024-04-18,16020,17900,16020,17300,2616938,7.453416149068323
2024-04-19,17350,18120,16400,17090,1099074,-1.2138728323699421
2024-04-22,17410,18170,17300,18030,1219918,5.5002925687536575
2024-04-23,18030,18850,17900,18200,1270722,0.9428729894620078
2024-04-24,18310,18910,17960,17990,1117753,-1.153846153846154
2024-04-25,18000,18110,17400,17410,539074,-3.224013340744859
2024-04-26,16950,17190,16510,16680,1063339,-4.192992533026995
2024-04-29,16810,16890,16300,16400,546580,-1.6786570743405276
2024-04-30,16480,16720,16330,16530,302557,0.7926829268292683
2024-05-02,16700,16960,16350,16370,333328,-0.9679370840895343
2024-05-03,16500,16550,16170,16210,233313,-0.9773976786805132
2024-05-07,16310,16650,16160,16480,279139,1.6656384947563232
2024-05-08,16600,16600,15800,15840,606382,-3.8834951456310676
2024-05-09,15960,16220,15840,15880,257843,0.25252525252525254
2024-05-10,15950,16060,15860,15920,174906,0.2518891687657431
2024-05-13,16050,16600,15830,16500,598294,3.6432160804020097
2024-05-14,16670,16670,16280,16370,194017,-0.787878787878788
2024-05-16,16420,16430,16080,16090,415315,-1.7104459376908978
2024-05-17,16150,16150,15840,15860,183177,-1.4294592914853945
2024-05-20,15860,15970,15410,15520,201612,-2.1437578814627996
2024-05-21,15520,15770,15420,15450,161407,-0.4510309278350515
2024-05-22,15520,15660,15390,15420,121009,-0.1941747572815534
2024-05-23,15550,15550,15150,15280,162771,-0.9079118028534372
2024-05-24,15200,15420,15070,15300,193091,0.13089005235602094
2024-05-27,15290,15460,14870,15240,308865,-0.39215686274509803
2024-05-28,15310,15680,15250,15270,217561,0.19685039370078738
2024-05-29,15500,16800,14940,15140,1175140,-0.8513425016371972
2024-05-30,15200,15780,15110,15160,250720,0.13210039630118892
2024-05-31,15180,15280,14960,15010,166578,-0.9894459102902375
2024-06-03,14950,15450,14880,15280,250222,1.798800799467022
2024-06-04,15200,15280,14940,14960,199263,-2.094240837696335
2024-06-05,14980,15040,14790,14820,148499,-0.9358288770053476
2024-06-07,14900,15000,14820,14850,107549,0.20242914979757085
2024-06-10,14750,14850,14600,14690,137284,-1.0774410774410774
2024-06-11,14740,14880,14630,14660,115366,-0.2042205582028591
2024-06-12,14660,14790,14610,14620,96030,-0.2728512960436562
2024-06-13,14810,14810,14600,14620,129851,0.0
2024-06-14,14630,15050,14570,14650,246878,0.2051983584131327
2024-06-17,14740,14750,14310,14320,164067,-2.2525597269624575
2024-06-18,14350,14390,14070,14160,149524,-1.1173184357541899
2024-06-19,14200,14760,14070,14590,345568,3.036723163841808
2024-06-20,14630,14890,14400,14410,171344,-1.233721727210418
2024-06-21,14500,15320,14400,14610,588229,1.3879250520471893
2024-06-24,14800,16250,14730,15370,2124818,5.201916495550993
2024-06-25,15770,16300,15140,15270,1625923,-0.6506180871828237
2024-06-26,15260,15980,15000,15650,512022,2.4885396201702688
2024-06-27,15720,15880,15120,15220,258914,-2.747603833865815
2024-06-28,15450,15940,15220,15360,425306,0.9198423127463863
2024-07-01,15520,16290,15290,15890,726820,3.4505208333333335
2024-07-02,15900,16170,15600,15970,404380,0.5034612964128383
2024-07-03,15930,16070,15230,15340,425439,-3.9448966812773953
2024-07-04,15320,15520,15050,15260,230857,-0.5215123859191656
2024-07-05,15400,15490,14690,14720,310492,-3.5386631716906947
2024-07-08,14720,15050,14720,14950,124722,1.5625
2024-07-09,15050,15080,14510,14520,231942,-2.8762541806020065
2024-07-10,14540,15040,14530,14760,219367,1.6528925619834711
2024-07-11,14890,14980,14560,14570,131174,-1.2872628726287263
2024-07-12,14600,14620,14290,14400,113322,-1.1667810569663692
2024-07-15,14410,14630,14290,14380,207335,-0.1388888888888889
2024-07-16,14390,14760,14340,14650,202280,1.8776077885952713
2024-07-17,14870,16580,14760,15820,3511368,7.986348122866895
2024-07-18,15500,15950,15300,15500,696581,-2.0227560050568902
2024-07-19,15540,15550,14750,14800,392893,-4.516129032258064
2024-07-22,14800,15540,14800,15040,329138,1.6216216216216217
2024-07-23,15130,15550,14950,15500,359257,3.0585106382978724
2024-07-24,15580,15730,15260,15540,335398,0.25806451612903225
2024-07-25,15270,15440,14930,14940,228262,-3.861003861003861
2024-07-26,14890,16090,14500,15650,1094482,4.7523427041499335
2024-07-29,15630,16220,15360,16040,675173,2.4920127795527156
2024-07-30,15970,16020,15150,15220,465884,-5.112219451371571
2024-07-31,15300,15600,15010,15210,281453,-0.0657030223390276
2024-08-01,15170,15420,15130,15340,151063,0.8547008547008548
2024-08-02,15080,15160,14410,14440,303461,-5.867014341590613
2024-08-05,13900,13940,11080,11750,541218,-18.628808864265928
2024-08-06,12050,12800,11950,12610,236836,7.319148936170213
2024-08-07,12610,13200,12610,13050,137899,3.4892942109436955
2024-08-08,12810,13390,12810,13180,122526,0.996168582375479
2024-08-09,13380,13620,13180,13310,146550,0.9863429438543246
2024-08-12,13420,13490,13300,13460,94277,1.1269722013523666
2024-08-13,13560,13570,13100,13200,92774,-1.9316493313521546
2024-08-14,13350,13630,13260,13600,111155,3.0303030303030303
2024-08-16,13690,13820,13490,13720,202112,0.8823529411764706
2024-08-19,13710,13800,13250,13250,142709,-3.4256559766763846
2024-08-20,13360,13550,13260,13430,79652,1.3584905660377358
2024-08-21,13430,13430,13060,13200,78097,-1.7125837676842888
2024-08-22,13280,13290,12750,12810,148479,-2.9545454545454546
2024-08-23,12740,12740,12520,12650,78607,-1.249024199843872
2024-08-26,12630,12720,12340,12360,100050,-2.292490118577075
2024-08-27,12220,12460,12220,12410,77612,0.40453074433656955
2024-08-28,12540,12650,12140,12150,103872,-2.09508460918614
2024-08-29,12200,12200,11880,11880,89893,-2.2222222222222223
2024-08-30,11880,12280,11880,12240,90927,3.0303030303030303
2024-09-02,12240,12310,11970,12140,69836,-0.8169934640522877
2024-09-03,12140,12260,12090,12100,45971,-0.3294892915980231
2024-09-04,11700,11890,11560,11570,100114,-4.380165289256198
2024-09-05,11570,11660,11140,11180,95829,-3.3707865168539324
2024-09-06,11100,11180,10780,10780,109957,-3.5778175313059033
2024-09-09,10290,11840,10270,10670,568274,-1.0204081632653061
2024-09-10,10780,10990,10530,10570,151461,-0.937207122774133
2024-09-11,10680,10870,10300,10410,110933,-1.5137180700094608
2024-09-12,10500,10990,10500,10990,116604,5.571565802113352
2024-09-13,11100,11280,10940,10990,79047,0.0
2024-09-19,11050,11280,10850,11050,64722,0.5459508644222021
2024-09-20,11100,11400,11000,11060,79615,0.09049773755656108
2024-09-23,11070,11190,10880,11120,51840,0.5424954792043399
2024-09-24,11130,11300,11000,11300,73144,1.618705035971223
2024-09-25,11300,11480,11200,11300,98753,0.0
2024-09-26,11400,11490,11240,11490,67033,1.6814159292035398
2024-09-27,11510,11510,11290,11310,54731,-1.5665796344647518
2024-09-30,11260,11380,11100,11140,49297,-1.5030946065428823
2024-10-02,10650,11070,10560,10860,46435,-2.5134649910233393
2024-10-04,11160,11160,10880,10930,26123,0.6445672191528545
2024-10-07,10930,11070,10770,11020,52084,0.8234217749313815
2024-10-08,10890,11080,10850,10900,59195,-1.0889292196007259
2024-10-10,11150,11150,10870,10870,35563,-0.27522935779816515
2024-10-11,10870,10910,10520,10540,75303,-3.035878564857406
2024-10-14,10650,10750,10450,10730,78108,1.8026565464895636
2024-10-15,10750,11020,10510,10800,62110,0.65237651444548
2024-10-16,10700,10940,10540,10560,61085,-2.2222222222222223
2024-10-17,10570,10700,10460,10690,57481,1.231060606060606
2024-10-18,10690,10770,10180,10240,143574,-4.20954162768943
2024-10-21,10340,10540,10210,10320,70533,0.78125
2024-10-22,10320,10420,10010,10040,89371,-2.7131782945736433
2024-10-23,10050,10250,9960,10150,99512,1.0956175298804782
2024-10-24,10090,10090,9880,10010,109174,-1.3793103448275863
2024-10-25,9990,10110,9800,9840,81732,-1.6983016983016983
2024-10-28,9780,9920,9750,9900,77522,0.6097560975609756
2024-10-29,9920,10120,9850,10090,68913,1.9191919191919191
2024-10-30,9990,10120,9890,9940,54434,-1.4866204162537164
2024-10-31,9930,9990,9580,9960,89128,0.2012072434607646
2024-11-01,9980,9980,9710,9860,58121,-1.0040160642570282
2024-11-04,9810,10190,9810,10110,64024,2.535496957403651
2024-11-05,10110,10400,10090,10180,70393,0.6923837784371909
2024-11-06,10180,10310,10000,10300,66953,1.1787819253438114
2024-11-07,10360,13390,10280,13390,5053687,30.0
2024-11-08,15310,15700,14270,14610,10252610,9.111277072442121
2024-11-11,15510,17770,15330,16580,11998877,13.483915126625599
2024-11-12,16110,16700,15650,16590,3258226,0.060313630880579006
2024-11-13,16000,16200,14300,14450,1445425,-12.899336949969861
