date,region,country,index_name,slug,ticker,open,high,low,close,adj_close,volume,source,source_url,downloaded_at
2010-01-04,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32120.740234375,32758.529296875,32120.740234375,32758.529296875,32758.529296875,136257800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-05,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32729.30078125,33073.7109375,32628.240234375,32732.759765625,32732.759765625,165541900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-06,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32730.419921875,32922.12109375,32639.439453125,32830.16015625,32830.16015625,126000100,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-07,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32830.21875,33069.78125,32670.98046875,33064.5703125,33064.5703125,123563200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-08,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,33067.5703125,33080.05078125,32779.66015625,32892.0390625,32892.0390625,109516900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-11,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32892.109375,33047.23046875,32711.0390625,32935.37890625,32935.37890625,150332200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-12,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32950.33984375,32976.609375,32719.619140625,32792.66015625,32792.66015625,139205800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-13,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32792.87109375,32929.3203125,32607.939453125,32836.078125,32836.078125,143683200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-14,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32843.55859375,32847.9296875,32429.669921875,32729.580078125,32729.580078125,447963200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-15,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32725.41015625,32728.41015625,32262.099609375,32262.30078125,32262.30078125,318270300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-18,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32262.529296875,32491.48046875,32262.529296875,32482.73046875,32482.73046875,32108200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-19,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32493.359375,32618.009765625,32367.859375,32473.05078125,32473.05078125,213255300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-20,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32466.0390625,32466.0390625,31946.76953125,32025.33984375,32025.33984375,215329000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-21,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,32033.849609375,32151.80078125,31181.720703125,31205.30078125,31205.30078125,243330800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-22,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,31203.099609375,31212.55078125,30612.060546875,30830.91015625,30830.91015625,210227600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-25,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30831.400390625,31080.98046875,30465.060546875,30465.060546875,30465.060546875,196961600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-26,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30461.859375,30764.759765625,30209.08984375,30651.560546875,30651.560546875,183139500,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-27,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30629.7890625,30677.0390625,30082.76953125,30610.830078125,30610.830078125,306309200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-28,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30620.58984375,30926.05078125,30334.669921875,30811.349609375,30811.349609375,202374700,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-01-29,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30811.470703125,31002.7890625,30343.05078125,30391.609375,30391.609375,241668900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-02-02,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30416.640625,30922.029296875,30416.640625,30876.650390625,30876.650390625,183848300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-02-03,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30869.990234375,31396.900390625,30763.640625,31287.0390625,31287.0390625,212362200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-02-04,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,31285.529296875,31285.529296875,30530.41015625,30603.7109375,30603.7109375,182901900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
2010-02-05,North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,30603.880859375,30630.73046875,29926.060546875,30630.73046875,30630.73046875,202078000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EMXX/,2026-06-04T20:11:11+09:00
