날짜,시가총액,거래량,거래대금,상장주식수
2023-06-07,842409138600,305396,12618358700,20201658
2023-06-08,837358724100,290950,11901256350,20201658
2023-06-09,830288143800,414359,17164382450,20201658
2023-06-12,858570465000,423671,17979771100,20201658
2023-06-13,862610796600,295971,12748911550,20201658
2023-06-14,835338558300,345667,14483954600,20201658
2023-06-15,855540216300,384251,16240124350,20201658
2023-06-16,854530133400,302586,12883557750,20201658
2023-06-19,834328475400,177216,7346343650,20201658
2023-06-20,822207480600,194350,7904276850,20201658
2023-06-21,797965491000,236313,9483705350,20201658
2023-06-22,797965491000,123686,4895407200,20201658
2023-06-23,802005822600,168801,6813100850,20201658
2023-06-26,804025988400,100133,3997615200,20201658
2023-06-27,795945325200,130531,5098035250,20201658
2023-06-28,782814247500,140012,5449701200,20201658
2023-06-29,800995739700,152055,6008709600,20201658
2023-06-30,781804164600,218342,8401389200,20201658
2023-07-03,791904993600,117852,4640906800,20201658
2023-07-04,786854579100,149120,5799266400,20201658
2023-07-05,772713418500,244222,9333925100,20201658
2023-07-06,759582340800,442505,17248471550,20201658
2023-07-07,747461346000,187159,6911583000,20201658
2023-07-10,727259688000,160350,5804019200,20201658
2023-07-11,751501677600,162237,5998422100,20201658
2023-07-12,754531926300,124649,4614878900,20201658
2023-07-13,768673086900,185984,7114415350,20201658
2023-07-14,793925159400,323625,12647939300,20201658
2023-07-17,787864662000,175374,6857215900,20201658
2023-07-18,800995739700,253031,9952139050,20201658
2023-07-19,847459553100,868853,36113055350,20201658
2023-07-20,974729998500,4948611,237984850600,20201658
2023-07-21,960588837900,1133026,53053643250,20201658
2023-07-24,965639252400,1189651,57309598250,20201658
2023-07-25,970689666900,1197394,58414404450,20201658
2023-07-26,869681376900,1407083,63211276150,20201658
2023-07-27,871701542700,446320,19559854400,20201658
2023-07-28,883822537500,327021,14276021150,20201658
2023-07-31,908064527100,358534,15953787550,20201658
2023-08-01,889883034900,642245,28650640950,20201658
2023-08-02,851499884700,502320,21727216000,20201658
2023-08-03,859580547900,362925,15342187500,20201658
2023-08-04,859580547900,226284,9644072800,20201658
2023-08-07,847459553100,229458,9783665050,20201658
2023-08-08,835338558300,240433,9949539550,20201658
2023-08-09,835338558300,172403,7090670950,20201658
2023-08-10,802005822600,303989,12127308750,20201658
2023-08-11,791904993600,214555,8468241650,20201658
2023-08-14,790894910700,172743,6749895600,20201658
2023-08-16,769683169800,217756,8335261300,20201658
2023-08-17,784834413300,241433,9163812250,20201658
2023-08-18,776753750100,162370,6230342600,20201658
2023-08-21,771703335600,115204,4457086050,20201658
2023-08-22,777763833000,122603,4730597250,20201658
2023-08-23,759582340800,142578,5379040350,20201658
2023-08-24,761602506600,243715,9166892800,20201658
2023-08-25,743421014400,224043,8233727700,20201658
2023-08-28,757562175000,86009,3215782300,20201658
2023-08-29,771703335600,116795,4434432300,20201658
2023-08-30,770693252700,119682,4587851350,20201658
2023-08-31,768673086900,172070,6568089700,20201658
2023-09-01,771703335600,170967,6537450600,20201658
2023-09-04,771703335600,200789,7575112000,20201658
2023-09-05,771703335600,102490,3901726050,20201658
2023-09-06,747461346000,139890,5221641600,20201658
2023-09-07,734330268300,167667,6104860400,20201658
2023-09-08,723219356400,177264,6313470700,20201658
2023-09-11,697967283900,288197,9991621850,20201658
2023-09-12,698977366800,159762,5533234250,20201658
2023-09-13,674735377200,282711,9501988450,20201658
2023-09-14,695947118100,238240,8169327750,20201658
2023-09-15,703017698400,160288,5582057850,20201658
2023-09-18,699987449700,118594,4096525200,20201658
2023-09-19,690896703600,123164,4215735350,20201658
2023-09-20,698977366800,97420,3341697550,20201658
2023-09-21,657563967900,322840,10630259200,20201658
2023-09-22,672715211400,112232,3693134500,20201658
2023-09-25,666654714000,79084,2603443850,20201658
2023-09-26,647463138900,132468,4268343300,20201658
2023-09-27,644432890200,99105,3144237700,20201658
2023-10-04,624231232200,161933,5019262500,20201658
2023-10-05,622211066400,124718,3893929300,20201658
2023-10-06,623221149300,100582,3108617750,20201658
2023-10-10,615140486100,110259,3397992850,20201658
2023-10-11,625241315100,102756,3203397600,20201658
2023-10-12,649483304700,105822,3386675000,20201658
2023-10-13,619180817700,233688,7205984750,20201658
2023-10-16,599989242600,188707,5575586350,20201658
2023-10-17,613120320300,149530,4498267850,20201658
2023-10-18,606049740000,128520,3853170450,20201658
2023-10-19,580797667500,221360,6350127000,20201658
2023-10-20,576757335900,184029,5196018550,20201658
2023-10-23,564636341100,172292,4857491650,20201658
2023-10-24,589888413600,145152,4149141050,20201658
2023-10-25,585848082000,111003,3212690550,20201658
2023-10-26,556555677900,166149,4623039950,20201658
2023-10-27,565646424000,118425,3326234500,20201658
2023-10-30,560596009500,60830,1693229350,20201658
2023-10-31,538374185700,121644,3273690550,20201658
2023-11-01,542414517300,98532,2650911750,20201658
2023-11-02,562616175300,126657,3520593900,20201658
2023-11-03,567666589800,94810,2643853500,20201658
2023-11-06,640392558600,462389,14148696150,20201658
2023-11-07,666654714000,646222,21260287600,20201658
2023-11-08,677765625900,380957,12948455450,20201658
2023-11-09,663624465300,178869,5973021500,20201658
2023-11-10,667664796900,117676,3847970050,20201658
2023-11-13,669684962700,131076,4334506800,20201658
2023-11-14,662614382400,119595,3941761500,20201658
2023-11-15,674735377200,124673,4167419800,20201658
2023-11-16,683826123300,84008,2795674200,20201658
2023-11-17,668674879800,96256,3194782800,20201658
2023-11-20,718168941900,523613,18498916300,20201658
2023-11-21,700997532600,431620,15282779750,20201658
2023-11-22,682816040400,156524,5317499250,20201658
2023-11-23,683826123300,105172,3532575900,20201658
2023-11-24,668674879800,144940,4802175500,20201658
2023-11-27,670695045600,108450,3599672400,20201658
2023-11-28,666654714000,160506,5263797100,20201658
2023-11-29,670695045600,131966,4328324500,20201658
2023-11-30,664634548200,154528,5138501900,20201658
2023-12-01,644432890200,134342,4311907500,20201658
2023-12-04,658574050800,112143,3659428750,20201658
2023-12-05,610090071600,386496,11925708500,20201658
2023-12-06,617160651900,130614,3962476650,20201658
2023-12-07,606049740000,115044,3475453550,20201658
2023-12-08,630291729600,141497,4375149650,20201658
2023-12-11,628271563800,59579,1856419500,20201658
2023-12-12,626251398000,96133,2979926600,20201658
2023-12-13,621200983500,116870,3622890700,20201658
2023-12-14,644432890200,189699,6030015500,20201658
2023-12-15,657563967900,173729,5626094550,20201658
2023-12-18,675745460100,233717,7844013250,20201658
2023-12-19,676755543000,120156,4029156900,20201658
2023-12-20,657563967900,187579,6112036700,20201658
2023-12-21,655543802100,82087,2663776200,20201658
2023-12-22,650493387600,92184,2981903100,20201658
2023-12-26,642412724400,103477,3294900000,20201658
2023-12-27,647463138900,102309,3285673300,20201658
2023-12-28,646453056000,78956,2516594550,20201658
2024-01-02,650493387600,112450,3605994250,20201658
2024-01-03,631301812500,186885,5826019400,20201658
2024-01-04,633321978300,69413,2166696950,20201658
2024-01-05,639382475700,78738,2471756300,20201658
2024-01-08,656553885000,159561,5164485200,20201658
2024-01-09,660594216600,102263,3338229850,20201658
2024-01-10,633321978300,149738,4717933250,20201658
2024-01-11,633321978300,102668,3214017350,20201658
2024-01-12,615140486100,111976,3437107450,20201658
2024-01-15,605039657100,86605,2593940350,20201658
2024-01-16,599989242600,81443,2424215000,20201658
2024-01-17,583827916200,118319,3444486300,20201658
2024-01-18,586858164900,138172,3983704450,20201658
2024-01-19,583827916200,147220,4295386350,20201658
2024-01-22,590898496500,118691,3452012250,20201658
2024-01-23,609079988700,238571,7076365200,20201658
2024-01-24,583827916200,180134,5246322650,20201658
2024-01-25,574737170100,129826,3694253150,20201658
2024-01-26,572717004300,118648,3377077950,20201658
2024-01-29,570696838500,130311,3663358800,20201658
2024-01-30,565646424000,85324,2387300850,20201658
2024-01-31,553525429200,100381,2766023650,20201658
2024-02-01,554535512100,147273,3998024450,20201658
2024-02-02,585848082000,191903,5484676950,20201658
2024-02-05,571706921400,85365,2427906450,20201658
2024-02-06,585848082000,105299,3012091350,20201658
2024-02-07,584837999100,84371,2471542000,20201658
2024-02-08,577767418800,44087,1272429550,20201658
2024-02-13,583827916200,70376,2038347800,20201658
2024-02-14,595948911000,179954,5240231450,20201658
2024-02-15,607059822900,239875,7301861750,20201658
2024-02-16,600999325500,113745,3381438950,20201658
2024-02-19,611100154500,161640,4888710650,20201658
2024-02-20,609079988700,113679,3406742400,20201658
2024-02-21,621200983500,212487,6537941450,20201658
2024-02-22,615140486100,123289,3766821550,20201658
2024-02-23,616150569000,121871,3707752750,20201658
