ticker,target_price,opinion_score,opinion_text
035900,91824.0,4.0,매수
161890,121556.0,4.0,매수
078600,215000.0,4.0,매수
097230,39500.0,4.0,매수
192820,251438.0,3.94,매수
140860,369167.0,4.0,매수
000120,136833.0,4.0,매수
112610,79889.0,4.0,매수
009155,1679600.0,4.0,매수
322000,253000.0,4.0,매수
001430,87278.0,3.89,매수
041510,130105.0,4.0,매수
462870,45000.0,3.9,매수
181710,51273.0,4.0,매수
060370,43667.0,4.0,매수
096530,44500.0,4.0,매수
347700,70000.0,4.0,매수
001800,33000.0,4.0,매수
017960,57250.0,4.0,매수
039200,75000.0,4.0,매수
005070,63667.0,4.0,매수
420770,175000.0,4.0,매수
006280,211538.0,4.0,매수
298020,662000.0,4.0,매수
006040,55000.0,4.0,매수
001120,67286.0,3.86,매수
361610,25900.0,3.3,중립
003540,45667.0,3.67,매수
077970,72000.0,4.0,매수
192080,81083.0,4.0,매수
032500,70000.0,4.0,매수
032350,29692.0,4.0,매수
069620,208000.0,4.0,매수
099320,210000.0,4.0,매수
073240,8022.0,3.89,매수
003570,77000.0,4.0,매수
490470,52000.0,4.0,매수
089970,92500.0,4.0,매수
397030,100667.0,4.0,매수
189300,180833.0,4.0,매수
294870,30917.0,4.0,매수
195870,100611.0,4.0,매수
475150,51000.0,4.0,매수
034230,23273.0,4.0,매수
004000,73750.0,4.0,매수
232140,24000.0,4.0,매수
036540,10000.0,4.0,매수
051915,465813.0,3.81,매수
012630,34500.0,4.0,매수
295310,136000.0,4.0,매수
195940,68231.0,4.0,매수
491000,120000.0,4.0,매수
082640,9900.0,4.0,매수
000815,659824.0,3.88,매수
000080,24000.0,4.0,매수
166090,95000.0,4.0,매수
093370,20000.0,4.0,매수
458870,71750.0,4.0,매수
089860,44625.0,4.0,매수
204270,26000.0,4.0,매수
456040,147500.0,4.0,매수
300720,20000.0,4.0,매수
000210,82000.0,4.0,매수
185750,111667.0,4.0,매수
388210,200500.0,4.0,매수
100090,25857.0,4.0,매수
280360,170500.0,4.0,매수
009450,99500.0,4.0,매수
005300,162273.0,4.0,매수
356860,106464.0,4.0,매수
090460,43182.0,4.0,매수
071055,345875.0,4.0,매수
056190,38500.0,4.0,매수
183300,170932.0,4.0,매수
126340,168500.0,4.0,매수
248070,27600.0,4.0,매수
035760,74250.0,4.0,매수
213420,63857.0,4.0,매수
298050,281667.0,3.83,매수
050890,27333.0,4.0,매수
108320,62000.0,4.0,매수
293490,13000.0,3.5,매수
033240,62000.0,4.0,매수
033640,36000.0,4.0,매수
499790,73167.0,4.0,매수
00088K,176200.0,4.0,매수
086450,35500.0,4.0,매수
005690,26000.0,4.0,매수
030190,20000.0,4.0,매수
010780,46750.0,4.0,매수
079900,68500.0,4.0,매수
214320,25375.0,4.0,매수
122870,76778.0,4.0,매수
052400,96500.0,4.0,매수
036530,83000.0,4.0,매수
014620,47000.0,4.0,매수
075580,28000.0,4.0,매수
336370,18667.0,4.0,매수
074600,55000.0,4.0,매수
006650,213571.0,4.0,매수
476060,30000.0,4.0,매수
025540,110000.0,4.0,매수
071320,130000.0,4.0,매수
064960,45500.0,4.0,매수
253450,50083.0,4.0,매수
121600,110000.0,4.0,매수
023160,56500.0,4.0,매수
241710,117111.0,4.0,매수
171090,166333.0,4.0,매수
003850,14000.0,4.0,매수
009240,45000.0,3.57,매수
079160,6600.0,3.67,매수
285130,80000.0,4.0,매수
100840,66000.0,4.0,매수
005090,81667.0,4.0,매수
365340,81750.0,4.0,매수
002020,100000.0,4.0,매수
000370,8471.0,3.71,매수
003160,44500.0,4.0,매수
336570,10750.0,4.0,매수
060250,25000.0,4.0,매수
006730,20000.0,4.0,매수
00104K,259600.0,4.0,매수
178920,33750.0,4.0,매수
002350,9817.0,3.92,매수
005880,2750.0,3.5,매수
044490,55000.0,4.0,매수
112040,30000.0,4.0,매수
058650,214000.0,4.0,매수
069260,25000.0,4.0,매수
001680,34500.0,4.0,매수
114090,16364.0,3.91,매수
005180,97500.0,4.0,매수
348210,94500.0,4.0,매수
036810,48000.0,4.0,매수
383310,45000.0,4.0,매수
249420,38000.0,4.0,매수
