date,kospi_pbr
2023-06-07,2.9012913304797125
2023-06-08,2.8646038988685767
2023-06-09,2.916383490640707
2023-06-12,2.9369568485852997
2023-06-13,2.986926800250681
2023-06-14,2.8430557964304657
2023-06-15,2.867489402690068
2023-06-16,2.9253847836501694
2023-06-19,2.9010059814192446
2023-06-20,2.8876207709464494
2023-06-21,2.8592061754795957
2023-06-22,2.8895557312651863
2023-06-23,2.8785550199437075
2023-06-26,2.8872477166382127
2023-06-27,2.836202376200486
2023-06-28,2.759630717636286
2023-06-29,2.7716947360357027
2023-06-30,2.799691784266055
2023-07-03,2.940998137409369
2023-07-04,2.96439545862231
2023-07-05,3.015057364790616
2023-07-06,2.9702900228448086
2023-07-07,3.011044937404152
2023-07-10,2.9686505532526897
2023-07-11,3.0114562364163673
2023-07-12,2.942590272340449
2023-07-13,3.016766060588619
2023-07-14,3.03940660617937
2023-07-17,3.0424693020997857
2023-07-18,3.2717807075017973
2023-07-19,3.404579317951415
2023-07-20,3.394847731235396
2023-07-21,3.5098067040232883
2023-07-24,3.6654424719728493
2023-07-25,3.9586047084777256
2023-07-26,3.809487972257091
2023-07-27,3.329280718797133
2023-07-28,3.523365187297585
2023-07-31,3.6810100720932786
2023-08-01,3.658252774716786
2023-08-02,3.4620687073651526
2023-08-03,3.5563906259027287
2023-08-04,3.5184998321929615
2023-08-07,3.2894598584118757
2023-08-08,3.3260271719794283
2023-08-09,3.43854185296208
2023-08-10,3.4430020153472936
2023-08-11,3.3746975526937324
2023-08-14,3.3205366657061353
2023-08-16,3.1774314610086773
2023-08-17,3.290501758265983
2023-08-18,3.2220967726508465
2023-08-21,3.322001535540161
2023-08-22,3.409413653458632
2023-08-23,3.3004980256676415
2023-08-24,3.431273837869074
2023-08-25,3.4587086367436157
2023-08-28,3.490558075578814
2023-08-29,3.445992417526485
2023-08-30,3.46182624775686
2023-08-31,3.5019863089280223
2023-09-01,3.3484975761507574
2023-09-04,3.351356850450839
2023-09-05,3.3905969154220865
2023-09-06,3.344992105544491
2023-09-07,3.271317571828035
2023-09-08,3.3253192483357377
2023-09-11,3.3049740951851616
2023-09-12,3.1916155981411194
2023-09-13,3.1052087332109246
2023-09-14,3.1948585856879803
2023-09-15,3.1665342546341533
2023-09-18,3.152957041800297
2023-09-19,3.11979501751472
2023-09-20,3.149991790391918
2023-09-21,3.076344833853823
2023-09-22,3.0644930566837636
2023-09-25,2.9340925150097266
2023-09-26,2.894429666032758
2023-09-27,2.9350231672427802
2023-10-04,2.7885706802110795
2023-10-05,2.8716429968400976
2023-10-06,2.9098782005548345
2023-10-10,2.784119131366831
2023-10-11,2.923987356999408
2023-10-12,3.006984666463188
2023-10-13,2.9362541993337676
2023-10-16,2.8759227713650355
2023-10-17,2.8957388745359034
2023-10-18,2.8341757623545436
2023-10-19,2.737192889471219
2023-10-20,2.6545240822141127
2023-10-23,2.6433940130487925
2023-10-24,2.720577151321584
2023-10-25,2.5752877419890265
2023-10-26,2.472506269507762
2023-10-27,2.496052503901543
2023-10-30,2.5724886812923815
2023-10-31,2.457240102774299
2023-11-01,2.4419716781830245
2023-11-02,2.6024146558262267
2023-11-03,2.6496963095636827
2023-11-06,3.12901736367975
2023-11-07,3.0049137285557004
2023-11-08,2.879728276985675
2023-11-09,2.798333749706348
2023-11-10,2.72326678934618
2023-11-13,2.66672216345544
2023-11-14,2.771148766783769
2023-11-15,2.8429346078049424
2023-11-16,2.820498883983506
2023-11-17,2.7895131040301244
2023-11-20,2.9051572978297657
2023-11-21,2.9353996680830026
2023-11-22,2.9259879984204322
2023-11-23,2.957905834730119
2023-11-24,2.995796412226033
2023-11-27,3.0300522513376675
2023-11-28,3.1285978551624782
2023-11-29,3.211137251914812
2023-11-30,3.315536732654407
2023-12-01,3.2564597483014395
2023-12-04,3.265220962199856
2023-12-05,3.1880794993848225
2023-12-06,3.19053504818282
2023-12-07,3.151224604110516
2023-12-08,3.2585849544183114
2023-12-11,3.3087143056829307
2023-12-12,3.347394631709912
2023-12-13,3.2449357081030574
2023-12-14,3.322636682317976
2023-12-15,3.420059216670015
2023-12-18,3.6780032750185874
2023-12-19,3.672068191799018
2023-12-20,3.795318281663227
2023-12-21,3.7612975624981058
2023-12-22,3.648991110440689
2023-12-26,3.614770829388121
2023-12-27,3.646779700604296
2023-12-28,3.7713347795211027
2024-01-02,3.793691934674951
2024-01-03,3.7113324889409753
2024-01-04,3.7079983649348955
2024-01-05,3.7084254461709993
2024-01-08,3.7266816063569252
2024-01-09,3.7201720861626097
2024-01-10,3.7518097835398017
2024-01-11,3.7376517670890106
2024-01-12,3.7210194165876347
2024-01-15,3.6082251589528296
2024-01-16,3.601295934139522
2024-01-17,3.499337764811941
2024-01-18,3.45021459842251
2024-01-19,3.4043790527989217
2024-01-22,3.2867463329196007
2024-01-23,3.1978736603291917
2024-01-24,3.1906566826924045
2024-01-25,3.0772438450720183
2024-01-26,3.155062902298278
2024-01-29,3.043923173694823
2024-01-30,3.0246739465208217
2024-01-31,2.9717866643060815
2024-02-01,3.0327862029157515
2024-02-02,3.079281021606792
2024-02-05,3.039398954308157
2024-02-06,3.0272586938214046
2024-02-07,3.0618060000706615
2024-02-08,3.1745414979587903
2024-02-13,3.352130875203835
2024-02-14,3.372480016811881
2024-02-15,3.4125238903128423
2024-02-16,3.3838143189028407
2024-02-19,3.310603610719827
2024-02-20,3.3761157170894633
2024-02-21,3.3526581369968067
2024-02-22,3.431308174408143
2024-02-23,3.4775927090493517
2024-02-26,3.538499164940031
2024-02-27,3.5353335385962272
2024-02-28,3.5614040572621954
2024-02-29,3.5441799515604537
2024-03-04,3.59208576769342
2024-03-05,3.5825896019416423
2024-03-06,3.6259262836376993
2024-03-07,3.5761083053735074
2024-03-08,3.663144324462277
2024-03-11,3.6802429979105304
2024-03-12,3.7835579791521923
2024-03-13,3.81105251271179
2024-03-14,3.823867317656091
2024-03-15,3.736957912148931
2024-03-18,3.8407831823479097
2024-03-19,3.878801853524343
2024-03-20,3.80125270078733
2024-03-21,3.8494602264574946
2024-03-22,3.8735509246968047
2024-03-25,3.9660299724239003
2024-03-26,3.9985070790449493
2024-03-27,3.8806022806101126
2024-03-28,3.919304695523339
2024-03-29,3.859885568954225
2024-04-01,3.827899774531621
2024-04-02,3.699774855564298
2024-04-03,3.635800579368735
2024-04-04,3.594820470910027
2024-04-05,3.4978258226684393
2024-04-08,3.5026442295697056
2024-04-09,3.523530255928385
2024-04-11,3.5525907473762204
2024-04-12,3.5921829752710255
2024-04-15,3.528299737033522
2024-04-16,3.4067595845128107
2024-04-17,3.3533148983459755
2024-04-18,3.5297490994549565
2024-04-19,3.4448175737973306
2024-04-22,3.4659922301687267
2024-04-23,3.4805707354454367
2024-04-24,3.615683875589909
2024-04-25,3.513223582735427
2024-04-26,3.509194691112512
2024-04-29,3.566698932280959
2024-04-30,3.56629007829892
2024-05-02,3.04532031613732
2024-05-03,2.996953811912069
2024-05-07,3.0294258679741906
2024-05-08,3.1196262737280813
2024-05-09,3.0956190821796556
2024-05-10,3.0955491869729004
2024-05-13,3.0602624761914132
2024-05-14,3.1077701324687195
2024-05-16,3.1429941760082425
2024-05-17,3.096632115261417
2024-05-20,3.038975042893694
2024-05-21,3.0130111415237883
2024-05-22,3.0204457900574364
2024-05-23,2.9891330627026806
2024-05-24,3.000429373314609
2024-05-27,3.0373791759487188
2024-05-28,3.050847557095391
2024-05-29,2.989301573115722
2024-05-30,2.9466096627653107
2024-05-31,2.980972770526091
2024-06-03,2.9991673541101918
2024-06-04,3.16936642116844
2024-06-05,3.2341533298784166
2024-06-07,3.419902207601523
2024-06-10,3.3502860625713784
2024-06-11,3.5121331903725412
2024-06-12,3.515769250380965
2024-06-13,3.5454012498836733
2024-06-14,3.4710225551175427
2024-06-17,3.457362252337782
2024-06-18,3.474385820647343
2024-06-19,3.405839227936574
2024-06-20,3.400818184789095
2024-06-21,3.504086278771229
2024-06-24,3.4687468399007266
2024-06-25,3.4730655434483206
2024-06-26,3.461653967131164
2024-06-27,3.444119451444835
2024-06-28,3.4223984614726124
2024-07-01,3.44659808040149
2024-07-02,3.350884539843884
2024-07-03,3.3917780246085294
2024-07-04,3.361586737907482
2024-07-05,3.5051594566680557
2024-07-08,3.5102111674123044
2024-07-09,3.4867677676033617
2024-07-10,3.5160236171030466
2024-07-11,3.500417923802155
2024-07-12,3.527539158432675
2024-07-15,3.534526171632247
2024-07-16,3.4786813146653017
2024-07-17,3.4485724911683695
2024-07-18,3.3591946871389027
2024-07-19,3.4280899545013073
2024-07-22,3.3257684829780425
2024-07-23,3.4527615674409726
2024-07-24,3.564556846353588
2024-07-25,3.348311300936872
2024-07-26,3.3807369349559337
2024-07-29,3.4892982121414633
2024-07-30,3.5891049181985597
2024-07-31,3.531541004364552
2024-08-01,3.580708573438045
2024-08-02,3.362188699606231
2024-08-05,3.0143568830697203
2024-08-06,3.2299968138756743
2024-08-07,3.2949042105532063
2024-08-08,3.327448345394808
2024-08-09,3.4145941273204046
2024-08-12,3.4437943046724313
2024-08-13,3.3551338916044227
2024-08-14,3.3917738507530864
2024-08-16,3.5056438942564463
2024-08-19,3.4486109685751973
2024-08-20,3.4661700634589554
2024-08-21,3.406350230336269
2024-08-22,3.3936334214025115
2024-08-23,3.5329328677278227
2024-08-26,3.5192193591119083
2024-08-27,3.52593517987995
2024-08-28,3.571373444563542
2024-08-29,3.5385898954089385
2024-08-30,3.6059849709518255
2024-09-02,3.6531920430078473
2024-09-03,3.6256192542810695
2024-09-04,3.467945970851771
2024-09-05,3.4296162406107573
2024-09-06,3.3511138612776272
2024-09-09,3.404137253834166
2024-09-10,3.380931910637643
2024-09-11,3.427524797898325
2024-09-12,3.5461689582052465
2024-09-13,3.559755037912621
2024-09-19,3.777431647564699
2024-09-20,3.916485581216094
2024-09-23,3.88933635436114
2024-09-24,3.9304251431194293
2024-09-25,3.7651436641236393
2024-09-26,3.8739415002901327
2024-09-27,3.7618025386547265
2024-09-30,3.734257897140515
2024-10-02,3.7862072439235632
2024-10-04,3.9479096599286136
2024-10-07,4.008082586873558
2024-10-08,4.088510819145694
2024-10-10,4.100217427434681
2024-10-11,4.201460042771796
2024-10-14,4.132286871187202
