corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00164724,현대엘리베이터,017800,Y,최대주주등소유주식변동신고서              ,20260605800727,현대엘리베이터,20260605,유
01374443,인투셀,287840,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000524,이향숙,20260605,
00299844,미래반도체,254490,K,주식등의대량보유상황보고서(일반),20260605000522,이정,20260605,
01953268,에이엑스지,,E,최대주주등의주식보유변동,20260605000521,에이엑스지,20260605,공
01316254,HS효성첨단소재,298050,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000520,HS효성,20260605,
00149804,디와이에이,002880,Y,최대주주등소유주식변동신고서              ,20260605800721,디와이에이,20260605,유
01383229,저스템,417840,K,주식등의대량보유상황보고서(일반),20260605000519,임영진,20260605,
01374443,인투셀,287840,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000518,김선영,20260605,
00164636,HDC,012630,Y,최대주주등소유주식변동신고서              ,20260605800717,HDC,20260605,유
00164636,HDC,012630,Y,주식등의대량보유상황보고서(일반),20260605000512,정몽규,20260605,
00109824,대림통상,006570,Y,최대주주등소유주식변동신고서              ,20260605800706,대림통상,20260605,유
01854763,HS효성,487570,Y,최대주주등소유주식변동신고서              ,20260605800705,HS효성,20260605,유
00809429,뉴온,123840,K,주식등의대량보유상황보고서(일반),20260605000507,케이피엠테크,20260605,
01854763,HS효성,487570,Y,주식등의대량보유상황보고서(일반),20260605000505,조현상,20260605,
00231664,우리기술투자,041190,K,주식등의대량보유상황보고서(일반),20260605000503,이완근,20260605,
01022902,애드바이오텍,179530,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000499,비케이파트너스투자조합1호,20260605,
01042979,휴마시스,205470,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000496,인콘,20260605,
00125743,현대비앤지스틸,004560,Y,주식등의대량보유상황보고서(일반),20260605000494,현대제철,20260605,
01042979,휴마시스,205470,K,주식등의대량보유상황보고서(일반),20260605000488,아티스트,20260605,
00102432,계룡건설산업,013580,Y,주식등의대량보유상황보고서(일반),20260605000487,이승찬,20260605,
00101044,에이프로젠바이오로직스,003060,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000486,에이프로젠,20260605,
01022902,애드바이오텍,179530,K,주식등의대량보유상황보고서(일반),20260605000485,비케이파트너스투자조합1호,20260605,
01488320,필에너지,378340,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000484,김동우,20260605,
00492894,젬백스,082270,K,주식등의대량보유상황보고서(일반),20260605000483,젬앤컴퍼니,20260605,
00170558,코웨이,021240,Y,최대주주등소유주식변동신고서              ,20260605800677,코웨이,20260605,유
00299002,HL홀딩스,060980,Y,주식등의대량보유상황보고서(약식),20260605000481,베어링자산운용,20260605,
00653194,앱토크롬,109960,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000480,지베이스,20260605,
00101044,에이프로젠바이오로직스,003060,Y,주식등의대량보유상황보고서(일반),20260605000478,에이프로젠,20260605,
01042429,넥써쓰,205500,K,주식등의대량보유상황보고서(일반),20260605000476,링크드,20260605,
00114686,동구바이오제약,006620,K,주식등의대량보유상황보고서(일반),20260605000475,조용준,20260605,
00429694,파버나인,177830,K,주식등의대량보유상황보고서(일반),20260605000474,이제훈,20260605,
01488320,필에너지,378340,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000470,황지상,20260605,
00765569,기가비스,420770,K,주식등의대량보유상황보고서(일반),20260605000463,김종준,20260605,
00669450,바이오프로테크,199290,N,임원ㆍ주요주주특정증권등소유상황보고서,20260605000460,이병탁,20260605,
01133217,카카오뱅크,323410,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000458,노승진,20260605,
00374738,위세아이텍,065370,K,주식등의대량보유상황보고서(일반),20260605000457,김다산,20260605,
00104722,국제약품,002720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000455,김성규,20260605,
01181515,엘앤씨바이오,290650,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000448,나우아이비19호펀드,20260605,
00170558,코웨이,021240,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000446,방준혁,20260605,
00623661,원익머트리얼즈,104830,K,주식등의대량보유상황보고서(약식),20260605000444,베어링자산운용,20260605,
01138595,뱅크웨어글로벌,199480,K,주식등의대량보유상황보고서(일반),20260605000443,이경조,20260605,
01181515,엘앤씨바이오,290650,K,주식등의대량보유상황보고서(약식),20260605000441,나우IB,20260605,
00102432,계룡건설산업,013580,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000439,이승찬,20260605,
00579980,아이티엠반도체,084850,K,주식등의대량보유상황보고서(일반),20260605000438,NICE,20260605,
00113128,대한약품,023910,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000436,이윤우,20260605,
00160302,코스모화학,005420,Y,주식등의대량보유상황보고서(일반),20260605000432,코스모앤컴퍼니,20260605,
00117179,디와이,013570,Y,최대주주등소유주식변동신고서              ,20260605800601,디와이,20260605,유
00638487,파수AI,150900,K,주식등의대량보유상황보고서(일반),20260605000427,조규곤,20260605,
00158316,NICE,034310,Y,주식등의대량보유상황보고서(일반),20260605000425,김원우,20260605,
00117179,디와이,013570,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000423,김진호,20260605,
00117179,디와이,013570,Y,주식등의대량보유상황보고서(일반),20260605000421,조병호,20260605,
00105606,금호에이치티,214330,Y,최대주주등소유주식변동신고서              ,20260605800581,금호에이치티,20260605,유
00115612,동부건설,005960,Y,주식등의대량보유상황보고서(일반),20260605000413,키스톤에코프라임,20260605,
00170558,코웨이,021240,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000411,넷마블,20260605,
00102432,계룡건설산업,013580,Y,최대주주등소유주식변동신고서              ,20260605800573,계룡건설산업,20260605,유
00453284,교촌에프앤비,339770,Y,주식등의대량보유상황보고서(일반),20260605000400,권원강,20260605,
00861076,케이탑리츠,145270,Y,주식등의대량보유상황보고서(일반),20260605000396,김철,20260605,
00398808,디지털대성,068930,K,주식등의대량보유상황보고서(일반),20260605000394,대성출판,20260605,
00583442,노루페인트,090350,Y,최대주주등소유주식변동신고서              ,20260605800551,노루페인트,20260605,유
00109268,대동스틸,048470,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000388,임지현,20260605,
00109268,대동스틸,048470,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000380,임주희,20260605,
00120289,제이에스티나,026040,K,주식등의대량보유상황보고서(약식),20260605000374,김도형,20260605,
00110750,플루토스,019570,K,주식등의대량보유상황보고서(약식),20260605000373,이상철,20260605,
00122737,팬오션,028670,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000369,김영주,20260605,
00961507,케일럼,258610,K,임원ㆍ주요주주특정증권등거래계획보고서,20260605000363,티엠씨,20260605,
00961507,케일럼,258610,K,임원ㆍ주요주주특정증권등거래계획보고서,20260605000360,그린테크시스템,20260605,
00706715,미원홀딩스,107590,Y,최대주주등소유주식변동신고서              ,20260605800515,미원홀딩스,20260605,유
00128032,삼일제약,000520,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000358,김영대,20260605,
00706715,미원홀딩스,107590,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000350,미화물류,20260605,
01491607,오에스피,368970,K,주식등의대량보유상황보고서(약식),20260605000338,지씨파트너스,20260605,
00632793,전진바이오팜,110020,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000327,이태훈,20260605,
00151298,DSR제강,069730,Y,최대주주등소유주식변동신고서              ,20260605800480,DSR제강,20260605,유
00706715,미원홀딩스,107590,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000321,김정돈,20260605,
00632793,전진바이오팜,110020,K,주식등의대량보유상황보고서(일반),20260605000315,이태훈,20260605,
00118275,디아이,003160,Y,주식등의대량보유상황보고서(일반),20260605000314,박원호,20260605,
