date,adj_close,close,high,low,open,volume,commodity,ticker,source,source_url,downloaded_at
2020-05-18,318.75,318.75,323.0,309.5,313.0,727,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-19,315.75,315.75,321.0,315.25,318.0,412,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-20,318.0,318.0,320.5,315.5,316.0,267,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-21,319.75,319.75,322.0,316.75,319.0,348,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-22,323.5,323.5,324.75,318.25,320.25,315,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-26,331.25,331.25,332.5,322.25,323.75,616,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-27,327.5,327.5,335.25,326.25,330.5,724,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-28,328.5,328.5,330.0,325.5,326.75,355,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-05-29,324.25,324.25,329.5,323.25,329.0,521,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-01,329.75,329.75,332.5,322.75,324.0,605,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-02,328.25,328.25,330.75,325.0,329.75,289,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-03,331.75,331.75,333.75,326.75,326.75,334,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-04,345.5,345.5,350.0,331.0,331.75,841,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-05,328.25,328.25,346.75,325.5,345.25,999,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-08,314.5,314.5,330.0,310.25,330.0,999,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-09,317.25,317.25,321.5,307.0,314.75,751,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-10,313.5,313.5,317.75,312.0,316.25,415,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-11,319.0,319.0,320.5,309.5,314.0,527,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-12,317.0,317.0,322.75,315.0,319.75,426,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-15,319.0,319.0,319.5,315.0,316.75,383,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-16,302.75,302.75,319.5,299.0,319.5,1190,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-17,305.0,305.0,308.75,300.0,303.75,558,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-18,306.0,306.0,307.75,301.5,304.75,207,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-19,306.0,306.0,306.5,303.5,305.25,236,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
2020-06-22,303.0,303.0,308.0,301.5,306.0,242,oats,ZO=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZO%3DF/,2026-06-04T19:19:05+09:00
