commodity,commodity_name,price_type,market,grade,marketing_year,date,month,value,unit,source,source_sheet,source_url,downloaded_at
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1950-10-01,October,0.9128,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1950-11-01,November,0.9912,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1950-12-01,December,1.0528,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-01-01,January,1.176,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-02-01,February,1.2208,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-03-01,March,1.1872,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-04-01,April,1.1984,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-05-01,May,1.2432,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-06-01,June,1.2096,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-07-01,July,1.1704,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1950/51,1951-08-01,August,1.1704,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1951-09-01,September,1.1872,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1951-10-01,October,1.204,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1951-11-01,November,1.3272,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
