date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,90000.0,242857.0,-25949.0,3719.0,11390016.0,11.65
2025-06-17,89500.0,346708.0,-13176.0,-8128.0,11379433.0,11.64
2025-06-18,90400.0,352682.0,12182.0,30041.0,11463787.0,11.72
2025-06-19,90900.0,431652.0,-13219.0,-14893.0,11459111.0,11.72
2025-06-20,102000.0,1793484.0,137969.0,364103.0,11869462.0,12.14
2025-06-23,99200.0,608577.0,-45578.0,-75998.0,11781325.0,12.05
2025-06-24,105200.0,1049993.0,13261.0,55677.0,11812096.0,12.08
2025-06-25,105400.0,434792.0,-20920.0,7594.0,11844043.0,12.11
2025-06-26,105600.0,444257.0,-8949.0,-11673.0,11809652.0,12.08
2025-06-27,100200.0,449791.0,-14232.0,-69439.0,11762979.0,12.03
2025-06-30,100600.0,357579.0,-2712.0,-30850.0,11762199.0,12.03
2025-07-01,102000.0,339853.0,26746.0,9793.0,11765128.0,12.03
2025-07-02,103200.0,257953.0,-1198.0,-6282.0,11816472.0,12.08
2025-07-03,106200.0,645885.0,51465.0,34481.0,11864632.0,12.13
2025-07-04,104100.0,321107.0,15249.0,-51463.0,11735884.0,12.0
2025-07-07,100300.0,391749.0,-36419.0,-47297.0,11805192.0,12.07
2025-07-08,100300.0,332805.0,-11201.0,-34992.0,11759821.0,12.02
2025-07-09,100800.0,304380.0,14705.0,-42491.0,11746860.0,12.01
2025-07-10,101500.0,674476.0,-99944.0,132835.0,11927851.0,12.2
2025-07-11,105200.0,659029.0,67544.0,75037.0,12028918.0,12.3
2025-07-14,105200.0,376451.0,-31536.0,-96050.0,11894983.0,12.16
2025-07-15,105000.0,315129.0,-2196.0,-31217.0,11843586.0,12.11
2025-07-16,102700.0,204020.0,-22297.0,-42730.0,11737726.0,12.0
2025-07-17,102900.0,283178.0,15711.0,-41235.0,11615526.0,11.88
2025-07-18,112200.0,2128747.0,193777.0,426440.0,12069204.0,12.34
2025-07-21,113400.0,490204.0,-9366.0,-37226.0,11996248.0,12.27
2025-07-22,109100.0,410295.0,-62293.0,-97262.0,11994057.0,12.26
2025-07-23,109300.0,292522.0,-22709.0,-25221.0,11970752.0,12.24
2025-07-24,112000.0,496446.0,11178.0,22804.0,11975049.0,12.24
2025-07-25,114600.0,614152.0,-4979.0,97053.0,12205221.0,12.48
2025-07-28,114700.0,405846.0,39662.0,-14883.0,12123295.0,12.4
2025-07-29,110000.0,494643.0,-95032.0,-142871.0,11989273.0,12.26
2025-07-30,114400.0,541331.0,103684.0,71259.0,12050989.0,12.32
2025-07-31,111100.0,524364.0,-65454.0,-181303.0,11915930.0,12.18
2025-08-01,107300.0,331420.0,3045.0,-29088.0,11901745.0,12.17
2025-08-04,108000.0,217537.0,-20870.0,-21036.0,11913711.0,12.18
2025-08-05,124500.0,3163401.0,78802.0,467298.0,12446790.0,12.73
2025-08-06,125900.0,2110564.0,141447.0,-17089.0,12455878.0,12.74
2025-08-07,124800.0,548978.0,-68486.0,-41501.0,12337182.0,12.61
2025-08-08,124100.0,321435.0,-17602.0,-12930.0,12314922.0,12.59
2025-08-11,134000.0,1192273.0,130189.0,169583.0,12520604.0,12.8
2025-08-12,134800.0,1510267.0,131705.0,-115048.0,12375559.0,12.65
2025-08-13,136500.0,595557.0,-34667.0,-24110.0,12373864.0,12.65
2025-08-14,138800.0,759639.0,20622.0,-67468.0,12332914.0,12.61
2025-08-18,131300.0,485229.0,-115444.0,-59529.0,12199967.0,12.47
2025-08-19,131900.0,528073.0,-23666.0,7488.0,12278346.0,12.55
2025-08-20,130200.0,368863.0,-2732.0,-24848.0,12226461.0,12.5
2025-08-21,129800.0,248196.0,-28521.0,7503.0,12025331.0,12.3
2025-08-22,128200.0,253136.0,-19592.0,7070.0,12245317.0,12.52
2025-08-25,131800.0,321228.0,10137.0,17145.0,12280835.0,12.56
2025-08-26,130800.0,218519.0,-33273.0,2730.0,12331756.0,12.61
2025-08-27,130400.0,229117.0,8626.0,-45792.0,12273979.0,12.55
2025-08-28,126700.0,379462.0,-59347.0,-41519.0,12240006.0,12.52
2025-08-29,121200.0,506765.0,-48618.0,-54727.0,12195138.0,12.47
2025-09-01,119900.0,228363.0,-2074.0,39733.0,12234701.0,12.51
2025-09-02,119700.0,327687.0,28310.0,-98113.0,12056552.0,12.33
2025-09-03,118300.0,213903.0,-16688.0,-35824.0,11930091.0,12.2
2025-09-04,117900.0,288275.0,-47271.0,-96155.0,11960454.0,12.23
2025-09-05,116600.0,208701.0,-10201.0,-17805.0,11926863.0,12.19
2025-09-08,116400.0,289078.0,-60488.0,44403.0,11946287.0,12.21
2025-09-09,117900.0,236821.0,8766.0,13272.0,11940463.0,12.21
2025-09-10,115800.0,559560.0,23306.0,-123017.0,11791592.0,12.06
2025-09-11,116900.0,434865.0,64006.0,-32261.0,11841787.0,12.11
2025-09-12,119000.0,352031.0,39138.0,-60522.0,11784670.0,12.05
2025-09-15,121000.0,379217.0,36957.0,-12350.0,11778117.0,12.04
2025-09-16,122300.0,335758.0,76728.0,-1627.0,11772301.0,12.04
2025-09-17,121700.0,355734.0,-39507.0,8749.0,11743450.0,12.01
2025-09-18,122900.0,309243.0,8332.0,-725.0,11740821.0,12.0
2025-09-19,118800.0,468717.0,-96701.0,-123410.0,11550467.0,11.81
2025-09-22,118100.0,281523.0,-11415.0,-56076.0,11533790.0,11.79
2025-09-23,118700.0,289084.0,11770.0,5161.0,11605388.0,11.87
2025-09-24,115200.0,348084.0,-92634.0,-55425.0,11577181.0,11.84
2025-09-25,120400.0,603613.0,101818.0,128603.0,11751212.0,12.02
2025-09-26,115100.0,326714.0,-56794.0,-112343.0,11650187.0,11.91
2025-09-29,115400.0,253388.0,33544.0,-25622.0,11633656.0,11.9
2025-09-30,113000.0,277604.0,-22511.0,-69693.0,11599968.0,11.86
2025-10-01,112600.0,205555.0,11869.0,20020.0,11683320.0,11.95
2025-10-02,116300.0,442617.0,88075.0,46747.0,11687790.0,11.95
2025-10-10,112300.0,438108.0,-91959.0,-65895.0,11607737.0,11.87
2025-10-13,117800.0,658396.0,-1310.0,210456.0,11880934.0,12.15
2025-10-14,123700.0,890874.0,4064.0,164653.0,12044685.0,12.32
2025-10-15,125200.0,443808.0,24899.0,-23906.0,12026620.0,12.3
2025-10-16,143000.0,1962739.0,182487.0,485039.0,12551731.0,12.83
2025-10-17,161000.0,4990047.0,91963.0,-35955.0,12423828.0,12.7
2025-10-20,160300.0,1505696.0,34613.0,-349.0,12432268.0,12.71
2025-10-21,159800.0,1310912.0,217604.0,70895.0,12490202.0,12.77
2025-10-22,165200.0,1381288.0,2627.0,-64858.0,12296001.0,12.57
2025-10-23,159400.0,650815.0,-55165.0,77896.0,12467076.0,12.75
2025-10-24,172600.0,1653548.0,175515.0,239053.0,12724940.0,13.01
2025-10-27,172900.0,5785264.0,627615.0,-91698.0,12546786.0,12.83
2025-10-28,174100.0,838564.0,16944.0,59230.0,12591279.0,12.87
2025-10-29,171700.0,527687.0,27781.0,16646.0,12669304.0,12.95
2025-10-30,162600.0,893321.0,-104286.0,87898.0,12780098.0,13.07
2025-10-31,160000.0,695197.0,23587.0,34852.0,12786305.0,13.07
2025-11-03,164900.0,531734.0,24427.0,-11978.0,12758873.0,13.05
2025-11-04,161800.0,725702.0,-60904.0,-143618.0,12604190.0,12.89
2025-11-05,157900.0,688684.0,-8026.0,31174.0,12590168.0,12.87
2025-11-06,158000.0,429277.0,16299.0,-7205.0,12525861.0,12.81
2025-11-07,151100.0,488367.0,40970.0,-29348.0,12553386.0,12.84
2025-11-10,153800.0,328529.0,57778.0,-4650.0,12511755.0,12.79
2025-11-11,153600.0,561388.0,19072.0,-41550.0,12461816.0,12.74
2025-11-12,155300.0,316121.0,14457.0,32142.0,12302282.0,12.58
2025-11-13,160000.0,578111.0,46681.0,29241.0,12319105.0,12.6
2025-11-14,150600.0,370728.0,-59114.0,-105307.0,12194743.0,12.47
2025-11-17,154400.0,337973.0,77427.0,-5510.0,12321335.0,12.6
2025-11-18,145000.0,390511.0,-93848.0,-35304.0,12204199.0,12.48
2025-11-19,143500.0,412954.0,-2659.0,53456.0,12218922.0,12.49
2025-11-20,145200.0,245476.0,15504.0,8341.0,12351775.0,12.63
2025-11-21,138200.0,288050.0,4812.0,-25120.0,12328132.0,12.61
2025-11-24,138500.0,483265.0,-11787.0,71237.0,12160993.0,12.43
2025-11-25,137400.0,218794.0,15013.0,-24470.0,12072293.0,12.34
2025-11-26,150000.0,509226.0,84105.0,103387.0,12308839.0,12.59
2025-11-27,147000.0,237991.0,-33979.0,-8849.0,12284731.0,12.56
2025-11-28,149900.0,379604.0,79837.0,-95545.0,12259871.0,12.54
2025-12-01,158900.0,937384.0,204248.0,92058.0,12360326.0,12.64
2025-12-02,159200.0,351622.0,22919.0,-46744.0,12299237.0,12.58
2025-12-03,156900.0,230829.0,-6681.0,-50720.0,12229334.0,12.5
2025-12-04,157900.0,387314.0,41988.0,-6388.0,12111028.0,12.38
2025-12-05,159700.0,442403.0,17403.0,6039.0,12110257.0,12.38
2025-12-08,173300.0,1641004.0,131221.0,342712.0,12461848.0,12.74
2025-12-09,182100.0,2222927.0,153412.0,247120.0,12723527.0,13.01
2025-12-10,179500.0,674670.0,-7686.0,12316.0,12589939.0,12.87
2025-12-11,173800.0,854760.0,-50217.0,-25552.0,12459897.0,12.74
2025-12-12,176000.0,392230.0,104452.0,-36414.0,12426228.0,12.71
2025-12-15,179700.0,536214.0,131160.0,-34901.0,12393435.0,12.67
2025-12-16,165500.0,853073.0,-72033.0,-180145.0,12114183.0,12.39
2025-12-17,165800.0,410948.0,67614.0,-79612.0,12121446.0,12.39
2025-12-18,154200.0,539839.0,8903.0,-51750.0,12235309.0,12.51
2025-12-19,155000.0,762795.0,69017.0,-64888.0,12238702.0,12.51
2025-12-22,158900.0,333968.0,57558.0,-26531.0,12251175.0,12.53
2025-12-23,158000.0,245633.0,5915.0,-23040.0,12152315.0,12.43
2025-12-24,157700.0,249357.0,17460.0,-21989.0,11473520.0,11.73
2025-12-26,156300.0,269772.0,53228.0,-24920.0,11586785.0,11.85
2025-12-29,156300.0,286734.0,2244.0,20033.0,11614932.0,11.88
2025-12-30,146600.0,560716.0,-135542.0,-21655.0,11651608.0,11.91
