date,advancing,declining,adv_volume,dec_volume,trin,signal
2024-11-13,103,795,79997032,479031493,0.7758,Bullish
2024-11-14,426,441,298475897,169585758,0.5488,Bullish
2024-11-15,500,386,310411887,212096900,0.8851,Neutral
2024-11-18,608,279,209309281,133295476,1.3878,Bearish
2024-11-19,454,404,189547246,171320510,1.0157,Neutral
2024-11-20,430,417,156664720,159210490,1.0479,Neutral
2024-11-21,388,472,261331150,120982407,0.3806,Bullish
2024-11-22,511,350,219262195,172273849,1.1471,Neutral
2024-11-25,602,281,353881696,142241608,0.8611,Neutral
2024-11-26,477,387,244070342,125711966,0.6348,Bullish
2024-11-27,370,509,207079146,171307580,0.6013,Bullish
2024-11-28,507,358,144960909,170922109,1.6698,Bearish
2024-11-29,169,713,82248372,253366991,0.7302,Bullish
2024-12-02,212,670,98647292,205117662,0.6579,Bullish
2024-12-03,728,160,231102179,47463695,0.9345,Neutral
2024-12-04,173,726,275326366,351995141,0.3046,Bullish
2024-12-05,173,716,236130626,253024123,0.2589,Bullish
2024-12-06,248,647,363673096,228627116,0.241,Bullish
2024-12-09,59,856,224308260,324074767,0.0996,Bullish
2024-12-10,864,48,516886788,40876238,1.4235,Bearish
2024-12-11,800,101,467572356,52183099,0.884,Neutral
2024-12-12,608,276,333118881,251321627,1.662,Bearish
2024-12-13,623,254,366758939,132286068,0.8847,Neutral
2024-12-16,481,393,235809089,211671823,1.0986,Neutral
2024-12-17,376,492,256468979,205911057,0.6136,Bullish
2024-12-18,573,302,240464210,101168290,0.7983,Bullish
2024-12-19,209,676,159749649,232456820,0.4499,Bullish
2024-12-20,200,698,311796852,240282084,0.2208,Bullish
2024-12-23,710,181,310669354,71008064,0.8966,Neutral
2024-12-24,386,476,193985416,170853005,0.7142,Bullish
2024-12-26,294,586,141972456,155780280,0.5505,Bullish
2024-12-27,110,798,107373223,176146246,0.2261,Bullish
2024-12-30,439,436,181056444,100756297,0.5603,Bullish
2025-01-02,449,420,261595912,61596049,0.2517,Bullish
2025-01-03,685,199,307602425,60796933,0.6803,Bullish
2025-01-06,621,255,198937306,79390742,0.9719,Neutral
2025-01-07,438,421,284505568,96861669,0.3542,Bullish
2025-01-08,455,403,226499020,96356905,0.4803,Bullish
2025-01-09,360,512,212049113,158263578,0.5248,Bullish
2025-01-10,457,404,221279088,108912352,0.5568,Bullish
2025-01-13,260,631,383498424,152534207,0.1639,Bullish
2025-01-14,504,361,185392905,147530268,1.111,Neutral
2025-01-15,262,593,293688199,195396255,0.294,Bullish
2025-01-16,591,277,271034427,114655045,0.9026,Neutral
2025-01-17,431,441,205982281,212579268,1.0086,Neutral
2025-01-20,384,481,203456606,185901467,0.7295,Bullish
2025-01-21,383,480,407885488,125648431,0.2458,Bullish
2025-01-22,399,475,335183279,204964172,0.5137,Bullish
2025-01-23,190,687,263568180,296239141,0.3108,Bullish
2025-01-24,535,318,396209786,152841685,0.649,Bullish
2025-01-31,332,554,176742422,262152705,0.8889,Neutral
2025-02-03,92,816,138397461,288149793,0.2347,Bullish
2025-02-04,685,203,308863069,72067626,0.7874,Bullish
2025-02-05,582,298,261663622,100168840,0.7476,Bullish
2025-02-06,591,277,336143023,107005350,0.6792,Bullish
2025-02-07,284,594,167625856,197628263,0.5637,Bullish
2025-02-10,413,448,220917576,133899806,0.5588,Bullish
2025-02-11,465,404,309104307,110115941,0.41,Bullish
2025-02-12,329,545,296517969,136184518,0.2773,Bullish
2025-02-13,565,307,506896679,104673748,0.38,Bullish
2025-02-14,493,360,262983719,193252556,1.0063,Neutral
2025-02-17,609,265,237151210,81691213,0.7916,Bullish
2025-02-18,472,392,282100636,124779423,0.5326,Bullish
2025-02-19,571,298,376374503,125844647,0.6407,Bullish
2025-02-20,446,410,275146916,232693843,0.92,Neutral
2025-02-21,501,370,266105354,168606640,0.8579,Neutral
2025-02-24,444,416,327378411,173247017,0.5648,Bullish
2025-02-25,354,523,217386174,166942082,0.5198,Bullish
2025-02-26,540,329,213536756,147619930,1.1347,Neutral
2025-02-27,315,562,253216817,165666747,0.3667,Bullish
2025-02-28,93,824,141495005,381051706,0.3039,Bullish
2025-03-04,304,587,262709943,159377236,0.3142,Bullish
2025-03-05,706,178,423198865,81769274,0.7664,Bullish
2025-03-06,479,389,351361467,135703242,0.4756,Bullish
2025-03-07,345,537,211122935,286413470,0.8716,Neutral
2025-03-10,402,464,168408765,217614205,1.1195,Neutral
2025-03-11,176,724,92745581,278046351,0.7288,Bullish
2025-03-12,506,348,232131952,136936863,0.8577,Neutral
2025-03-13,328,534,186865682,191227330,0.6286,Bullish
2025-03-14,502,353,203131332,90929587,0.6366,Bullish
2025-03-17,523,352,251898780,107086278,0.6316,Bullish
2025-03-18,428,427,365759609,93981531,0.2576,Bullish
2025-03-19,503,363,382385482,136363501,0.4941,Bullish
2025-03-20,329,538,152163431,190337855,0.7649,Bullish
2025-03-21,313,557,246091022,187854766,0.429,Bullish
2025-03-24,397,458,193891287,117092386,0.5235,Bullish
2025-03-25,300,571,137826292,189574981,0.7227,Bullish
2025-03-26,452,411,317766949,110279187,0.3817,Bullish
2025-03-27,279,600,168579996,196411729,0.5418,Bullish
2025-03-28,166,721,194101439,215663239,0.2558,Bullish
2025-03-31,84,818,61728124,258902902,0.4307,Bullish
2025-04-01,706,180,314862900,45598400,0.568,Bullish
2025-04-02,272,591,301816870,122798886,0.1873,Bullish
2025-04-03,274,600,160024666,240589644,0.6866,Bullish
2025-04-04,555,326,290222151,303623260,1.7811,Bearish
2025-04-07,67,854,261196461,284554374,0.0855,Bullish
2025-04-08,540,338,370936765,103787417,0.447,Bullish
2025-04-09,144,750,281779645,295548977,0.2014,Bullish
2025-04-10,865,46,476102792,49457747,1.9534,Bearish
2025-04-11,532,338,149068924,155477820,1.6416,Bearish
2025-04-14,629,252,279166465,111080421,0.9932,Neutral
2025-04-15,697,180,379268329,79251645,0.8091,Bullish
2025-04-16,298,568,244147737,199369681,0.4284,Bullish
2025-04-17,631,224,228997942,171841075,2.1139,Bearish
2025-04-18,614,245,254915631,123524417,1.2144,Neutral
2025-04-21,495,368,273999106,105868037,0.5197,Bullish
2025-04-22,453,414,139256394,186399221,1.4646,Bearish
2025-04-23,620,251,384244625,81020698,0.5208,Bullish
2025-04-24,399,451,142504120,134755610,0.8366,Bullish
2025-04-25,639,236,251116530,99031947,1.0678,Neutral
2025-04-28,362,515,261953387,141222151,0.3789,Bullish
2025-04-29,652,234,366672343,140757458,1.0696,Neutral
2025-04-30,344,540,271941954,173394528,0.4062,Bullish
2025-05-02,411,450,357079398,194974082,0.4987,Bullish
2025-05-07,453,413,328998353,126575078,0.422,Bullish
2025-05-08,527,336,309287173,120723588,0.6122,Bullish
2025-05-09,347,532,309614618,131524297,0.2771,Bullish
2025-05-12,653,236,257221235,98145151,1.0558,Neutral
2025-05-13,444,416,126563889,245876929,2.0735,Bearish
2025-05-14,582,290,251816712,89587886,0.714,Bullish
2025-05-15,291,588,110891480,199369359,0.8898,Neutral
2025-05-16,312,572,190740594,125664801,0.3594,Bullish
2025-05-19,235,637,107076621,158405487,0.5458,Bullish
2025-05-20,545,332,275277654,110486493,0.6589,Bullish
2025-05-21,529,333,194072303,119001202,0.9741,Neutral
2025-05-22,257,621,108052545,200940003,0.7696,Bullish
2025-05-23,490,393,282640320,111884148,0.4936,Bullish
2025-05-26,626,258,243879296,70473049,0.7011,Bullish
2025-05-27,353,512,151126761,134128039,0.6119,Bullish
2025-05-28,570,308,210278332,143237625,1.2606,Bearish
2025-05-29,740,152,325475908,60346251,0.9027,Neutral
2025-05-30,390,482,279463243,193500016,0.5602,Bullish
2025-06-02,367,517,142215272,151568883,0.7566,Bullish
2025-06-04,789,120,352935961,86335801,1.6084,Bearish
2025-06-05,566,307,395166315,111581084,0.5206,Bullish
2025-06-09,690,201,394434432,85194229,0.7415,Bullish
2025-06-10,427,454,204929572,233414186,1.0713,Neutral
2025-06-11,596,280,272906819,81624424,0.6366,Bullish
2025-06-12,515,368,486195563,140060751,0.4031,Bullish
2025-06-13,145,758,522853234,270253935,0.0989,Bullish
2025-06-16,609,280,338759757,214643845,1.3781,Bearish
2025-06-17,318,557,505116653,274103250,0.3098,Bullish
2025-06-18,424,450,384675863,123622997,0.3028,Bullish
2025-06-19,426,437,215196380,156238050,0.7078,Bullish
2025-06-20,485,383,282490704,174160288,0.7807,Bullish
2025-06-23,262,641,331377635,193354239,0.2385,Bullish
2025-06-24,759,136,407060435,107655638,1.476,Bearish
2025-06-25,464,414,419353985,180006773,0.4811,Bullish
2025-06-26,180,715,134091399,278591008,0.523,Bullish
2025-06-27,241,654,171184401,182054334,0.3919,Bullish
2025-06-30,481,394,269240665,123272347,0.559,Bullish
2025-07-01,704,181,377823746,94711735,0.975,Neutral
2025-07-02,449,428,455324293,178240987,0.4107,Bullish
2025-07-03,602,280,290473917,157769007,1.1678,Neutral
2025-07-04,159,730,108887731,320414549,0.6409,Bullish
2025-07-07,425,453,202948557,117566176,0.5435,Bullish
2025-07-08,636,239,504335815,64032429,0.3379,Bullish
2025-07-09,690,198,399414479,135819576,1.185,Neutral
2025-07-10,592,283,300058808,131790040,0.9188,Neutral
2025-07-11,470,405,230096447,161094699,0.8125,Bullish
2025-07-14,521,360,251638624,147662367,0.8492,Bullish
