날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,43984,14.62,2.09,6293,1.09,1000
2023-06-08,43984,14.89,2.13,6293,1.07,1000
2023-06-09,43984,15.86,2.27,6293,1.0,1000
2023-06-12,43984,15.49,2.22,6293,1.03,1000
2023-06-13,43984,16.05,2.3,6293,0.99,1000
2023-06-14,43984,15.75,2.25,6293,1.01,1000
2023-06-15,43984,16.32,2.33,6293,0.97,1000
2023-06-16,43984,16.16,2.31,6293,0.98,1000
2023-06-19,43984,16.54,2.37,6293,0.96,1000
2023-06-20,43984,16.61,2.38,6293,0.96,1000
2023-06-21,43984,16.45,2.35,6293,0.97,1000
2023-06-22,43984,16.38,2.34,6293,0.97,1000
2023-06-23,43984,16.64,2.38,6293,0.96,1000
2023-06-26,43984,16.78,2.4,6293,0.95,1000
2023-06-27,43984,16.65,2.38,6293,0.95,1000
2023-06-28,43984,17.08,2.44,6293,0.93,1000
2023-06-29,43984,17.83,2.55,6293,0.89,1000
2023-06-30,43984,17.78,2.54,6293,0.89,1000
2023-07-03,43984,18.27,2.61,6293,0.87,1000
2023-07-04,43984,18.43,2.64,6293,0.86,1000
2023-07-05,43984,17.7,2.53,6293,0.9,1000
2023-07-06,43984,17.48,2.5,6293,0.91,1000
2023-07-07,43984,17.18,2.46,6293,0.93,1000
2023-07-10,43984,16.91,2.42,6293,0.94,1000
2023-07-11,43984,17.53,2.51,6293,0.91,1000
2023-07-12,43984,17.5,2.5,6293,0.91,1000
2023-07-13,43984,18.61,2.66,6293,0.85,1000
2023-07-14,43984,19.93,2.85,6293,0.8,1000
2023-07-17,43984,20.15,2.88,6293,0.79,1000
2023-07-18,43984,20.4,2.92,6293,0.78,1000
2023-07-19,43984,20.09,2.87,6293,0.79,1000
2023-07-20,43984,20.39,2.92,6293,0.78,1000
2023-07-21,43984,19.82,2.84,6293,0.8,1000
2023-07-24,43984,19.82,2.84,6293,0.8,1000
2023-07-25,43984,19.9,2.85,6293,0.8,1000
2023-07-26,43984,19.51,2.79,6293,0.81,1000
2023-07-27,43984,24.81,3.55,6293,0.64,1000
2023-07-28,43984,25.6,3.66,6293,0.62,1000
2023-07-31,43984,25.43,3.64,6293,0.63,1000
2023-08-01,43984,25.22,3.61,6293,0.63,1000
2023-08-02,43984,24.46,3.5,6293,0.65,1000
2023-08-03,43984,27.32,3.91,6293,0.58,1000
2023-08-04,43984,26.25,3.76,6293,0.61,1000
2023-08-07,43984,24.46,3.5,6293,0.65,1000
2023-08-08,43984,24.27,3.47,6293,0.65,1000
2023-08-09,43984,24.27,3.47,6293,0.65,1000
2023-08-10,43984,23.87,3.41,6293,0.67,1000
2023-08-11,43984,24.66,3.53,6293,0.64,1000
2023-08-14,43984,23.77,3.4,6293,0.67,1000
2023-08-16,43984,25.03,3.58,6293,0.63,1000
2023-08-17,43984,25.92,3.71,6293,0.61,1000
2023-08-18,43984,26.33,3.77,6293,0.6,1000
2023-08-21,43984,26.7,3.82,6293,0.6,1000
2023-08-22,43984,26.14,3.74,6293,0.61,1000
2023-08-23,43984,25.79,3.69,6293,0.62,1000
2023-08-24,43984,26.66,3.82,6293,0.6,1000
2023-08-25,43984,24.63,3.52,6293,0.65,1000
2023-08-28,43984,24.55,3.51,6293,0.65,1000
2023-08-29,43984,25.14,3.6,6293,0.63,1000
2023-08-30,43984,26.81,3.84,6293,0.59,1000
2023-08-31,43984,26.92,3.85,6293,0.59,1000
2023-09-01,43984,28.76,4.12,6293,0.55,1000
2023-09-04,43984,27.0,3.86,6293,0.59,1000
2023-09-05,43984,26.73,3.82,6293,0.59,1000
2023-09-06,43984,26.63,3.81,6293,0.6,1000
2023-09-07,43984,26.04,3.73,6293,0.61,1000
2023-09-08,43984,24.96,3.57,6293,0.64,1000
2023-09-11,43984,24.69,3.53,6293,0.64,1000
2023-09-12,43984,25.03,3.58,6293,0.63,1000
2023-09-13,43984,24.3,3.48,6293,0.65,1000
2023-09-14,43984,24.23,3.47,6293,0.66,1000
2023-09-15,43984,24.22,3.46,6293,0.66,1000
2023-09-18,43984,23.09,3.3,6293,0.69,1000
2023-09-19,43984,22.72,3.25,6293,0.7,1000
2023-09-20,43984,22.39,3.2,6293,0.71,1000
2023-09-21,43984,21.21,3.04,6293,0.75,1000
2023-09-22,43984,21.69,3.1,6293,0.73,1000
2023-09-25,43984,21.67,3.1,6293,0.73,1000
2023-09-26,43984,21.66,3.1,6293,0.73,1000
2023-09-27,43984,22.26,3.19,6293,0.71,1000
2023-10-04,43984,21.98,3.14,6293,0.72,1000
2023-10-05,43984,21.75,3.11,6293,0.73,1000
2023-10-06,43984,22.06,3.16,6293,0.72,1000
2023-10-10,43984,21.9,3.13,6293,0.73,1000
2023-10-11,43984,23.36,3.34,6293,0.68,1000
2023-10-12,43984,24.44,3.5,6293,0.65,1000
2023-10-13,43984,25.6,3.66,6293,0.62,1000
2023-10-16,43984,24.73,3.54,6293,0.64,1000
2023-10-17,43984,25.39,3.63,6293,0.63,1000
2023-10-18,43984,25.09,3.59,6293,0.63,1000
2023-10-19,43984,24.19,3.46,6293,0.66,1000
2023-10-20,43984,24.38,3.49,6293,0.65,1000
2023-10-23,43984,23.58,3.37,6293,0.67,1000
2023-10-24,43984,24.87,3.56,6293,0.64,1000
2023-10-25,43984,25.01,3.58,6293,0.64,1000
2023-10-26,43984,24.17,3.46,6293,0.66,1000
2023-10-27,43984,23.39,3.35,6293,0.68,1000
2023-10-30,43984,23.23,3.32,6293,0.68,1000
2023-10-31,43984,22.14,3.17,6293,0.72,1000
2023-11-01,43984,22.76,3.26,6293,0.7,1000
2023-11-02,43984,24.95,3.57,6293,0.64,1000
2023-11-03,43984,25.08,3.59,6293,0.63,1000
2023-11-06,43984,26.82,3.84,6293,0.59,1000
2023-11-07,43984,26.06,3.73,6293,0.61,1000
2023-11-08,43984,26.08,3.73,6293,0.61,1000
2023-11-09,43984,25.81,3.69,6293,0.62,1000
2023-11-10,43984,26.49,3.79,6293,0.6,1000
2023-11-13,43984,25.28,3.62,6293,0.63,1000
2023-11-14,43984,25.17,3.6,6293,0.63,1000
2023-11-15,43984,25.74,3.68,6293,0.62,1000
2023-11-16,43984,25.43,3.64,6293,0.63,1000
2023-11-17,43984,25.04,3.58,6293,0.63,1000
2023-11-20,43984,25.44,3.64,6293,0.62,1000
2023-11-21,43984,25.54,3.65,6293,0.62,1000
2023-11-22,43984,26.9,3.85,6293,0.59,1000
2023-11-23,43984,25.36,3.63,6293,0.63,1000
2023-11-24,43984,25.3,3.62,6293,0.63,1000
2023-11-27,43984,25.14,3.6,6293,0.63,1000
2023-11-28,43984,25.79,3.69,6293,0.62,1000
2023-11-29,43984,25.2,3.61,6293,0.63,1000
2023-11-30,43984,25.08,3.59,6293,0.63,1000
2023-12-01,43984,23.76,3.4,6293,0.67,1000
2023-12-04,43984,23.18,3.32,6293,0.69,1000
2023-12-05,43984,21.56,3.09,6293,0.74,1000
2023-12-06,43984,22.2,3.18,6293,0.72,1000
2023-12-07,43984,21.98,3.14,6293,0.72,1000
2023-12-08,43984,22.39,3.2,6293,0.71,1000
2023-12-11,43984,22.61,3.24,6293,0.7,1000
2023-12-12,43984,22.61,3.24,6293,0.7,1000
2023-12-13,43984,22.83,3.27,6293,0.7,1000
2023-12-14,43984,23.25,3.33,6293,0.68,1000
2023-12-15,43984,23.3,3.33,6293,0.68,1000
2023-12-18,43984,23.52,3.36,6293,0.68,1000
2023-12-19,43984,23.14,3.31,6293,0.69,1000
2023-12-20,43984,23.52,3.36,6293,0.68,1000
2023-12-21,43984,23.76,3.4,6293,0.67,1000
2023-12-22,43984,23.72,3.39,6293,0.67,1000
2023-12-26,43984,23.6,3.38,6293,0.67,1000
2023-12-27,43984,24.63,3.52,6293,0.65,1000
2023-12-28,43984,24.3,3.48,6293,0.65,1000
2024-01-02,43984,24.25,3.47,6293,0.66,1000
2024-01-03,43984,23.3,3.33,6293,0.68,1000
2024-01-04,43984,23.44,3.35,6293,0.68,1000
2024-01-05,43984,24.84,3.55,6293,0.64,1000
2024-01-08,43984,25.03,3.58,6293,0.63,1000
2024-01-09,43984,24.49,3.5,6293,0.65,1000
2024-01-10,43984,24.95,3.57,6293,0.64,1000
2024-01-11,43984,25.62,3.66,6293,0.62,1000
2024-01-12,43984,25.01,3.58,6293,0.64,1000
2024-01-15,43984,24.46,3.5,6293,0.65,1000
2024-01-16,43984,23.66,3.39,6293,0.67,1000
2024-01-17,43984,24.87,3.56,6293,0.64,1000
2024-01-18,43984,25.74,3.68,6293,0.62,1000
2024-01-19,43984,29.22,4.18,6293,0.54,1000
2024-01-22,43984,31.13,4.45,6293,0.51,1000
2024-01-23,43984,30.38,4.35,6293,0.52,1000
2024-01-24,43984,30.75,4.4,6293,0.52,1000
2024-01-25,43984,30.29,4.33,6293,0.52,1000
2024-01-26,43984,28.6,4.09,6293,0.56,1000
2024-01-29,43984,27.81,3.98,6293,0.57,1000
2024-01-30,43984,29.24,4.18,6293,0.54,1000
2024-01-31,43984,27.32,3.91,6293,0.58,1000
2024-02-01,43984,26.3,3.76,6293,0.6,1000
2024-02-02,43984,27.97,4.0,6293,0.57,1000
2024-02-05,43984,26.71,3.82,6293,0.59,1000
2024-02-06,43984,28.44,4.07,6293,0.56,1000
2024-02-07,43984,28.11,4.02,6293,0.57,1000
2024-02-08,43984,28.78,4.12,6293,0.55,1000
2024-02-13,43984,29.02,4.15,6293,0.55,1000
2024-02-14,43984,29.95,4.29,6293,0.53,1000
2024-02-15,43984,29.57,4.23,6293,0.54,1000
2024-02-16,43984,28.29,4.05,6293,0.56,1000
2024-02-19,43984,27.06,3.87,6293,0.59,1000
2024-02-20,43984,27.4,3.92,6293,0.58,1000
2024-02-21,43984,27.44,3.93,6293,0.58,1000
2024-02-22,43984,27.95,4.0,6293,0.57,1000
2024-02-23,43984,27.81,3.98,6293,0.57,1000
2024-02-26,43984,29.05,4.16,6293,0.55,1000
2024-02-27,43984,28.62,4.09,6293,0.56,1000
2024-02-28,43984,32.1,4.59,6293,0.5,1000
