날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,124935,3.55,0.34,11803,8.0,3350
2023-06-08,124935,3.52,0.33,11803,8.07,3350
2023-06-09,124935,3.58,0.34,11803,7.94,3350
2023-06-12,124935,3.53,0.33,11803,8.03,3350
2023-06-13,124935,3.47,0.33,11803,8.17,3350
2023-06-14,124935,3.48,0.33,11803,8.16,3350
2023-06-15,124935,3.47,0.33,11803,8.19,3350
2023-06-16,124935,3.46,0.33,11803,8.2,3350
2023-06-19,124935,3.45,0.33,11803,8.22,3350
2023-06-20,124935,3.43,0.32,11803,8.27,3350
2023-06-21,124935,3.4,0.32,11803,8.35,3350
2023-06-22,124935,3.44,0.32,11803,8.25,3350
2023-06-23,124935,3.38,0.32,11803,8.39,3350
2023-06-26,124935,3.36,0.32,11803,8.45,3350
2023-06-27,124935,3.38,0.32,11803,8.41,3350
2023-06-28,124935,3.41,0.32,11803,8.32,3350
2023-06-29,124935,3.29,0.31,11803,8.63,3350
2023-06-30,124935,3.32,0.31,11803,8.55,3350
2023-07-03,124935,3.41,0.32,11803,8.33,3350
2023-07-04,124935,3.35,0.32,11803,8.47,3350
2023-07-05,124935,3.31,0.31,11803,8.58,3350
2023-07-06,124935,3.22,0.3,11803,8.82,3350
2023-07-07,124935,3.19,0.3,11803,8.89,3350
2023-07-10,124935,3.22,0.3,11803,8.83,3350
2023-07-11,124935,3.26,0.31,11803,8.71,3350
2023-07-12,124935,3.26,0.31,11803,8.7,3350
2023-07-13,124935,3.23,0.31,11803,8.78,3350
2023-07-14,124935,3.33,0.31,11803,8.52,3350
2023-07-17,124935,3.31,0.31,11803,8.58,3350
2023-07-18,124935,3.3,0.31,11803,8.59,3350
2023-07-19,124935,3.28,0.31,11803,8.65,3350
2023-07-20,124935,3.3,0.31,11803,8.6,3350
2023-07-21,124935,3.32,0.31,11803,8.56,3350
2023-07-24,124935,3.26,0.31,11803,8.7,3350
2023-07-25,124935,3.27,0.31,11803,8.69,3350
2023-07-26,124935,3.34,0.32,11803,8.5,3350
2023-07-27,124935,3.49,0.33,11803,8.13,3350
2023-07-28,124935,3.36,0.32,11803,8.44,3350
2023-07-31,124935,3.33,0.31,11803,8.52,3350
2023-08-01,124935,3.38,0.32,11803,8.4,3350
2023-08-02,124935,3.34,0.32,11803,8.5,3350
2023-08-03,124935,3.26,0.31,11803,8.71,3350
2023-08-04,124935,3.27,0.31,11803,8.69,3350
2023-08-07,124935,3.27,0.31,11803,8.69,3350
2023-08-08,124935,3.26,0.31,11803,8.71,3350
2023-08-09,124935,3.21,0.3,11803,8.84,3350
2023-08-10,124935,3.21,0.3,11803,8.84,3350
2023-08-11,124935,3.24,0.31,11803,8.77,3350
2023-08-14,124935,3.24,0.31,11803,8.75,3350
2023-08-16,124935,3.21,0.3,11803,8.85,3350
2023-08-17,124935,3.22,0.3,11803,8.82,3350
2023-08-18,124935,3.18,0.3,11803,8.92,3350
2023-08-21,124935,3.22,0.3,11803,8.8,3350
2023-08-22,124935,3.23,0.3,11803,8.79,3350
2023-08-23,124935,3.29,0.31,11803,8.63,3350
2023-08-24,124935,3.27,0.31,11803,8.69,3350
2023-08-25,124935,3.28,0.31,11803,8.65,3350
2023-08-28,124935,3.31,0.31,11803,8.58,3350
2023-08-29,124935,3.34,0.32,11803,8.5,3350
2023-08-30,124935,3.32,0.31,11803,8.56,3350
2023-08-31,124935,3.35,0.32,11803,8.47,3350
2023-09-01,124935,3.35,0.32,11803,8.48,3350
2023-09-04,124935,3.38,0.32,11803,8.41,3350
2023-09-05,124935,3.36,0.32,11803,8.45,3350
2023-09-06,124935,3.38,0.32,11803,8.39,3350
2023-09-07,124935,3.4,0.32,11803,8.35,3350
2023-09-08,124935,3.4,0.32,11803,8.34,3350
2023-09-11,124935,3.45,0.33,11803,8.23,3350
