날짜,시가,고가,저가,종가,거래량,등락률
2023-06-07,8700,8950,8620,8820,605038,2.4390243902439024
2023-06-08,8840,9350,8830,9100,1627389,3.1746031746031744
2023-06-09,9120,9290,8890,9230,1307611,1.4285714285714286
2023-06-12,9300,9500,9100,9500,939904,2.925243770314193
2023-06-13,9400,9980,9370,9890,1385757,4.105263157894737
2023-06-14,9890,10650,9810,10300,2587853,4.145601617795753
2023-06-15,10300,10330,9860,10030,1172011,-2.621359223300971
2023-06-16,10030,10400,10000,10330,1059139,2.991026919242273
2023-06-19,10360,10570,10150,10430,487407,0.9680542110358179
2023-06-20,10570,11150,10300,10670,1124352,2.3010546500479387
2023-06-21,10670,10830,10310,10470,759212,-1.874414245548266
2023-06-22,10330,10430,9920,10130,1129742,-3.2473734479465137
2023-06-23,10130,10520,10010,10320,595952,1.8756169792694966
2023-06-26,10420,10550,10080,10340,519371,0.1937984496124031
2023-06-27,10320,10490,10090,10270,609001,-0.6769825918762089
2023-06-28,10480,11180,10350,10840,2085685,5.550146056475171
2023-06-29,10840,10870,10140,10340,1086422,-4.612546125461255
2023-06-30,10320,10510,10160,10400,652574,0.5802707930367506
2023-07-03,10600,10740,10200,10660,1120295,2.5
2023-07-04,10560,10870,10070,10660,1480527,0.0
2023-07-05,10800,11140,10450,10540,1172187,-1.125703564727955
2023-07-06,10950,11830,10750,10820,3209025,2.6565464895635675
2023-07-07,10910,11040,10400,10510,1616608,-2.865064695009242
2023-07-10,10500,10720,9890,9970,1622905,-5.1379638439581345
2023-07-11,9950,10170,9710,10130,902500,1.60481444332999
2023-07-12,10130,10960,10130,10910,1622115,7.699901283316881
2023-07-13,11010,11090,10430,10520,1165222,-3.5747021081576533
2023-07-14,10620,10840,10400,10620,635369,0.9505703422053232
2023-07-17,10800,11260,10260,10320,1303060,-2.824858757062147
2023-07-18,10250,10430,10100,10190,665572,-1.2596899224806202
2023-07-19,10320,10360,9980,10130,589071,-0.5888125613346418
2023-07-20,10200,10580,10150,10500,861543,3.652517275419546
2023-07-21,10400,10660,10310,10480,623313,-0.19047619047619047
2023-07-24,10590,11000,10360,10440,1652276,-0.38167938931297707
2023-07-25,10550,10820,10190,10270,836908,-1.628352490421456
2023-07-26,10270,10400,9690,9810,1264904,-4.47906523855891
2023-07-27,9770,10640,9760,10420,1279488,6.218144750254842
2023-07-28,10390,11470,10390,11200,2953523,7.485604606525912
2023-07-31,11250,11360,10500,10910,1043167,-2.5892857142857144
2023-08-01,10990,11150,10720,10970,695371,0.5499541704857929
2023-08-02,10950,10960,10330,10510,1042534,-4.193254329990884
2023-08-03,10480,10980,10240,10980,1059668,4.471931493815414
2023-08-04,11010,11920,10840,11860,2929271,8.014571948998178
2023-08-07,11770,12800,11570,12500,3226742,5.396290050590219
2023-08-08,13000,13240,12460,12950,3375146,3.5999999999999996
2023-08-09,12930,12930,12110,12620,1867026,-2.5482625482625485
2023-08-10,12600,13200,12350,13190,2499256,4.516640253565769
2023-08-11,13300,13670,12920,13480,1560424,2.1986353297952994
2023-08-14,13580,14100,13270,13430,1689886,-0.370919881305638
2023-08-16,13290,13560,12010,13460,1559086,0.22338049143708116
2023-08-17,13440,13480,12800,13160,1169896,-2.2288261515601784
2023-08-18,12950,13250,12900,13050,819263,-0.8358662613981762
2023-08-21,13090,13630,12910,13290,944258,1.839080459770115
2023-08-22,13250,13450,12960,13250,555056,-0.3009781790820165
2023-08-23,13380,13650,12660,12920,1271893,-2.490566037735849
2023-08-24,13000,13590,12890,13120,1020651,1.5479876160990713
2023-08-25,13030,13190,12980,13130,431361,0.07621951219512195
2023-08-28,13180,14000,12960,13640,1731322,3.884234577303884
2023-08-29,13760,13760,13260,13520,709063,-0.8797653958944283
2023-08-30,13770,14190,13460,14060,1363260,3.9940828402366866
2023-08-31,14210,15110,13970,14890,3299902,5.903271692745378
2023-09-01,14920,14990,14110,14270,1646337,-4.163868368032237
2023-09-04,14410,14420,13120,13710,2395064,-3.9243167484232657
2023-09-05,13540,14070,13260,13330,1109298,-2.7716994894237783
2023-09-06,13320,14090,13150,13840,1326845,3.8259564891222806
2023-09-07,13710,13800,13290,13460,765299,-2.745664739884393
2023-09-08,13340,13880,13330,13720,809545,1.9316493313521546
2023-09-11,13720,13720,13130,13280,930047,-3.206997084548105
2023-09-12,13390,13700,12980,13010,917540,-2.033132530120482
2023-09-13,13020,13420,12950,13010,655396,0.0
2023-09-14,13260,13400,12980,13350,976053,2.6133743274404306
2023-09-15,13380,13390,12040,12190,2882081,-8.689138576779026
2023-09-18,12150,12430,11500,12000,1098989,-1.5586546349466777
2023-09-19,12100,12330,11550,11610,1348947,-3.25
2023-09-20,11610,11730,11230,11360,1019482,-2.1533161068044793
2023-09-21,11080,11390,10850,10920,1183229,-3.873239436619718
2023-09-22,10760,11440,10250,11270,1241755,3.205128205128205
2023-09-25,11450,11450,11110,11150,465528,-1.064773735581189
2023-09-26,11150,11350,10940,11140,597485,-0.08968609865470852
2023-09-27,11030,11600,10910,11500,525840,3.231597845601436
2023-10-04,11250,11370,10740,10800,774719,-6.086956521739131
2023-10-05,10940,11410,10800,10860,637117,0.5555555555555556
2023-10-06,10950,11200,10710,10800,652794,-0.5524861878453038
2023-10-10,10820,10870,10250,10390,820747,-3.7962962962962963
2023-10-11,10680,10740,10330,10450,675909,0.5774783445620789
2023-10-12,10550,10830,10420,10720,1044481,2.583732057416268
2023-10-13,10540,10630,9160,9400,4427338,-12.313432835820896
2023-10-16,9420,9740,9280,9530,1488556,1.3829787234042552
2023-10-17,9690,9850,9250,9500,1124954,-0.3147953830010493
2023-10-18,9450,9610,9160,9170,886670,-3.4736842105263155
2023-10-19,8940,9080,8690,8750,1447524,-4.580152671755725
2023-10-20,8630,9050,8390,9010,1787910,2.9714285714285715
2023-10-23,8900,9250,8750,9100,1036384,0.9988901220865706
2023-10-24,9130,9410,8900,9380,743929,3.076923076923077
2023-10-25,9440,9440,9140,9220,520316,-1.7057569296375266
2023-10-26,8960,9270,8910,9070,742713,-1.6268980477223427
2023-10-27,9120,9390,8800,9230,768144,1.7640573318632855
2023-10-30,9240,9570,9010,9530,746801,3.2502708559046587
2023-10-31,9540,9600,9150,9180,563634,-3.6726128016789086
2023-11-01,9300,9380,9150,9230,291088,0.5446623093681917
2023-11-02,9450,9670,9330,9530,978726,3.2502708559046587
2023-11-03,9800,9900,9440,9640,1388159,1.154249737670514
2023-11-06,9790,10010,9390,9680,1228374,0.4149377593360996
2023-11-07,9680,9720,9280,9430,644201,-2.5826446280991737
2023-11-08,9600,10350,9500,10000,4310307,6.044538706256628
2023-11-09,10030,10280,9430,9550,2660104,-4.5
2023-11-10,9560,9570,8590,8810,2885355,-7.74869109947644
2023-11-13,8900,9130,8700,8760,1269707,-0.5675368898978433
2023-11-14,8840,9000,8790,9000,938610,2.73972602739726
2023-11-15,9130,9260,8390,8610,3762928,-4.333333333333334
2023-11-16,8610,8610,7930,8260,3722275,-4.0650406504065035
2023-11-17,8320,8400,8080,8130,1267480,-1.573849878934625
2023-11-20,8180,8640,8120,8550,1998120,5.166051660516605
2023-11-21,8570,9280,8570,9250,2428548,8.187134502923977
2023-11-22,9320,9510,9200,9500,1856770,2.7027027027027026
2023-11-23,9500,9530,9250,9390,1002331,-1.1578947368421053
2023-11-24,9460,10120,9440,10000,2628977,6.496272630457935
2023-11-27,10090,10180,9530,9970,1793332,-0.3
2023-11-28,9970,10160,9760,10010,1417137,0.4012036108324975
2023-11-29,10140,10450,9940,10320,1564518,3.096903096903097
2023-11-30,10280,10840,10280,10840,2388390,5.038759689922481
2023-12-01,10890,11150,10430,10510,2324538,-3.044280442804428
2023-12-04,10380,10810,10090,10730,1380022,2.093244529019981
2023-12-05,10730,11190,10320,10530,1962307,-1.863932898415657
2023-12-06,10510,10720,10290,10290,984367,-2.2792022792022792
2023-12-07,10110,10290,9700,10160,1583308,-1.2633624878522838
2023-12-08,10050,10350,10050,10200,919581,0.39370078740157477
2023-12-11,10360,10670,10250,10390,1059235,1.8627450980392157
2023-12-12,10430,10500,10110,10200,743718,-1.8286814244465832
2023-12-13,10100,10100,9840,9970,1169357,-2.2549019607843137
2023-12-14,10170,10290,9820,10010,1951592,0.4012036108324975
2023-12-15,9930,10030,9180,9280,2617578,-7.292707292707293
2023-12-18,9510,9880,9400,9790,1348402,5.495689655172414
2023-12-19,9740,9890,9610,9700,582384,-0.9193054136874361
2023-12-20,9880,10130,9810,10010,1160234,3.1958762886597936
2023-12-21,9950,10330,9810,10060,1533410,0.4995004995004995
2023-12-22,10030,10100,9510,9650,1220321,-4.075546719681909
2023-12-26,9600,9650,9300,9340,837213,-3.2124352331606216
2023-12-27,9350,9560,9260,9390,630154,0.5353319057815845
2023-12-28,9380,9380,9200,9330,558549,-0.6389776357827476
2024-01-02,9390,9510,9100,9270,821803,-0.6430868167202572
2024-01-03,9180,9240,9020,9160,1006507,-1.186623516720604
2024-01-04,9040,9360,9040,9240,806411,0.8733624454148471
2024-01-05,9210,9580,9140,9350,1021742,1.1904761904761905
2024-01-08,9440,9780,9200,9700,1180589,3.7433155080213902
2024-01-09,9740,10050,9600,9900,1378029,2.0618556701030926
2024-01-10,9890,9890,9300,9310,1671942,-5.95959595959596
2024-01-11,9300,9450,9110,9190,873395,-1.288936627282492
2024-01-12,9270,9290,8980,9060,824426,-1.4145810663764962
2024-01-15,9110,9230,8800,8890,684358,-1.8763796909492272
2024-01-16,8920,9100,8680,8830,508546,-0.6749156355455568
2024-01-17,8910,8980,8580,8650,618899,-2.0385050962627407
2024-01-18,8620,8800,8560,8650,586676,0.0
2024-01-19,8770,8970,8520,8600,685192,-0.5780346820809248
2024-01-22,8750,8750,8300,8640,946233,0.46511627906976744
2024-01-23,8720,9120,8590,8820,900745,2.083333333333333
2024-01-24,8780,9130,8630,9040,677039,2.494331065759637
2024-01-25,9010,9010,8510,8540,924666,-5.530973451327434
2024-01-26,8540,8600,8420,8450,360131,-1.053864168618267
2024-01-29,8380,8580,7990,8040,991273,-4.85207100591716
2024-01-30,8060,8240,7930,8140,680248,1.2437810945273633
2024-01-31,8040,8120,7790,7880,858602,-3.194103194103194
2024-02-01,7830,7970,7650,7870,783870,-0.12690355329949238
2024-02-02,7980,8110,7800,7850,900002,-0.25412960609911056
2024-02-05,7850,8180,7800,7990,869186,1.78343949044586
2024-02-06,7960,7960,7620,7750,782069,-3.0037546933667083
2024-02-07,7830,7860,7660,7670,469599,-1.032258064516129
2024-02-08,7670,7830,7600,7740,711950,0.9126466753585397
2024-02-13,7960,8220,7800,8190,1191890,5.813953488372093
2024-02-14,8030,8420,7870,8400,1062054,2.564102564102564
2024-02-15,8530,8960,8410,8860,1886853,5.476190476190476
2024-02-16,8900,9400,8860,9210,2063006,3.9503386004514676
2024-02-19,9230,9280,8770,8940,1226225,-2.9315960912052117
2024-02-20,8940,9210,8800,9000,751851,0.6711409395973155
2024-02-21,8920,9150,8690,8750,752956,-2.7777777777777777
2024-02-22,8750,8850,8660,8770,585059,0.2285714285714286
2024-02-23,8710,9110,8590,9020,890782,2.8506271379703536
2024-02-26,9050,9100,8780,8890,539812,-1.441241685144124
2024-02-27,8930,8930,8490,8500,727119,-4.386951631046119
2024-02-28,8450,8580,8390,8510,651095,0.1176470588235294
2024-02-29,8450,8560,8290,8450,666911,-0.7050528789659225
2024-03-04,8510,8570,8100,8280,867498,-2.0118343195266273
2024-03-05,8320,8420,8110,8180,666173,-1.2077294685990339
2024-03-06,8290,8450,8030,8070,851875,-1.3447432762836184
2024-03-07,8100,8140,7900,7960,597804,-1.3630731102850062
2024-03-08,7990,8060,7880,7960,511601,0.0
2024-03-11,7920,8030,7820,7880,418261,-1.0050251256281406
2024-03-12,7860,8120,7810,8060,493271,2.284263959390863
2024-03-13,8150,8600,8060,8290,1405076,2.8535980148883375
2024-03-14,8350,8460,8010,8190,741137,-1.2062726176115801
2024-03-15,8270,8380,8080,8140,845502,-0.6105006105006106
2024-03-18,8080,8820,8080,8730,1584219,7.2481572481572485
2024-03-19,8710,8860,8460,8820,1107773,1.0309278350515463
2024-03-20,8820,8820,8370,8640,906515,-2.0408163265306123
2024-03-21,8640,8740,8280,8330,1056916,-3.587962962962963
2024-03-22,8330,8410,8180,8340,562327,0.12004801920768307
2024-03-25,8400,9990,8360,9890,15405837,18.585131894484412
2024-03-26,9800,9920,9510,9580,4042711,-3.1344792719919106
2024-03-27,9670,9830,9280,9310,2502381,-2.8183716075156577
2024-03-28,9310,9810,9260,9720,3510884,4.403866809881848
2024-03-29,9990,10150,9720,9850,3491241,1.337448559670782
2024-04-01,10000,10650,9760,10410,5686485,5.685279187817259
2024-04-02,10410,10410,10010,10050,1876565,-3.45821325648415
2024-04-03,9940,11200,9890,10850,8944330,7.960199004975125
2024-04-04,10780,11100,10590,10940,2918512,0.8294930875576038
2024-04-05,10790,10840,10180,10280,1974359,-6.032906764168191
2024-04-08,10200,10250,9580,9670,2067288,-5.93385214007782
2024-04-09,9630,10240,9590,10100,1591083,4.446742502585315
2024-04-11,10000,10410,9880,10240,1221919,1.3861386138613863
2024-04-12,10390,10870,10350,10700,2160504,4.4921875
2024-04-15,10510,11070,10290,10970,2376706,2.5233644859813085
2024-04-16,10800,11190,10320,10610,2094717,-3.2816773017319965
2024-04-17,10730,11330,10730,11020,2403247,3.8642789820923658
2024-04-18,10960,11390,10860,11190,1695511,1.5426497277676952
2024-04-19,11160,11850,11000,11570,4459962,3.395889186773905
2024-04-22,11580,12000,10690,10860,4213557,-6.1365600691443385
2024-04-23,10950,11110,10520,10630,1922985,-2.117863720073665
2024-04-24,10660,10870,10390,10750,1338787,1.1288805268109126
2024-04-25,10740,10740,10010,10130,2204910,-5.767441860465116
2024-04-26,10100,10350,9990,10270,1115008,1.3820335636722607
2024-04-29,10270,10620,10220,10430,990512,1.557935735150925
2024-04-30,10320,10560,10180,10340,1013533,-0.862895493767977
2024-05-02,10440,10770,10400,10650,1339062,2.998065764023211
2024-05-03,10660,10890,10360,10800,1257371,1.4084507042253522
2024-05-07,10750,10790,10310,10410,1135088,-3.6111111111111107
2024-05-08,10410,10550,10020,10450,1175502,0.38424591738712777
2024-05-09,10460,11400,10410,11120,4859855,6.411483253588517
2024-05-10,11320,11330,10820,10830,1984033,-2.6079136690647484
2024-05-13,8470,9070,8370,8380,11293402,-22.62234533702678
2024-05-14,8680,8940,8560,8600,6119946,2.6252983293556085
2024-05-16,8670,8790,8070,8130,5111734,-5.465116279069767
2024-05-17,8010,8380,7960,8200,2666205,0.8610086100861009
2024-05-20,8270,8560,8180,8550,2267668,4.2682926829268295
2024-05-21,8560,8730,8410,8650,1959168,1.1695906432748537
2024-05-22,8630,8630,8380,8380,1438399,-3.121387283236994
2024-05-23,8380,8470,8260,8440,1003858,0.7159904534606205
2024-05-24,8390,8490,8240,8240,1027287,-2.3696682464454977
2024-05-27,8280,8390,8110,8220,1052761,-0.24271844660194172
2024-05-28,8160,8280,7810,7870,2367218,-4.257907542579075
2024-05-29,8030,8030,7350,7540,2977239,-4.193138500635324
2024-05-30,7530,7660,7350,7390,1017430,-1.989389920424403
2024-05-31,7450,7930,7410,7860,1780903,6.359945872801083
2024-06-03,7970,7970,7650,7730,1052319,-1.653944020356234
2024-06-04,7650,7700,7430,7460,871428,-3.4928848641655885
2024-06-05,7500,7500,7270,7350,749995,-1.4745308310991956
2024-06-07,7360,7490,7300,7330,501784,-0.27210884353741494
2024-06-10,7580,7730,7510,7680,1173310,4.774897680763983
2024-06-11,7700,7710,7540,7590,588400,-1.171875
2024-06-12,7560,8100,7480,7980,1853112,5.138339920948617
2024-06-13,8100,8380,8010,8190,1932566,2.631578947368421
2024-06-14,8360,8370,7970,8050,1011957,-1.7094017094017095
2024-06-17,8120,8200,8010,8050,605771,0.0
2024-06-18,8160,8160,7860,7960,650351,-1.1180124223602486
2024-06-19,8100,8390,8020,8310,1862033,4.396984924623116
2024-06-20,8310,8410,8210,8290,669546,-0.24067388688327318
2024-06-21,8300,8330,8100,8320,711444,0.3618817852834741
2024-06-24,8420,8580,8260,8350,1243065,0.3605769230769231
2024-06-25,8350,8370,8110,8180,613787,-2.035928143712575
2024-06-26,8230,8300,8090,8150,511982,-0.36674816625916873
2024-06-27,8220,8400,8130,8190,774821,0.49079754601227
