날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,55724,16.66,3.35,11203,2.2,4100
2023-06-08,55724,16.38,3.29,11203,2.23,4100
2023-06-09,55724,16.61,3.34,11203,2.2,4100
2023-06-12,55724,16.67,3.35,11203,2.19,4100
2023-06-13,55724,16.58,3.33,11203,2.21,4100
2023-06-14,55724,16.85,3.39,11203,2.17,4100
2023-06-15,55724,17.0,3.42,11203,2.15,4100
2023-06-16,55724,17.31,3.48,11203,2.11,4100
2023-06-19,55724,16.58,3.33,11203,2.21,4100
2023-06-20,55724,16.69,3.36,11203,2.19,4100
2023-06-21,55724,16.42,3.3,11203,2.23,4100
2023-06-22,55724,16.27,3.27,11203,2.25,4100
2023-06-23,55724,16.05,3.23,11203,2.28,4100
2023-06-26,55724,16.42,3.3,11203,2.23,4100
2023-06-27,55724,16.27,3.27,11203,2.25,4100
2023-06-28,55724,16.33,3.28,11203,2.24,4100
2023-06-29,55724,15.98,3.21,11203,2.29,4100
2023-06-30,55724,15.61,3.14,11203,2.34,4100
2023-07-03,55724,15.7,3.16,11203,2.33,4100
2023-07-04,55724,15.19,3.05,11203,2.41,4100
2023-07-05,55724,14.98,3.01,11203,2.44,4100
2023-07-06,55724,14.87,2.99,11203,2.46,4100
2023-07-07,55724,14.89,2.99,11203,2.46,4100
2023-07-10,55724,15.22,3.06,11203,2.4,4100
2023-07-11,55724,15.07,3.03,11203,2.43,4100
2023-07-12,55724,15.03,3.02,11203,2.43,4100
2023-07-13,55724,15.61,3.14,11203,2.34,4100
2023-07-14,55724,15.48,3.11,11203,2.36,4100
2023-07-17,55724,15.26,3.07,11203,2.4,4100
2023-07-18,55724,15.15,3.05,11203,2.42,4100
2023-07-19,55724,14.65,2.94,11203,2.5,4100
2023-07-20,55724,14.76,2.97,11203,2.48,4100
2023-07-21,55724,15.01,3.02,11203,2.44,4100
2023-07-24,55724,14.64,2.94,11203,2.5,4100
2023-07-25,55724,14.26,2.87,11203,2.57,4100
2023-07-26,55724,14.25,2.86,11203,2.57,4100
2023-07-27,55724,14.97,3.01,11203,2.44,4100
2023-07-28,55724,14.66,2.95,11203,2.5,4100
2023-07-31,55724,14.96,3.01,11203,2.45,4100
2023-08-01,55724,15.42,3.1,11203,2.37,4100
2023-08-02,55724,15.19,3.05,11203,2.41,4100
2023-08-03,55724,15.28,3.07,11203,2.39,4100
2023-08-04,55724,15.12,3.04,11203,2.42,4100
2023-08-07,55724,15.2,3.06,11203,2.41,4100
2023-08-08,55724,15.32,3.08,11203,2.39,4100
2023-08-09,55724,14.75,2.97,11203,2.48,4100
2023-08-10,55724,15.17,3.05,11203,2.41,4100
2023-08-11,55724,14.94,3.0,11203,2.45,4100
2023-08-14,55724,15.1,3.04,11203,2.42,4100
2023-08-16,55724,14.6,2.94,11203,2.51,4100
2023-08-17,55724,14.63,2.94,11203,2.5,4100
2023-08-18,55724,14.3,2.87,11203,2.56,4100
2023-08-21,55724,14.5,2.91,11203,2.52,4100
2023-08-22,55724,14.44,2.9,11203,2.53,4100
2023-08-23,55724,14.53,2.92,11203,2.52,4100
2023-08-24,55724,14.42,2.9,11203,2.54,4100
2023-08-25,55724,14.37,2.89,11203,2.55,4100
2023-08-28,55724,14.3,2.87,11203,2.56,4100
2023-08-29,55724,14.33,2.88,11203,2.55,4100
2023-08-30,55724,14.19,2.85,11203,2.58,4100
2023-08-31,55724,13.96,2.81,11203,2.62,4100
2023-09-01,55724,13.95,2.8,11203,2.62,4100
2023-09-04,55724,13.79,2.77,11203,2.65,4100
2023-09-05,55724,13.82,2.78,11203,2.65,4100
2023-09-06,55724,14.01,2.82,11203,2.61,4100
2023-09-07,55724,13.69,2.75,11203,2.67,4100
2023-09-08,55724,13.71,2.76,11203,2.67,4100
2023-09-11,55724,13.4,2.69,11203,2.73,4100
2023-09-12,55724,13.34,2.68,11203,2.74,4100
2023-09-13,55724,13.48,2.71,11203,2.72,4100
2023-09-14,55724,13.6,2.73,11203,2.69,4100
2023-09-15,55724,13.68,2.75,11203,2.67,4100
2023-09-18,55724,13.35,2.68,11203,2.74,4100
2023-09-19,55724,13.32,2.68,11203,2.75,4100
2023-09-20,55724,13.26,2.67,11203,2.76,4100
2023-09-21,55724,12.87,2.59,11203,2.84,4100
2023-09-22,55724,12.76,2.57,11203,2.87,4100
2023-09-25,55724,12.87,2.59,11203,2.84,4100
2023-09-26,55724,12.6,2.53,11203,2.9,4100
2023-09-27,55724,12.59,2.53,11203,2.91,4100
2023-10-04,55724,11.76,2.37,11203,3.11,4100
2023-10-05,55724,12.63,2.54,11203,2.9,4100
2023-10-06,55724,12.33,2.48,11203,2.97,4100
2023-10-10,55724,12.46,2.51,11203,2.94,4100
2023-10-11,55724,12.43,2.5,11203,2.95,4100
2023-10-12,55724,12.43,2.5,11203,2.95,4100
2023-10-13,55724,12.46,2.51,11203,2.94,4100
2023-10-16,55724,12.4,2.49,11203,2.95,4100
2023-10-17,55724,12.03,2.42,11203,3.04,4100
2023-10-18,55724,12.21,2.45,11203,3.0,4100
2023-10-19,55724,12.19,2.45,11203,3.0,4100
2023-10-20,55724,11.76,2.36,11203,3.11,4100
2023-10-23,55724,11.68,2.35,11203,3.13,4100
2023-10-24,55724,11.73,2.36,11203,3.12,4100
2023-10-25,55724,11.88,2.39,11203,3.08,4100
2023-10-26,55724,11.76,2.36,11203,3.11,4100
2023-10-27,55724,12.37,2.49,11203,2.96,4100
2023-10-30,55724,12.61,2.54,11203,2.9,4100
2023-10-31,55724,12.34,2.48,11203,2.97,4100
2023-11-01,55724,12.85,2.58,11203,2.85,4100
2023-11-02,55724,12.53,2.52,11203,2.92,4100
2023-11-03,55724,12.91,2.59,11203,2.84,4100
2023-11-06,55724,13.42,2.7,11203,2.73,4100
2023-11-07,55724,12.94,2.6,11203,2.83,4100
2023-11-08,55724,12.93,2.6,11203,2.83,4100
2023-11-09,55724,13.12,2.64,11203,2.79,4100
2023-11-10,55724,12.97,2.61,11203,2.82,4100
2023-11-13,55724,13.21,2.66,11203,2.77,4100
2023-11-14,55724,13.43,2.7,11203,2.72,4100
2023-11-15,55724,12.6,2.53,11203,2.9,4100
2023-11-16,55724,12.46,2.51,11203,2.94,4100
2023-11-17,55724,11.92,2.4,11203,3.07,4100
2023-11-20,55724,12.09,2.43,11203,3.03,4100
2023-11-21,55724,12.06,2.42,11203,3.03,4100
2023-11-22,55724,11.81,2.37,11203,3.1,4100
2023-11-23,55724,11.7,2.35,11203,3.13,4100
2023-11-24,55724,11.7,2.35,11203,3.13,4100
2023-11-27,55724,11.51,2.31,11203,3.18,4100
2023-11-28,55724,11.55,2.32,11203,3.17,4100
2023-11-29,55724,11.83,2.38,11203,3.09,4100
2023-11-30,55724,12.11,2.44,11203,3.02,4100
2023-12-01,55724,12.22,2.46,11203,2.99,4100
2023-12-04,55724,12.09,2.43,11203,3.03,4100
2023-12-05,55724,12.59,2.53,11203,2.91,4100
2023-12-06,55724,12.29,2.47,11203,2.98,4100
2023-12-07,55724,12.23,2.46,11203,2.99,4100
2023-12-08,55724,12.23,2.46,11203,2.99,4100
2023-12-11,55724,12.19,2.45,11203,3.0,4100
2023-12-12,55724,12.15,2.44,11203,3.01,4100
2023-12-13,55724,11.79,2.37,11203,3.1,4100
2023-12-14,55724,12.03,2.42,11203,3.04,4100
2023-12-15,55724,11.98,2.41,11203,3.06,4100
2023-12-18,55724,11.7,2.35,11203,3.13,4100
2023-12-19,55724,11.85,2.38,11203,3.09,4100
2023-12-20,55724,11.94,2.4,11203,3.06,4100
2023-12-21,55724,11.83,2.38,11203,3.09,4100
2023-12-22,55724,11.77,2.37,11203,3.11,4100
2023-12-26,55724,12.03,2.42,11203,3.04,4100
2023-12-27,55724,11.49,2.31,11203,3.19,4100
2023-12-28,55724,11.72,2.36,11203,3.12,4100
2024-01-02,55724,12.06,2.42,11203,3.03,4100
2024-01-03,55724,12.26,2.46,11203,2.99,4100
2024-01-04,55724,12.03,2.42,11203,3.04,4100
2024-01-05,55724,12.28,2.47,11203,2.98,4100
2024-01-08,55724,12.5,2.51,11203,2.93,4100
2024-01-09,55724,12.51,2.51,11203,2.93,4100
2024-01-10,55724,12.52,2.52,11203,2.92,4100
2024-01-11,55724,12.11,2.44,11203,3.02,4100
2024-01-12,55724,12.58,2.53,11203,2.91,4100
2024-01-15,55724,12.81,2.58,11203,2.86,4100
2024-01-16,55724,12.93,2.6,11203,2.83,4100
2024-01-17,55724,12.5,2.51,11203,2.93,4100
2024-01-18,55724,12.57,2.53,11203,2.91,4100
2024-01-19,55724,12.93,2.6,11203,2.83,4100
2024-01-22,55724,13.04,2.62,11203,2.81,4100
2024-01-23,55724,12.91,2.59,11203,2.84,4100
2024-01-24,55724,12.79,2.57,11203,2.86,4100
2024-01-25,55724,12.76,2.57,11203,2.87,4100
2024-01-26,55724,13.04,2.62,11203,2.81,4100
2024-01-29,55724,12.91,2.59,11203,2.84,4100
2024-01-30,55724,12.6,2.53,11203,2.9,4100
2024-01-31,55724,12.59,2.53,11203,2.91,4100
2024-02-01,55724,12.57,2.53,11203,2.91,4100
2024-02-02,55724,12.43,2.5,11203,2.94,4100
2024-02-05,55724,12.29,2.47,11203,2.98,4100
2024-02-06,55724,12.18,2.45,11203,3.0,4100
2024-02-07,55724,12.29,2.47,11203,2.98,4100
2024-02-08,55724,11.88,2.39,11203,3.08,4100
2024-02-13,55724,11.87,2.39,11203,3.08,4100
2024-02-14,55724,11.91,2.39,11203,3.07,4100
2024-02-15,55724,11.8,2.37,11203,3.1,4100
2024-02-16,55724,11.79,2.37,11203,3.1,4100
2024-02-19,55724,11.68,2.35,11203,3.13,4100
2024-02-20,55724,11.57,2.33,11203,3.16,4100
2024-02-21,55724,11.6,2.33,11203,3.15,4100
2024-02-22,55724,11.78,2.37,11203,3.11,4100
2024-02-23,55724,11.85,2.38,11203,3.09,4100
2024-02-26,55724,11.71,2.35,11203,3.13,4100
2024-02-27,55724,11.6,2.33,11203,3.15,4100
2024-02-28,55724,11.95,2.4,11203,3.06,4100
2024-02-29,55724,11.79,2.37,11203,3.1,4100
2024-03-04,55724,11.69,2.35,11203,3.13,4100
2024-03-05,55724,11.6,2.33,11203,3.15,4100
2024-03-06,55724,11.64,2.34,11203,3.14,4100
2024-03-07,55724,10.93,2.2,11203,3.35,4100
2024-03-08,55724,11.15,2.24,11203,3.28,4100
