date,indicator,indicator_name,category,frequency,ticker,open,high,low,close,adj_close,volume,unit,source,source_url,downloaded_at
2010-01-04,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,106.4000015258789,106.4000015258789,106.4000015258789,106.4000015258789,106.4000015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-05,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,102.5,102.5,102.5,102.5,102.5,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-06,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,106.9000015258789,106.9000015258789,106.9000015258789,106.9000015258789,106.9000015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-07,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,104.4000015258789,104.4000015258789,104.4000015258789,104.4000015258789,104.4000015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-08,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,96.30000305175781,96.30000305175781,96.30000305175781,96.30000305175781,96.30000305175781,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-11,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,93.0,93.0,93.0,93.0,93.0,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-12,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,92.69999694824219,92.69999694824219,92.69999694824219,92.69999694824219,92.69999694824219,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-13,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,95.5,95.5,95.5,95.5,95.5,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-14,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,91.0999984741211,91.0999984741211,91.0999984741211,91.0999984741211,91.0999984741211,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-15,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,89.80000305175781,89.80000305175781,89.80000305175781,89.80000305175781,89.80000305175781,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-19,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,87.9000015258789,87.9000015258789,87.9000015258789,87.9000015258789,87.9000015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2010-01-20,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,88.30000305175781,88.30000305175781,88.30000305175781,88.30000305175781,88.30000305175781,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
