date,indicator,indicator_name,category,frequency,ticker,open,high,low,close,adj_close,volume,unit,source,source_url,downloaded_at
2010-01-04,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,21.68000030517578,21.68000030517578,20.030000686645508,20.040000915527344,20.040000915527344,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-05,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,20.049999237060547,20.1299991607666,19.34000015258789,19.350000381469727,19.350000381469727,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-06,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,19.59000015258789,19.68000030517578,18.770000457763672,19.15999984741211,19.15999984741211,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-07,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,19.68000030517578,19.709999084472656,18.700000762939453,19.059999465942383,19.059999465942383,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-08,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,19.270000457763672,19.270000457763672,18.110000610351562,18.1299991607666,18.1299991607666,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-11,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,16.93000030517578,17.739999771118164,16.860000610351562,17.549999237060547,17.549999237060547,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-12,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,17.950000762939453,19.459999084472656,17.950000762939453,18.25,18.25,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-13,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,17.940000534057617,18.719999313354492,17.559999465942383,17.850000381469727,17.850000381469727,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-14,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,18.15999984741211,18.270000457763672,17.3799991607666,17.6299991607666,17.6299991607666,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-15,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,17.6299991607666,19.020000457763672,17.6299991607666,17.90999984741211,17.90999984741211,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-19,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,18.6299991607666,18.850000381469727,17.329999923706055,17.579999923706055,17.579999923706055,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-20,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,18.510000228881836,19.690000534057617,18.440000534057617,18.68000030517578,18.68000030517578,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-21,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,18.59000015258789,22.299999237060547,18.270000457763672,22.270000457763672,22.270000457763672,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-22,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,22.270000457763672,28.010000228881836,22.270000457763672,27.309999465942383,27.309999465942383,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-25,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,27.31999969482422,27.31999969482422,24.610000610351562,25.40999984741211,25.40999984741211,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
2010-01-26,vix,CBOE Volatility Index,risk_sentiment,daily,^VIX,26.030000686645508,26.219999313354492,22.770000457763672,24.549999237060547,24.549999237060547,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^VIX,2026-06-05T21:39:22+09:00
