ticker,period,buyback_count,dividend_count,insider_count,total_count,buyback_event_flag,buyback_count_3m,buyback_count_zscore_own_6m,dividend_event_flag,dividend_count_3m,dividend_count_zscore_own_6m,insider_event_flag,insider_count_3m,insider_count_zscore_own_6m,event_activity_score,event_activity_bucket
000080,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000080,2025-07-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000080,2025-08-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000080,2025-09-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000080,2025-10-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000080,2025-11-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000080,2025-12-01,0,0,2,2,False,0,,False,0,,True,2,2.041241452319315,0.3333333333333333,normal
000080,2026-01-01,0,0,2,2,False,0,,False,0,,True,4,1.2909944487358056,0.27424953739465047,normal
000080,2026-02-01,0,1,0,1,False,0,,True,1,2.041241452319315,False,4,-0.6454972243679027,0.4462085646360081,normal
000080,2026-03-01,0,0,0,0,False,0,,False,1,-0.408248290463863,False,2,-0.6454972243679027,0.11287523130267478,quiet
000080,2026-04-01,0,0,0,0,False,0,,False,1,-0.408248290463863,False,0,-0.6454972243679027,0.11287523130267478,quiet
000080,2026-05-01,0,0,22,22,False,0,,False,0,-0.408248290463863,True,22,2.028285628144621,0.3333333333333333,normal
000080,2026-06-01,0,0,5,5,False,0,,False,0,-0.408248290463863,True,27,0.019300847750452786,0.16827507064587108,normal
000100,2025-06-01,0,0,3,3,False,0,,False,0,,True,3,,0.0,quiet
000100,2025-07-01,2,0,0,2,True,2,,False,0,,False,3,,0.5,elevated_activity
000100,2025-08-01,0,0,2,2,False,2,,False,0,,True,5,,0.0,quiet
000100,2025-09-01,1,0,0,1,True,3,0.26111648393354675,False,0,,False,2,-0.8333333333333334,0.4305555555555555,normal
000100,2025-10-01,0,0,2,2,False,1,-0.6708203932499369,False,0,,True,4,0.447213595499958,0.20393446629166315,normal
000100,2025-11-01,0,0,0,0,False,1,-0.5976143046671968,False,0,,False,2,-0.8777472595071586,0.09352106170773677,quiet
000100,2025-12-01,0,0,0,0,False,0,-0.5976143046671968,False,0,,False,2,-0.6454972243679028,0.11287523130267478,quiet
000100,2026-01-01,0,0,4,4,False,0,-0.4082482904638631,False,0,,True,4,1.6329931618554523,0.302749430154621,normal
000100,2026-02-01,0,2,0,2,False,0,-0.4082482904638631,True,2,2.041241452319315,False,4,-0.5976143046671968,0.4501988079444003,normal
000100,2026-03-01,0,0,3,3,False,0,,False,2,-0.408248290463863,True,7,0.851942751370597,0.23766189594754975,normal
000100,2026-04-01,0,0,19,19,False,0,,False,2,-0.408248290463863,True,22,1.9836731962683511,0.33197276635569595,normal
000100,2026-05-01,0,0,7,7,False,0,,False,0,-0.408248290463863,True,29,0.21066252211737155,0.1842218768431143,normal
000100,2026-06-01,0,0,2,2,False,0,,False,0,-0.408248290463863,True,28,-0.5593475194404101,0.12005437337996583,quiet
000120,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000120,2025-07-01,0,0,1,1,False,0,,False,0,,True,1,,0.0,quiet
000120,2025-08-01,0,0,1,1,False,0,,False,0,,True,2,,0.0,quiet
000120,2025-09-01,0,0,3,3,False,0,,False,0,,True,5,1.3907589749182958,0.282563247909858,normal
000120,2025-10-01,0,0,0,0,False,0,,False,0,,False,4,-0.8164965809277259,0.09862528492268952,quiet
000120,2025-11-01,0,0,1,1,False,0,,False,0,,True,4,0.0,0.16666666666666666,normal
000120,2025-12-01,0,1,1,2,False,0,,True,1,2.041241452319315,True,2,-0.16951587590520265,0.48587367700789974,normal
000120,2026-01-01,0,0,2,2,False,0,,False,1,-0.408248290463863,True,4,0.6454972243679028,0.22045810203065855,normal
000120,2026-02-01,0,2,1,3,False,0,,True,3,1.7928429140015905,True,4,-0.3227486121839513,0.47310428231800405,normal
000120,2026-03-01,0,0,2,2,False,0,,False,2,-0.5976143046671968,True,5,1.1070186069251189,0.2589182172437599,normal
000120,2026-04-01,0,0,4,4,False,0,,False,2,-0.5976143046671968,True,7,1.8533643326646532,0.3211136943887211,normal
000120,2026-05-01,0,0,4,4,False,0,,False,0,-0.5976143046671968,True,10,1.2198750911856662,0.26832292426547216,normal
000120,2026-06-01,0,0,1,1,False,0,,False,0,-0.408248290463863,True,9,-0.9759000729485332,0.08534166058762223,quiet
000150,2025-06-01,0,0,1,1,False,0,,False,0,,True,1,,0.0,quiet
000150,2025-07-01,0,0,0,0,False,0,,False,0,,False,1,,0.0,quiet
000150,2025-08-01,0,0,0,0,False,0,,False,0,,False,1,,0.0,quiet
000150,2025-09-01,0,0,0,0,False,0,,False,0,,False,0,-0.5,0.125,quiet
000150,2025-10-01,0,0,1,1,False,0,,False,0,,True,1,1.0954451150103321,0.25795375958419436,normal
000150,2025-11-01,0,0,1,1,False,0,,False,0,,True,2,0.9128709291752768,0.24273924409793976,normal
000150,2025-12-01,0,0,2,2,False,0,,False,0,,True,4,1.6329931618554523,0.302749430154621,normal
000150,2026-01-01,0,0,2,2,False,0,,False,0,,True,5,1.118033988749895,0.2598361657291579,normal
000150,2026-02-01,1,2,0,3,True,1,2.041241452319315,True,2,2.041241452319315,False,4,-1.118033988749895,0.7401638342708421,high_activity
000150,2026-03-01,1,0,25,26,True,2,1.2909944487358056,False,2,-0.408248290463863,True,27,2.035214151409291,0.6666666666666666,elevated_activity
000150,2026-04-01,0,2,1,3,False,2,-0.6454972243679027,True,4,1.2909944487358056,True,26,-0.4275659981952293,0.4643695001503976,normal
000150,2026-05-01,0,0,2,2,False,1,-0.6454972243679027,False,2,-0.6454972243679027,True,28,-0.3447865914274368,0.13793445071438026,quiet
000150,2026-06-01,0,0,1,1,False,0,-0.6454972243679027,False,2,-0.6454972243679027,True,4,-0.4275659981952293,0.13103616681706423,quiet
000210,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
000210,2025-07-01,1,0,1,2,True,1,,False,0,,True,1,,0.5,elevated_activity
000210,2025-08-01,0,0,0,0,False,1,,False,0,,False,1,,0.0,quiet
000210,2025-09-01,0,0,1,1,False,1,-0.5,False,0,,True,2,0.8660254037844387,0.2388354503153699,normal
000210,2025-10-01,0,0,1,1,False,0,-0.4472135954999579,False,0,,True,2,0.7302967433402215,0.22752472861168513,normal
000210,2025-11-01,0,0,0,0,False,0,-0.408248290463863,False,0,,False,2,-0.9128709291752769,0.09059408923539358,quiet
000210,2025-12-01,1,0,0,1,True,1,1.2909944487358056,False,0,,False,1,-0.9128709291752769,0.4239274225687269,normal
000210,2026-01-01,0,0,1,1,False,1,-0.40824829046386296,False,0,,True,1,0.9128709291752769,0.24273924409793976,normal
000210,2026-02-01,0,1,1,2,False,1,-0.40824829046386296,True,1,2.041241452319315,True,2,0.6454972243679029,0.5537914353639919,elevated_activity
000210,2026-03-01,0,0,0,0,False,0,-0.40824829046386296,False,1,-0.408248290463863,False,2,-0.9128709291752769,0.09059408923539358,quiet
000210,2026-04-01,0,1,0,1,False,0,-0.40824829046386296,True,2,1.2909944487358056,False,1,-0.6454972243679028,0.4462085646360081,normal
000210,2026-05-01,0,0,0,0,False,0,-0.40824829046386296,False,1,-0.6454972243679027,False,0,-0.6454972243679028,0.11287523130267478,quiet
000210,2026-06-01,0,0,0,0,False,0,,False,1,-0.6454972243679027,False,0,-0.6454972243679028,0.11287523130267478,quiet
000240,2025-06-01,0,0,1,1,False,0,,False,0,,True,1,,0.0,quiet
000240,2025-07-01,0,0,0,0,False,0,,False,0,,False,1,,0.0,quiet
000240,2025-08-01,0,4,0,4,False,0,,True,4,,False,1,,0.5,elevated_activity
000240,2025-09-01,0,0,3,3,False,0,,False,4,-0.5,True,3,1.414213562373095,0.2845177968644246,normal
000240,2025-10-01,0,0,1,1,False,0,,False,4,-0.4472135954999579,True,4,0.0,0.16666666666666666,normal
000240,2025-11-01,0,0,2,2,False,0,,False,0,-0.408248290463863,True,6,0.7128324356402512,0.22606936963668758,normal
000240,2025-12-01,0,0,1,1,False,0,,False,0,-0.408248290463863,True,4,-0.1425664871280503,0.15478612607266248,normal
