날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,13741,8.53,2.11,3392,0.0,0
2023-06-08,13741,8.43,2.08,3392,0.0,0
2023-06-09,13741,8.45,2.09,3392,0.0,0
2023-06-12,13741,8.34,2.06,3392,0.0,0
2023-06-13,13741,8.3,2.05,3392,0.0,0
2023-06-14,13741,8.15,2.01,3392,0.0,0
2023-06-15,13741,8.05,1.99,3392,0.0,0
2023-06-16,13741,8.12,2.0,3392,0.0,0
2023-06-19,13741,8.25,2.04,3392,0.0,0
2023-06-20,13741,8.14,2.01,3392,0.0,0
2023-06-21,13741,8.27,2.04,3392,0.0,0
2023-06-22,13741,8.58,2.12,3392,0.0,0
2023-06-23,13741,8.25,2.04,3392,0.0,0
2023-06-26,13741,8.4,2.07,3392,0.0,0
2023-06-27,13741,8.36,2.06,3392,0.0,0
2023-06-28,13741,8.33,2.06,3392,0.0,0
2023-06-29,13741,8.28,2.04,3392,0.0,0
2023-06-30,13741,8.34,2.06,3392,0.0,0
2023-07-03,13741,8.7,2.15,3392,0.0,0
2023-07-04,13741,8.67,2.14,3392,0.0,0
2023-07-05,13741,8.61,2.13,3392,0.0,0
2023-07-06,13741,8.58,2.12,3392,0.0,0
2023-07-07,13741,8.46,2.09,3392,0.0,0
2023-07-10,13741,8.8,2.17,3392,0.0,0
2023-07-11,13741,8.89,2.19,3392,0.0,0
2023-07-12,13741,9.45,2.33,3392,0.0,0
2023-07-13,13741,9.39,2.32,3392,0.0,0
2023-07-14,13741,9.55,2.36,3392,0.0,0
2023-07-17,13741,9.63,2.38,3392,0.0,0
2023-07-18,13741,9.58,2.37,3392,0.0,0
2023-07-19,13741,9.57,2.36,3392,0.0,0
2023-07-20,13741,9.52,2.35,3392,0.0,0
2023-07-21,13741,9.86,2.43,3392,0.0,0
2023-07-24,13741,9.79,2.42,3392,0.0,0
2023-07-25,13741,9.82,2.42,3392,0.0,0
2023-07-26,13741,9.61,2.37,3392,0.0,0
2023-07-27,13741,9.96,2.46,3392,0.0,0
2023-07-28,13741,10.54,2.6,3392,0.0,0
2023-07-31,13741,10.91,2.69,3392,0.0,0
2023-08-01,13741,10.85,2.68,3392,0.0,0
2023-08-02,13741,10.88,2.69,3392,0.0,0
2023-08-03,13741,10.73,2.65,3392,0.0,0
2023-08-04,13741,10.55,2.61,3392,0.0,0
2023-08-07,13741,10.51,2.59,3392,0.0,0
2023-08-08,13741,10.69,2.64,3392,0.0,0
2023-08-09,13741,10.58,2.61,3392,0.0,0
2023-08-10,13741,10.97,2.71,3392,0.0,0
2023-08-11,13741,10.97,2.71,3392,0.0,0
2023-08-14,13741,11.0,2.71,3392,0.0,0
2023-08-16,13741,10.72,2.65,3392,0.0,0
2023-08-17,13741,10.73,2.65,3392,0.0,0
2023-08-18,13741,10.47,2.58,3392,0.0,0
2023-08-21,13741,10.32,2.55,3392,0.0,0
2023-08-22,13741,10.48,2.59,3392,0.0,0
2023-08-23,13741,10.57,2.61,3392,0.0,0
2023-08-24,13741,10.61,2.62,3392,0.0,0
2023-08-25,13741,9.77,2.41,3392,0.0,0
2023-08-28,13741,10.22,2.52,3392,0.0,0
2023-08-29,13741,10.3,2.54,3392,0.0,0
2023-08-30,13741,10.42,2.57,3392,0.0,0
2023-08-31,13741,10.02,2.47,3392,0.0,0
2023-09-01,13741,9.8,2.42,3392,0.0,0
2023-09-04,13741,9.86,2.43,3392,0.0,0
2023-09-05,13741,9.73,2.4,3392,0.0,0
2023-09-06,13741,9.73,2.4,3392,0.0,0
2023-09-07,13741,9.66,2.38,3392,0.0,0
2023-09-08,13741,9.74,2.41,3392,0.0,0
2023-09-11,13741,9.68,2.39,3392,0.0,0
2023-09-12,13741,9.45,2.33,3392,0.0,0
2023-09-13,13741,9.29,2.29,3392,0.0,0
2023-09-14,13741,9.38,2.31,3392,0.0,0
2023-09-15,13741,9.57,2.36,3392,0.0,0
2023-09-18,13741,9.52,2.35,3392,0.0,0
2023-09-19,13741,9.57,2.36,3392,0.0,0
2023-09-20,13741,9.45,2.33,3392,0.0,0
2023-09-21,13741,9.42,2.33,3392,0.0,0
2023-09-22,13741,9.01,2.22,3392,0.0,0
2023-09-25,13741,8.84,2.18,3392,0.0,0
2023-09-26,13741,8.71,2.15,3392,0.0,0
2023-09-27,13741,8.92,2.2,3392,0.0,0
2023-10-04,13741,8.64,2.13,3392,0.0,0
2023-10-05,13741,8.49,2.1,3392,0.0,0
2023-10-06,13741,8.53,2.11,3392,0.0,0
2023-10-10,13741,8.34,2.06,3392,0.0,0
2023-10-11,13741,8.42,2.08,3392,0.0,0
2023-10-12,13741,8.7,2.15,3392,0.0,0
2023-10-13,13741,8.52,2.1,3392,0.0,0
2023-10-16,13741,8.48,2.09,3392,0.0,0
2023-10-17,13741,8.53,2.11,3392,0.0,0
2023-10-18,13741,8.59,2.12,3392,0.0,0
2023-10-19,13741,8.24,2.03,3392,0.0,0
2023-10-20,13741,8.18,2.02,3392,0.0,0
2023-10-23,13741,8.11,2.0,3392,0.0,0
2023-10-24,13741,8.21,2.03,3392,0.0,0
2023-10-25,13741,8.21,2.03,3392,0.0,0
2023-10-26,13741,7.92,1.95,3392,0.0,0
2023-10-27,13741,7.83,1.93,3392,0.0,0
2023-10-30,13741,6.87,1.7,3392,0.0,0
2023-10-31,13741,7.0,1.73,3392,0.0,0
2023-11-01,13741,7.18,1.77,3392,0.0,0
2023-11-02,13741,7.3,1.8,3392,0.0,0
2023-11-03,13741,7.19,1.78,3392,0.0,0
2023-11-06,13741,7.72,1.91,3392,0.0,0
2023-11-07,13741,7.5,1.85,3392,0.0,0
2023-11-08,13741,7.33,1.81,3392,0.0,0
2023-11-09,13741,7.25,1.79,3392,0.0,0
