날짜,BPS,PER,PBR,EPS,DIV,DPS
2023-06-07,6118,162.28,8.86,334,0.0,0
2023-06-08,6118,169.16,9.24,334,0.0,0
2023-06-09,6118,172.75,9.43,334,0.0,0
2023-06-12,6118,181.74,9.92,334,0.0,0
2023-06-13,6118,176.95,9.66,334,0.0,0
2023-06-14,6118,165.57,9.04,334,0.0,0
2023-06-15,6118,168.26,9.19,334,0.0,0
2023-06-16,6118,164.37,8.97,334,0.0,0
2023-06-19,6118,163.17,8.91,334,0.0,0
2023-06-20,6118,160.48,8.76,334,0.0,0
2023-06-21,6118,159.88,8.73,334,0.0,0
2023-06-22,6118,161.38,8.81,334,0.0,0
2023-06-23,6118,156.29,8.53,334,0.0,0
2023-06-26,6118,148.95,8.13,334,0.0,0
2023-06-27,6118,144.61,7.89,334,0.0,0
2023-06-28,6118,139.52,7.62,334,0.0,0
2023-06-29,6118,138.02,7.54,334,0.0,0
2023-06-30,6118,140.27,7.66,334,0.0,0
2023-07-03,6118,145.96,7.97,334,0.0,0
2023-07-04,6118,144.16,7.87,334,0.0,0
2023-07-05,6118,170.06,9.28,334,0.0,0
2023-07-06,6118,167.37,9.14,334,0.0,0
2023-07-07,6118,168.86,9.22,334,0.0,0
2023-07-10,6118,157.78,8.61,334,0.0,0
2023-07-11,6118,171.86,9.38,334,0.0,0
2023-07-12,6118,169.16,9.24,334,0.0,0
2023-07-13,6118,165.57,9.04,334,0.0,0
2023-07-14,6118,171.86,9.38,334,0.0,0
2023-07-17,6118,173.35,9.46,334,0.0,0
2023-07-18,6118,188.32,10.28,334,0.0,0
2023-07-19,6118,178.74,9.76,334,0.0,0
2023-07-20,6118,183.23,10.0,334,0.0,0
2023-07-21,6118,184.73,10.08,334,0.0,0
2023-07-24,6118,188.92,10.31,334,0.0,0
2023-07-25,6118,185.93,10.15,334,0.0,0
2023-07-26,6118,174.25,9.51,334,0.0,0
2023-07-27,6118,151.2,8.25,334,0.0,0
