ticker,period,balance,balance_ratio,listed_shares,sector,balance_ratio_1m_chg,balance_ratio_3m_chg,balance_ratio_zscore_own_6m,balance_ratio_pct_cross,short_squeeze_flag,shorting_pressure_score,shorting_pressure_bucket
000080,2025-04-01,177716,0.25,70133611,음식료·담배,,,,0.49798387096774194,False,0.49798387096774194,neutral
000080,2025-05-01,225278,0.32,70133611,음식료·담배,0.07,,,0.530241935483871,False,0.530241935483871,neutral
000080,2025-06-01,328525,0.47,70133611,음식료·담배,0.14999999999999997,,1.0972901778420974,0.6189516129032258,False,0.650916654605121,high
000080,2025-07-01,414802,0.59,70133611,음식료·담배,0.12,0.33999999999999997,1.1975261547377356,0.6229838709677419,False,0.6612857817120156,high
000080,2025-08-01,1164810,1.66,70133611,음식료·담배,1.0699999999999998,1.3399999999999999,1.741174216690308,0.8508064516129032,False,0.8205010771973106,very_high
000080,2025-09-01,1638253,2.34,70133611,음식료·담배,0.6799999999999999,1.8699999999999999,1.6333194976441188,0.8951612903225806,False,0.8336906032983002,very_high
000080,2025-10-01,1740432,2.48,70133611,음식료·담배,0.14000000000000012,1.8900000000000001,1.199586801285699,0.8991935483870968,False,0.7995623409673567,very_high
000080,2025-11-01,1910515,2.72,70133611,음식료·담배,0.2400000000000002,1.0600000000000003,1.0303547956467056,0.9236947791164659,False,0.7977102891954584,very_high
000080,2025-12-01,1986336,2.83,70133611,음식료·담배,0.10999999999999988,0.4900000000000002,0.8572266448058294,0.936,False,0.7894355537338191,very_high
000080,2026-01-01,2336281,3.33,70133611,음식료·담배,0.5,0.8500000000000001,1.3802031741571514,0.96,False,0.8450169311797626,very_high
000080,2026-02-01,2562268,3.65,70133611,음식료·담배,0.31999999999999984,0.9299999999999997,1.5021460046090187,0.976,False,0.8631788337174182,very_high
000080,2026-03-01,2415130,3.44,70133611,음식료·담배,-0.20999999999999996,0.6099999999999999,0.7894037239548566,0.94,False,0.7857836436629047,very_high
000080,2026-04-01,2415360,3.44,70133611,음식료·담배,0.0,0.10999999999999988,0.5500309217032677,0.94,False,0.765835910141939,very_high
000080,2026-05-01,2476710,3.53,70133611,음식료·담배,0.08999999999999986,-0.1200000000000001,0.5607997097862228,0.952,False,0.7727333091488519,very_high
000080,2026-06-01,2362900,3.37,70133611,음식료·담배,-0.1599999999999997,-0.06999999999999984,-0.7786446077317337,0.948,False,0.6591129493556889,high
000100,2025-04-01,389789,0.49,80209064,제약,,,,0.6633064516129032,False,0.6633064516129032,high
000100,2025-05-01,358522,0.45,80209064,제약,-0.03999999999999998,,,0.6088709677419355,False,0.6088709677419355,high
000100,2025-06-01,460612,0.58,79968437,제약,0.12999999999999995,,1.1013775835078685,0.6612903225806451,False,0.672426626582645,high
000100,2025-07-01,565361,0.71,79968437,제약,0.13,0.21999999999999997,1.3227571660649489,0.6774193548387096,False,0.6989394412581005,high
000100,2025-08-01,825803,1.03,79968437,제약,0.32000000000000006,0.5800000000000001,1.617394462721142,0.7439516129032258,False,0.7567586783450414,very_high
000100,2025-09-01,1271355,1.59,79968437,제약,0.56,1.0100000000000002,1.7916796569974291,0.8346774193548387,False,0.8166453477605384,very_high
000100,2025-10-01,1159549,1.45,79968437,제약,-0.14000000000000012,0.74,1.0229796883624946,0.8346774193548387,False,0.7525870170409605,very_high
000100,2025-11-01,863517,1.08,79968437,제약,-0.3699999999999999,0.050000000000000044,0.01681301643023898,0.7791164658634538,False,0.6409593176342469,high
000100,2025-12-01,934295,1.17,79968437,제약,0.08999999999999986,-0.42000000000000015,-0.005301925850180161,0.756,False,0.6275581728458184,high
000100,2026-01-01,1006700,1.26,79968437,제약,0.09000000000000008,-0.18999999999999995,-0.015267620413811835,0.766,False,0.631727698298849,high
000100,2026-02-01,391291,0.49,79647601,제약,-0.77,-0.5900000000000001,-1.7842959735459027,0.59,True,0.3963086688711748,low
000100,2026-03-01,212517,0.27,79647601,제약,-0.21999999999999997,-0.8999999999999999,-1.4666822555198653,0.426,False,0.34077647870667793,low
000100,2026-04-01,550696,0.69,79647601,제약,0.41999999999999993,-0.5700000000000001,-0.3391883396309018,0.646,False,0.5447343050307583,neutral
000100,2026-05-01,1266072,1.59,79647601,제약,0.9000000000000001,1.1,1.3370836334584257,0.8,False,0.7614236361215355,very_high
000100,2026-06-01,1569505,1.97,79647601,제약,0.3799999999999999,1.7,1.383977072261301,0.856,False,0.7933314226884418,very_high
000120,2025-04-01,7500,0.03,22812344,운송·창고,,,,0.13911290322580644,False,0.13911290322580644,very_low
000120,2025-05-01,0,0.0,22812344,운송·창고,-0.03,,,0.05040322580645161,False,0.05040322580645161,very_low
000120,2025-06-01,0,0.0,22812344,운송·창고,0.0,,-0.5773502691896257,0.03024193548387097,False,0.21700844530946667,very_low
000120,2025-07-01,4546,0.02,22812344,운송·창고,0.02,-0.009999999999999998,0.5,0.1028225806451613,False,0.3430779569892473,low
000120,2025-08-01,4546,0.02,22812344,운송·창고,0.0,0.02,0.4472135954999578,0.08669354838709678,False,0.33061457381854487,low
000120,2025-09-01,13992,0.06,22812344,운송·창고,0.039999999999999994,0.06,1.720061910336805,0.15120967741935484,False,0.4689433312377445,neutral
000120,2025-10-01,35125,0.15,22812344,운송·창고,0.09,0.13,1.8867944400979038,0.3004032258064516,False,0.5574344829113844,neutral
000120,2025-11-01,3009,0.01,22812344,운송·창고,-0.13999999999999999,-0.01,-0.5942283606769104,0.07228915662650602,False,0.23662554825684382,very_low
000120,2025-12-01,2998,0.01,22812344,운송·창고,0.0,-0.049999999999999996,-0.6400773364645232,0.062,False,0.22766022196128974,very_low
000120,2026-01-01,7635,0.03,22812344,운송·창고,0.019999999999999997,-0.12,-0.30913710426843627,0.134,False,0.291238574644297,low
000120,2026-02-01,50093,0.22,22812344,운송·창고,0.19,0.21,1.623086135160589,0.382,False,0.5762571779300492,neutral
000120,2026-03-01,16856,0.07,22812344,운송·창고,-0.15,0.060000000000000005,-0.13583657104121036,0.182,False,0.3296802857465658,low
000120,2026-04-01,49073,0.22,22812344,운송·창고,0.15,0.19,1.2599646796015542,0.384,False,0.5469970566334629,neutral
000120,2026-05-01,42278,0.19,22812344,운송·창고,-0.03,-0.03,0.6837456993599114,0.322,False,0.4679788082799926,neutral
000120,2026-06-01,30566,0.13,22812344,운송·창고,-0.06,0.06,-0.1658053344579357,0.272,False,0.37218288879517203,low
000150,2025-04-01,51536,0.31,16523835,전기·전자,,,,0.5524193548387096,False,0.5524193548387096,neutral
000150,2025-05-01,19391,0.12,16523835,전기·전자,-0.19,,,0.34475806451612906,False,0.34475806451612906,low
000150,2025-06-01,20876,0.13,16523835,전기·전자,0.010000000000000009,,-0.5299577334302673,0.31451612903225806,False,0.3630949200636068,low
000150,2025-07-01,2512,0.02,16523835,전기·전자,-0.11,-0.29,-1.0356903312489516,0.1028225806451613,False,0.21510376271850137,very_low
000150,2025-08-01,27222,0.16,16523835,전기·전자,0.14,0.04000000000000001,0.11457185172165085,0.3165322580645161,False,0.41781378334239566,neutral
000150,2025-09-01,10026,0.06,16523835,전기·전자,-0.1,-0.07,-0.7309010436036049,0.15120967741935484,False,0.264696418409377,low
000150,2025-10-01,18238,0.11,16523835,전기·전자,0.05,0.09,0.19611613513818363,0.22782258064516128,False,0.38025430158409596,low
000150,2025-11-01,39222,0.24,16193835,전기·전자,0.13,0.07999999999999999,1.5543832804525195,0.43172690763052207,False,0.595395393852971,neutral
000150,2025-12-01,45687,0.28,16193835,전기·전자,0.040000000000000036,0.22000000000000003,1.3295492698323508,0.462,False,0.5917957724860292,neutral
000150,2026-01-01,10753,0.07,16193835,전기·전자,-0.21000000000000002,-0.039999999999999994,-0.9187699949495876,0.208,False,0.277435833754201,low
000150,2026-02-01,30356,0.19,16193835,전기·전자,0.12,-0.04999999999999999,0.3443521067264016,0.358,False,0.4576960088938668,neutral
000150,2026-03-01,26161,0.16,16193835,전기·전자,-0.03,-0.12000000000000002,-0.19065400577807,0.332,False,0.4001121661851609,neutral
000150,2026-04-01,12182,0.08,16193835,전기·전자,-0.08,0.009999999999999995,-1.066602292064949,0.242,False,0.28211647566125425,low
000150,2026-05-01,17033,0.11,16193835,전기·전자,0.03,-0.08,-0.4830824208921062,0.256,False,0.3377431315923245,low
000150,2026-06-01,27977,0.17,16193835,전기·전자,0.06000000000000001,0.010000000000000009,0.7968190728895959,0.304,False,0.46840158940746635,neutral
000155,2025-04-01,1625,0.04,3996462,전기·전자,,,,0.1875,False,0.1875,very_low
000155,2025-05-01,0,0.0,3996462,전기·전자,-0.04,,,0.05040322580645161,False,0.05040322580645161,very_low
000155,2025-06-01,6633,0.17,3996462,전기·전자,0.17,,1.125087900926024,0.37298387096774194,False,0.5302492605610396,neutral
000155,2025-07-01,14375,0.36,3996462,전기·전자,0.18999999999999997,0.32,1.3413749834687363,0.5141129032258065,False,0.6188377002352979,high
000155,2025-08-01,0,0.0,3996462,전기·전자,-0.36,0.0,-0.7392629248063721,0.034274193548387094,False,0.20553185304032923,very_low
000155,2025-09-01,26985,0.68,3996462,전기·전자,0.68,0.51,1.7527336312748052,0.6693548387096774,False,0.7307385552944058,high
000155,2025-10-01,13845,0.35,3996462,전기·전자,-0.33000000000000007,-0.010000000000000009,0.3462563040060687,0.5282258064516129,False,0.5429675952263122,neutral
000155,2025-11-01,28649,0.72,3996462,전기·전자,0.37,0.72,1.2090536896604456,0.6887550200803213,False,0.6951319841785311,high
