ticker,period,close,volume_sum,foreign_net_sum,inst_net_sum,foreign_net_ratio,inst_net_ratio,foreign_ratio_pct,trading_days,foreign_net_ratio_change,inst_net_ratio_change,foreign_ratio_pct_change,foreign_net_ratio_zscore_own_6m,foreign_net_ratio_percentile_cross,flow_score,flow_bucket,flow_direction
000080,2025-06-01,20600.0,1861746.0,-59547.0,-122618.0,-0.031984491976886215,-0.06586183077605645,9.27,11.0,,,,,0.29691211401425177,0.29691211401425177,strong_outflow,net_selling
000080,2025-07-01,20250.0,4796449.0,37793.0,122877.0,0.007879370759493116,0.02561832722499499,9.39,23.0,0.03986386273637933,0.09148015800105144,0.120000000000001,,0.5558194774346793,0.627569395558288,inflow,net_buying
000080,2025-08-01,19100.0,2955016.0,-936613.0,-391824.0,-0.31695699786397097,-0.13259623636555606,8.04,20.0,-0.3248363686234641,-0.15821456359055106,-1.3500000000000014,-1.1473692473906296,0.004728132387706856,0.1044999748297562,strong_outflow,net_selling
000080,2025-09-01,19050.0,2724056.0,-513358.0,-423927.0,-0.18845354133688882,-0.1556234526749817,7.37,22.0,0.12850345652708214,-0.02302721630942564,-0.669999999999999,-0.3753215787831127,0.018912529550827423,0.4854529776956584,neutral,net_selling
000080,2025-10-01,18830.0,2817077.0,-329809.0,-396613.0,-0.117074897136287,-0.14078883892772545,6.97,18.0,0.07137864420060182,0.014834613747256253,-0.40000000000000036,0.09449204127520063,0.04491725768321513,0.47251971741069704,neutral,net_selling
000080,2025-11-01,18810.0,2728687.0,-174412.0,33527.0,-0.06391792096345239,0.012286861776378163,7.09,20.0,0.053156976172834616,0.15307570070410362,0.1200000000000001,0.45827085293785197,0.15258215962441316,0.4982485053260761,neutral,net_selling
000080,2025-12-01,18440.0,3423628.0,-301841.0,-25955.0,-0.08816407623725475,-0.007581139072352487,6.24,21.0,-0.02424615527380236,-0.01986800084873065,-0.8499999999999996,0.35117312475440077,0.12093023255813953,0.3527427701049537,outflow,net_selling
000080,2026-01-01,17600.0,4049593.0,-338597.0,-428894.0,-0.08361260008104518,-0.10591039642749284,6.3,21.0,0.004551476156209572,-0.09832925735514035,0.05999999999999961,0.620908588678359,0.06526806526806526,0.3971700702762799,outflow,net_selling
000080,2026-02-01,17770.0,3870254.0,-122309.0,57281.0,-0.03160231860751258,0.014800320599113133,6.23,17.0,0.0520102814735326,0.12071071702660596,-0.0699999999999994,1.190894134979997,0.2255813953488372,0.5613717195154999,inflow,net_selling
000080,2026-03-01,16720.0,4256248.0,-140007.0,-31889.0,-0.03289446479622428,-0.00749227958521214,6.01,21.0,-0.0012921461887117,-0.022292600184325273,-0.22000000000000064,1.0933473687097537,0.29466357308584684,0.490142467864638,neutral,net_selling
000080,2026-04-01,17110.0,2468587.0,-99784.0,-7926.0,-0.04042150428565005,-0.003210743635934241,5.8,22.0,-0.00752703948942577,0.004281535949277899,-0.20999999999999996,0.643382235052943,0.22505800464037123,0.4315510599006888,outflow,net_selling
000080,2026-05-01,16020.0,3522859.0,-37699.0,-104583.0,-0.010701251455139135,-0.029686967318305956,5.68,18.0,0.029720252830510913,-0.026476223682371715,-0.1200000000000001,1.1971966049631582,0.36574074074074076,0.5712915907957185,inflow,net_selling
000080,2026-06-01,15700.0,1142837.0,229677.0,-1309.0,0.2009709171124141,-0.0011453951875901812,6.14,5.0,0.21167216856755325,0.028541572130715776,0.45999999999999996,1.9829794076494165,0.9537037037037037,0.928066757215091,strong_inflow,net_buying
000100,2025-06-01,104200.0,4090049.0,-252081.0,-122336.0,-0.061632757944953716,-0.029910644102307822,17.65,11.0,,,,,0.17339667458432304,0.17339667458432304,strong_outflow,net_selling
000100,2025-07-01,118100.0,16986184.0,-271169.0,205073.0,-0.015964091758337247,0.012072929387789512,17.19,23.0,0.04566866618661647,0.041983573490097334,-0.4599999999999973,,0.3657957244655582,0.5470695276993203,neutral,net_selling
000100,2025-08-01,113500.0,5525073.0,-593658.0,16339.0,-0.10744799208987826,0.002957245994758802,16.73,20.0,-0.09148390033154102,-0.00911568339303071,-0.46000000000000085,-1.0005336111439846,0.09219858156028368,0.1560078260150826,strong_outflow,net_selling
000100,2025-09-01,119100.0,7352680.0,-451373.0,479587.0,-0.06138890853403113,0.06522614883280654,16.23,22.0,0.04605908355584713,0.06226890283804774,-0.5,0.005877862555417338,0.2198581560283688,0.4837110725222802,neutral,net_selling
000100,2025-10-01,118000.0,6503066.0,191256.0,-290226.0,0.029410127469104572,-0.04462910264173853,16.7,18.0,0.0907990360031357,-0.10985525147454507,0.46999999999999886,1.4005301608917582,0.6099290780141844,0.7657819838372742,strong_inflow,net_buying
000100,2025-11-01,122000.0,11231718.0,582765.0,281455.0,0.05188565097521145,0.025058944677920154,17.57,20.0,0.02247552350610688,0.06968804731965868,0.870000000000001,1.3097567332685331,0.7676056338028169,0.6994253467371467,inflow,net_buying
000100,2025-12-01,112400.0,6196409.0,-112079.0,-565176.0,-0.018087734363564444,-0.0912102477418776,16.64,21.0,-0.0699733853387759,-0.11626919241979775,-0.9299999999999997,0.03736072844069627,0.42093023255813955,0.3590966979792365,outflow,net_selling
000100,2026-01-01,108000.0,9325878.0,269164.0,-934071.0,0.028862054596896936,-0.1001590413256532,17.19,21.0,0.04694978896046138,-0.008948793583775608,0.5500000000000007,0.6748929376875773,0.5757575757575758,0.6409962256137153,inflow,net_buying
000100,2026-02-01,110200.0,6456098.0,1101002.0,-217514.0,0.17053675455360187,-0.03369124818117693,18.23,17.0,0.14167469995670492,0.06646779314447628,1.0399999999999991,1.744965559373474,0.9790697674418605,0.9232991202235908,strong_inflow,net_buying
000100,2026-03-01,94800.0,6084660.0,538587.0,-494068.0,0.08851554565086628,-0.08119894948937163,19.16,21.0,-0.08202120890273559,-0.047507701308194705,0.9299999999999997,0.46187693391096385,0.9327146171693735,0.533196020546952,neutral,net_buying
000100,2026-04-01,91600.0,4158121.0,-556643.0,-162962.0,-0.1338688797175455,-0.039191259706006634,18.59,22.0,-0.22238442536841177,0.042007689783365,-0.5700000000000003,-1.6072139625593573,0.048723897911832945,0.09361830138398002,strong_outflow,net_selling
000100,2026-05-01,85000.0,6608438.0,-253382.0,-244932.0,-0.03834219220941469,-0.037063523937124025,18.51,18.0,0.0955266875081308,0.002127735768882609,-0.0799999999999983,-0.516579602265311,0.23842592592592593,0.543320921029676,neutral,net_selling
000100,2026-06-01,72400.0,1698213.0,-42173.0,-59928.0,-0.024833751714302035,-0.0352888595246886,18.35,5.0,0.013508440495112656,0.0017746644124354283,-0.16000000000000014,-0.37648003989370504,0.3263888888888889,0.44372813934961153,outflow,net_selling
000120,2025-06-01,87400.0,841052.0,-3281.0,-11456.0,-0.003901066759249131,-0.013621036511416655,13.58,11.0,,,,,0.49643705463182897,0.49643705463182897,neutral,flat
000120,2025-07-01,89000.0,1454863.0,169432.0,-97431.0,0.11645907552807377,-0.06696919228820858,14.29,23.0,0.1203601422873229,-0.053348155776791924,0.7099999999999991,,0.9263657957244655,0.9631828978622328,strong_inflow,net_buying
000120,2025-08-01,83500.0,1196124.0,-60165.0,-243528.0,-0.05029996889954553,-0.20359762031361298,14.05,20.0,-0.1667590444276193,-0.1366284280254044,-0.23999999999999844,-0.8255241487873927,0.22458628841607564,0.19566631009494784,strong_outflow,net_selling
000120,2025-09-01,84200.0,1103247.0,-75861.0,-40805.0,-0.06876157379081928,-0.036986277778230985,13.84,22.0,-0.01846160489127375,0.16661134253538198,-0.21000000000000085,-0.8057778208049112,0.20094562647754138,0.32478043285122915,outflow,net_selling
