date,kospi,semi_mktcap,kospi_mktcap,semi_weight,kospi_ret,semi_ret,ex_semi_ret,kospi_ex_semi
2010-01-04,1696.14,145294501847100,894731590862430,,,,,
2010-01-05,1690.62,146949831723350,891901043372630,0.1623889257191097,-0.00325444833563282,0.011392928536222058,-0.006094157441515296,99.39058425584847
2010-01-06,1705.32,150638752815550,899645119495585,0.1647602419744624,0.008695034957589609,0.02510326857090118,0.0054583301497468,99.93309087849312
2010-01-07,1683.45,146220424752400,888111373913575,0.16744241651642647,-0.01282457251424951,-0.029330620312291326,-0.00950490720188101,98.98323612329591
2010-01-08,1695.26,147477728807650,894080129850645,0.1646419909116367,0.007015355371409848,0.008598689665818213,0.006703293587511288,99.6467498152723
2010-01-11,1694.12,143193944823000,893092753411900,0.16494911796360576,-0.0006724632209809123,-0.029046989123606475,0.004932408435294502,100.13824828461082
2010-01-12,1698.64,145196519638050,895743625395625,0.1603349084134356,0.0026680518499280215,0.01398505235347307,0.0005070590238214299,100.1890242870332
2010-01-13,1671.41,143177759897050,881413531578735,0.16209606802830526,-0.01603047143597236,-0.013903637263705932,-0.01644191652355105,98.54172471312977
2010-01-14,1685.77,148673449611800,889078614324645,0.1624410730801904,0.008591548453102504,0.03838368276401025,0.0028134878160909205,98.81897065498673
2010-01-15,1701.8,151266205955400,897220215566915,0.16722193877617242,0.009509007753133458,0.017439269421473107,0.007916610218989368,99.60128192790401
2010-01-18,1711.78,151318410630600,902436363611760,0.16859429082281807,0.0058643788929368945,0.0003451178990724465,0.0069835868594632765,100.29685613156141
2010-01-19,1710.22,148218365184400,901867203462795,0.16767765211165533,-0.0009113320636997546,-0.02048690197895262,0.0030323150226301745,100.60098779513172
2010-01-20,1714.38,149994730926600,904201206279080,0.16434610840188346,0.0024324355930815944,0.011984788389684333,0.000553796572803445,100.65670027739331
2010-01-21,1722.01,152835686783550,908475207162410,0.1658864530206172,0.0044505885509629195,0.0189403710343681,0.0015688962083354144,100.81462019280205
2010-01-22,1684.35,149013315329900,888759752103875,0.16823319511484175,-0.02186979169691239,-0.025009678917878288,-0.021234717952227075,98.673850167547
2010-01-25,1670.2,151533588832450,881526817712370,0.16766433783388052,-0.008400866803217832,0.016913075834668632,-0.01350006610858052,97.34174666709696
2010-01-26,1637.34,145837883667400,864178394648435,0.1718990117914862,-0.019674290504131275,-0.037587080256824876,-0.01595591448386096,95.7885700815671
2010-01-27,1625.48,143125184498250,857724537638840,0.168759002273749,-0.0072434558491211165,-0.01860078534420193,-0.004937684599475341,95.31559633426959
2010-01-28,1642.43,144509953757400,867754348847000,0.16686614200434052,0.01042768905184932,0.009675231259994872,0.010578396801321808,96.3238825336481
2010-01-29,1602.43,140611076364750,848135731614190,0.16653325212303785,-0.024354158168080176,-0.026979991974776688,-0.023829495793153202,94.02853298003237
2010-02-01,1606.44,139535195587300,849915099147460,0.16578841230652552,0.002502449404966134,-0.0076514653416003,0.004520404357118657,94.45357997020879
2010-02-02,1595.81,138378403154000,844598368223690,0.16417545202722736,-0.006617116107666687,-0.008290327242751094,-0.006288458382662395,93.85961256347267
2010-02-03,1615.02,138747802135900,854639238312685,0.1638392973041487,0.012037773920454242,0.002669484352185373,0.01387341864144906,95.16176626208993
2010-02-04,1616.42,138774527043750,855340684064365,0.1623466322583432,0.0008668623298784262,0.00019261499957902502,0.0009975390364956268,95.25669383871823
2010-02-05,1567.12,134268393759300,829280667777350,0.16224474017104876,-0.030499498892614607,-0.03247089635570797,-0.030117706160882007,92.38778072382661
2010-02-08,1552.79,134346661279700,821989534936570,0.16190947043196857,-0.009144162540201117,0.0005829184233804484,-0.011023322931709314,91.36936038196393
2010-02-09,1570.49,136718983116150,831079859283935,0.16344084148232746,0.01139883693223176,0.0176582120750362,0.010175925760825454,92.29912821002489
2010-02-10,1570.12,135841836871200,830862387701630,0.1645076361662141,-0.00023559526007810305,-0.006415687309529013,0.0009812588709155361,92.38969754835875
2010-02-11,1597.81,136840567916950,845555099266050,0.16349498891985229,0.017635594731612914,0.007352160930339557,0.019645492906910436,94.20473869621664
2010-02-12,1593.66,134742127534600,843764303118920,0.16183518736476066,-0.002597305061302624,-0.01533492891978907,-0.00013788930840451453,94.1917488699494
2010-02-16,1601.05,135426190905300,847620423142710,0.15969166630602227,0.004637124606252208,0.005076833676419002,0.004553562571592703,94.62065689215645
2010-02-17,1627.43,139524556649350,861416894981665,0.15977221313660928,0.01647668717404205,0.030262726261834263,0.013855224268528213,95.93164731383273
2010-02-18,1621.19,138703259350150,858098194379300,0.16197100087329927,-0.0038342662971679875,-0.005886399634037636,-0.0034376379097916373,95.60186904627793
2010-02-19,1593.9,135937354099400,843829205875850,0.16164031139872068,-0.016833313800356464,-0.01994116983053445,-0.016234102240770994,94.04985852977185
2010-02-22,1627.1,138454327530150,861245976680315,0.16109581554279603,0.020829412133759773,0.018515686489745425,0.021273719751328687,96.05064886278633
2010-02-23,1628.9,137579945711150,861915057580355,0.16076049268041193,0.001106262675926617,-0.006315308698527978,0.0025279015051456327,96.29345544261678
2010-02-24,1612.83,134945272830700,853431583129230,0.1596212347158393,-0.009865553440972508,-0.019150122983632466,-0.008102045704430237,95.51328146558318
2010-02-25,1587.51,132019650274200,840016820944860,0.15812078612781552,-0.015699112739718357,-0.02168006700146095,-0.014575776785963801,94.1211011948459
2010-02-26,1594.58,133104948091500,844069183739085,0.15716310314560472,0.004453515253447282,0.008220729376618422,0.0037510459334386117,94.47415376873359
2010-03-02,1615.12,137474080813950,855012036989045,0.1576943580641902,0.012881134844284992,0.03282472053140004,0.009147346554324266,95.33834159368273
2010-03-03,1622.44,137777328788850,858805024970895,0.16078613500936176,0.004532170984199446,0.002205855628235891,0.004977872932775428,95.81292374375762
2010-03-04,1618.2,136430800852700,856481257118785,0.16042911345741054,-0.0026133477971450603,-0.009773218482219303,-0.001245206375273716,95.69361688027827
2010-03-05,1634.57,138749807789500,865070687935150,0.15929222002085036,0.010116178469904868,0.01699767884015989,0.008812313444319627,96.53689902684792
2010-03-08,1660.04,140350151165350,878360420496575,0.1603912948671096,0.015582079690683148,0.011534022290523877,0.016355384164706156,98.11579709650147
2010-03-09,1660.83,139986818843850,878668348485910,0.15978651575170477,0.00047589214717724815,-0.00258875618218572,0.0010587076907665025,98.21967304547321
2010-03-10,1662.24,140173485307550,879444363919735,0.15931701544168547,0.0008489731038094916,0.0013334574300757729,0.0007571589499527049,98.29404094998101
2010-03-11,1656.62,139597820880150,876471639089575,0.1593886902439042,-0.003380979882568136,-0.004106799699935818,-0.0032433568590605516,97.97523829806111
2010-03-12,1662.74,139725287569250,879619925582060,0.15927249057956475,0.0036942690538566136,0.0009130994187182514,0.0042211506053097215,98.38880653450836
2010-03-15,1649.5,138513877354500,872861194074000,0.15884734247782226,-0.007962760263180102,-0.008669942540999304,-0.007829212536171902,97.61849965696939
2010-03-16,1648.01,138199446032600,872207404314155,0.15868946665849482,-0.0009033040315247209,-0.002270034800161388,-0.0006455088796213167,97.55548604862551
2010-03-17,1682.86,143658640522150,898281849563910,0.1584479165724014,0.021146716342740568,0.03950228923683408,0.017690718383925958,99.28131267911876
2010-03-18,1675.17,143416241795950,894337232249575,0.15992601942462953,-0.004569601749402685,-0.0016873243775589214,-0.00511830478939084,98.77316066093621
2010-03-19,1686.11,144751703068350,900179889192665,0.16036036142116922,0.006530680468250782,0.009311785441289551,0.005999525222434173,99.36575272962102
2010-03-22,1672.67,144356353496700,892991672430640,0.1608030848124945,-0.007971010195064299,-0.002731225700766473,-0.008975033798091375,98.47394174049988
2010-03-23,1681.82,145841998201950,897943271361455,0.16165475888904482,0.005470295993830199,0.010291508958654622,0.004540640785972605,98.9210765367223
2010-03-24,1681.01,147599408154200,897679346779625,0.16241783067300614,-0.0004816211009501803,0.012050095129775219,-0.0029116801916774407,98.63304999763092
2010-03-25,1688.39,147628891358250,901685866017510,0.16442330848281708,0.004390217785736006,0.00019975150590846689,0.005214810353731013,99.14740264797864
2010-03-26,1697.72,147860874626200,906670913184620,0.16372541360805046,0.005525974449031246,0.001571394771143059,0.006300200049024281,99.77205111900204
2010-03-29,1691.99,148093207943900,903702256309440,0.16308108319792539,-0.0033751148599298064,0.001571296790224917,-0.004338967096574662,99.33914347203894
2010-03-30,1700.19,148004343479400,908044975447670,0.16387389420569384,0.004846364340214793,-0.0006000576645869355,0.005913818612039682,99.92661714760797
2010-03-31,1692.85,148519354804300,903948739605745,0.16299230487612493,-0.004317164552197217,0.00347970412754592,-0.005835465524017701,99.34349881831139
2010-04-01,1719.17,153805239205700,918784010137155,0.1643006381856081,0.015547744927193907,0.03559054244724573,0.011607279522960633,100.49660657788444
2010-04-02,1723.49,155598548309350,921271107686840,0.1674008662631603,0.0025128404986125563,0.011659609990603859,0.0006738076742609143,100.56432196263381
