ticker,period,PER,PBR,EPS,BPS,DIV,DPS,sector,per_percentile_sector,pbr_percentile_sector,per_zscore_own_24m,per_rerating_momentum_3m,pbr_zscore_own_24m,pbr_rerating_momentum_3m,valuation_score,valuation_bucket,rerating_momentum_score,rerating_direction
000080,2023-06-01,17.28,1.3,1250,16632,4.4,950,음식료·담배,0.9,0.8,,,,,0.14999999999999997,expensive,,N/A
000080,2023-07-01,16.24,1.22,1250,16632,4.68,950,음식료·담배,0.9,0.8,,,,,0.14999999999999997,expensive,,N/A
000080,2023-08-01,15.53,1.17,1250,16632,4.89,950,음식료·담배,0.7,0.8,,,,,0.25,expensive,,N/A
000080,2023-09-01,15.11,1.14,1250,16632,5.03,950,음식료·담배,0.7,0.7,,-0.1255787037037038,,-0.12307692307692318,0.30000000000000004,rich,-0.12432781339031349,de_rating_down
000080,2023-10-01,17.0,1.28,1250,16632,4.47,950,음식료·담배,0.7,0.8,,0.04679802955665035,,0.04918032786885251,0.25,expensive,0.04798917871275143,flat
000080,2023-11-01,17.68,1.33,1250,16632,4.3,950,음식료·담배,0.7,0.8,,0.13844172569220867,,0.13675213675213688,0.25,expensive,0.13759693122217276,re_rating_up
000080,2023-12-01,18.0,1.35,1250,16632,4.22,950,음식료·담배,0.7,0.8,,0.19126406353408343,,0.18421052631578966,0.25,expensive,0.18773729492493654,re_rating_up
000080,2024-01-01,16.8,1.26,1250,16632,4.52,950,음식료·담배,0.7,0.8,,-0.0117647058823529,,-0.015625000000000014,0.25,expensive,-0.013694852941176457,flat
000080,2024-02-01,15.98,1.2,1250,16632,4.76,950,음식료·담배,0.7,0.8,,-0.09615384615384612,,-0.09774436090225572,0.25,expensive,-0.09694910352805092,de_rating_down
000080,2024-03-01,16.32,1.23,1250,16632,4.66,950,음식료·담배,0.7,0.8,,-0.09333333333333332,,-0.08888888888888896,0.25,expensive,-0.09111111111111114,de_rating_down
000080,2024-04-01,16.84,1.27,1250,16632,4.51,950,음식료·담배,0.7,0.8,,0.00238095238095233,,0.007936507936507943,0.25,expensive,0.005158730158730137,flat
000080,2024-05-01,39.26,1.28,512,15694,4.73,950,음식료·담배,1.0,0.9,3.1493982250797874,1.4568210262828534,0.43768243996059153,0.06666666666666674,-0.26147353666338263,expensive,0.76174384647476,re_rating_up
000080,2024-06-01,41.5,1.35,512,15694,4.47,950,음식료·담배,1.0,0.9,2.3659786228769777,1.542892156862745,1.3645764784420258,0.09756097560975618,-0.2858795917765836,expensive,0.8202265662362506,re_rating_up
000080,2024-07-01,40.63,1.33,512,15694,4.57,950,음식료·담배,1.0,0.9,1.854466380646667,1.4127078384798102,0.9837893116372156,0.04724409448818902,-0.21152130769032357,expensive,0.7299759664839996,re_rating_up
000080,2024-08-01,40.43,1.32,512,15694,4.59,950,음식료·담배,1.0,0.8,1.5948463866944407,0.029801324503311303,0.7869325934252837,0.03125000000000003,-0.14848158167664371,expensive,0.030525662251655664,flat
000080,2024-09-01,39.75,1.3,512,15694,4.67,950,음식료·담배,1.0,0.7,1.382580234358337,-0.04216867469879518,0.46256018839185753,-0.03703703703703707,-0.07876170189584954,expensive,-0.03960285586791612,flat
000080,2024-10-01,41.41,1.35,512,15694,4.48,950,음식료·담배,1.0,0.75,1.3875447490744182,0.019197637213881222,1.159454784034342,0.015037593984962419,-0.1497499610923967,expensive,0.01711761559942182,flat
000080,2024-11-01,40.82,1.33,512,15694,4.55,950,음식료·담배,1.0,0.7,1.2383483065079695,0.009646302250803873,0.8095152139822165,0.007575757575757582,-0.09565529337418215,expensive,0.008611029913280728,flat
000080,2024-12-01,38.13,1.24,512,15694,4.87,950,음식료·담배,0.9,0.7,0.9620090343264295,-0.04075471698113201,-0.5796954953076296,-0.04615384615384619,0.06814053841510002,expensive,-0.0434542815674891,flat
000080,2025-01-01,37.23,1.21,512,15694,4.98,950,음식료·담배,0.9,0.7,0.8484477141996408,-0.1009418014972229,-1.0039417102093127,-0.10370370370370378,0.11295783300080599,expensive,-0.10232275260046333,de_rating_down
000080,2025-02-01,37.01,1.21,512,15694,5.01,950,음식료·담배,0.9,0.75,0.7973862697451928,-0.09333659970602651,-0.9570948408340447,-0.09022556390977451,0.10080904759073765,expensive,-0.09178108180790051,de_rating_down
000080,2025-03-01,37.56,1.23,512,15694,4.94,950,음식료·담배,0.9,0.7,0.8116971022840778,-0.014948859166011021,-0.6181246629056761,-0.008064516129032265,0.0838689633851332,expensive,-0.011506687647521642,flat
000080,2025-04-01,37.75,1.23,512,15694,4.91,950,음식료·담배,0.9,0.7,0.7981466423239589,0.013967230727907686,-0.5999652163830518,0.016528925619834725,0.08348488117159107,expensive,0.015248078173871206,flat
000080,2025-05-01,14.66,1.25,1378,16148,3.47,700,음식료·담배,0.6,0.7,-1.125082774860981,-0.6038908403134288,-0.2655240533218539,0.03305785123966945,0.2908839023485696,expensive,-0.2854164945368797,de_rating_down
000080,2025-06-01,14.95,1.28,1378,16148,3.4,700,음식료·담배,0.7,0.8,-1.0828451558670558,-0.6019701810436635,0.2530751463557242,0.040650406504065074,0.19414750079261095,expensive,-0.28065988726979924,de_rating_down
000080,2025-07-01,14.7,1.25,1378,16148,3.46,700,음식료·담배,0.7,0.7,-1.0921564591932198,-0.6105960264900663,-0.2773363773512447,0.016260162601626032,0.26412440304537205,expensive,-0.29716793194422014,de_rating_down
000080,2025-08-01,13.86,1.18,1378,16148,3.66,700,음식료·담배,0.6,0.7,-1.1492214414562372,-0.05457025920873129,-1.4965628535186324,-0.05600000000000005,0.39548202458123916,rich,-0.05528512960436567,de_rating_down
000080,2025-09-01,13.82,1.18,1378,16148,3.67,700,음식료·담배,0.6,0.75,-1.142231541903125,-0.07558528428093639,-1.6182201676609524,-0.07812500000000007,0.3925376424636732,rich,-0.07685514214046824,de_rating_down
000080,2025-10-01,13.66,1.17,1378,16148,3.72,700,음식료·담배,0.6,0.8,-1.1302727024441828,-0.07074829931972784,-1.6143931085033931,-0.06400000000000006,0.378722150912298,rich,-0.06737414965986395,de_rating_down
000080,2025-11-01,13.65,1.16,1378,16148,3.72,700,음식료·담배,0.6,0.7,-1.1022470282949326,-0.015151515151515086,-1.6117600984933689,-0.0169491525423729,0.4011672605656918,rich,-0.016050333846943994,flat
000080,2025-12-01,13.38,1.14,1378,16148,3.8,700,음식료·담배,0.6,0.7,-1.0921469419965073,-0.031837916063675795,-1.7669299894870476,-0.0338983050847458,0.4132564109569629,rich,-0.032868110574210796,flat
000080,2026-01-01,12.77,1.09,1378,16148,3.98,700,음식료·담배,0.5,0.7,-1.112353670450562,-0.06515373352855056,-2.187185761006943,-0.06837606837606826,0.4749616192881254,neutral,-0.06676490095230941,de_rating_down
000080,2026-02-01,12.9,1.1,1378,16148,3.94,700,음식료·담배,0.4,0.7,-1.0809943309756762,-0.054945054945054944,-1.8382171051055245,-0.05172413793103434,0.46826761967343333,neutral,-0.05333459643804464,de_rating_down
000080,2026-03-01,12.13,1.04,1378,16148,4.19,700,음식료·담배,0.5,0.7,-1.1121224248014847,-0.09342301943198804,-2.2334779237656623,-0.08771929824561392,0.47880002904726227,neutral,-0.09057115883880099,de_rating_down
000080,2026-04-01,12.42,1.06,1378,16148,4.09,700,음식료·담배,0.4,0.7,-1.0615162323365712,-0.027407987470634273,-1.764100547009077,-0.027522935779816536,0.4604680649454707,neutral,-0.027465461625225403,flat
000080,2026-05-01,26.88,1.0,596,16066,4.37,700,음식료·담배,1.0,0.7,0.07458316273561151,1.083720930232558,-2.0800199983851098,-0.09090909090909098,0.24211973630412487,expensive,0.4964059196617336,re_rating_up
000080,2026-06-01,27.03,1.0,596,16066,4.35,700,음식료·담배,1.0,0.7,0.13743406024714871,1.2283594394064303,-1.8622529074885434,-0.03846153846153849,0.2187349039367829,expensive,0.5949489504724459,re_rating_up
000100,2023-06-01,45.45,2.17,1329,27877,0.66,400,제약,0.5833333333333334,0.3793103448275862,,,,,0.5186781609195402,neutral,,N/A
000100,2023-07-01,54.93,2.62,1329,27877,0.55,400,제약,0.6666666666666666,0.41379310344827586,,,,,0.4597701149425288,neutral,,N/A
000100,2023-08-01,54.78,2.61,1329,27877,0.55,400,제약,0.6666666666666666,0.3793103448275862,,,,,0.4770114942528736,neutral,,N/A
000100,2023-09-01,57.04,2.72,1329,27877,0.53,400,제약,0.6666666666666666,0.3793103448275862,,0.2550055005500549,,0.2534562211981568,0.4770114942528736,neutral,0.25423086087410585,re_rating_up
