rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260608,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(약식),20260608000030,insider
20260424,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20260424000464,insider
20260316,한국타이어앤테크놀로지,161390,[기재정정]주식등의대량보유상황보고서(일반),20260316000008,insider
20260220,한국타이어앤테크놀로지,161390,현금ㆍ현물배당결정              ,20260220800561,dividend
20260220,한국타이어앤테크놀로지,161390,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20260220800555,dividend
20260213,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20260213000513,insider
20260213,한국타이어앤테크놀로지,161390,최대주주등소유주식변동신고서              ,20260213800211,insider
20260114,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20260114000289,insider
20251224,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20251224000205,insider
20251215,한국타이어앤테크놀로지,161390,기타경영사항(자율공시)              (배당기준일 변경 안내),20251215800187,dividend
20251201,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20251201000134,insider
20251121,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20251121000398,insider
20251120,한국타이어앤테크놀로지,161390,최대주주등소유주식변동신고서              ,20251120800102,insider
20251120,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20251120000036,insider
20251117,한국타이어앤테크놀로지,161390,최대주주등소유주식변동신고서              ,20251117800116,insider
20251117,한국타이어앤테크놀로지,161390,[기재정정]주식등의대량보유상황보고서(일반),20251117000035,insider
20251112,한국타이어앤테크놀로지,161390,최대주주등소유주식변동신고서              ,20251112800252,insider
20251103,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(약식),20251103000024,insider
20250909,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20250909000031,insider
20250902,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20250902000013,insider
20250820,한국타이어앤테크놀로지,161390,현금ㆍ현물배당결정              ,20250820800383,dividend
20250820,한국타이어앤테크놀로지,161390,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250820800378,dividend
20250801,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(약식),20250801000216,insider
20250618,한국타이어앤테크놀로지,161390,주식등의대량보유상황보고서(일반),20250618000273,insider
