rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260504,리노공업,058470,주식등의대량보유상황보고서(약식),20260504000365,insider
20260424,리노공업,058470,임원ㆍ주요주주특정증권등거래계획보고서,20260424000538,insider
20260401,리노공업,058470,주식등의대량보유상황보고서(약식),20260401004385,insider
20260326,리노공업,058470,[기재정정]현금ㆍ현물배당결정              ,20260326900778,dividend
20260303,리노공업,058470,주식등의대량보유상황보고서(약식),20260303002632,insider
20260209,리노공업,058470,주식등의대량보유상황보고서(약식),20260209000502,insider
20260113,리노공업,058470,주식등의대량보유상황보고서(약식),20260113000476,insider
20260107,리노공업,058470,주식등의대량보유상황보고서(약식),20260107000622,insider
20251106,리노공업,058470,주식등의대량보유상황보고서(약식),20251106000278,insider
20251010,리노공업,058470,주식등의대량보유상황보고서(약식),20251010000049,insider
20250910,리노공업,058470,주식등의대량보유상황보고서(약식),20250910000141,insider
20250722,리노공업,058470,주식등의대량보유상황보고서(약식),20250722000042,insider
20250703,리노공업,058470,주식등의대량보유상황보고서(약식),20250703000012,insider
