rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260407,이녹스첨단소재,272290,[기재정정]현금ㆍ현물배당결정              ,20260407900667,dividend
20260403,이녹스첨단소재,272290,주식등의대량보유상황보고서(일반),20260403003289,insider
20260325,이녹스첨단소재,272290,배당락              ,20260325901184,dividend
20260318,이녹스첨단소재,272290,임원ㆍ주요주주특정증권등소유상황보고서,20260318000837,insider
20260224,이녹스첨단소재,272290,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20260224900152,dividend
20260212,이녹스첨단소재,272290,임원ㆍ주요주주특정증권등소유상황보고서,20260212001684,insider
20260212,이녹스첨단소재,272290,임원ㆍ주요주주특정증권등소유상황보고서,20260212001672,insider
20260203,이녹스첨단소재,272290,주식등의대량보유상황보고서(일반),20260203000028,insider
20260203,이녹스첨단소재,272290,임원ㆍ주요주주특정증권등소유상황보고서,20260203000025,insider
20260123,이녹스첨단소재,272290,주식등의대량보유상황보고서(약식),20260123000535,insider
20260102,이녹스첨단소재,272290,주식등의대량보유상황보고서(약식),20260102000365,insider
20251219,이녹스첨단소재,272290,자기주식처분결과보고서,20251219000478,buyback
20251212,이녹스첨단소재,272290,기타경영사항(자율공시)              (배당기준일 변경 안내),20251212900933,dividend
20251211,이녹스첨단소재,272290,주요사항보고서(자기주식처분결정),20251211000345,buyback
20251015,이녹스첨단소재,272290,주식등의대량보유상황보고서(일반),20251015000230,insider
20250822,이녹스첨단소재,272290,주식등의대량보유상황보고서(일반),20250822000233,insider
20250702,이녹스첨단소재,272290,주식등의대량보유상황보고서(약식),20250702000094,insider
