rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260401,에스케이바이오팜,326030,주식등의대량보유상황보고서(약식),20260401003967,insider
20260331,에스케이바이오팜,326030,최대주주등소유주식변동신고서              ,20260331802858,insider
20260331,에스케이바이오팜,326030,주식등의대량보유상황보고서(일반),20260331003595,insider
20260331,에스케이바이오팜,326030,임원ㆍ주요주주특정증권등소유상황보고서,20260331003378,insider
20260226,에스케이바이오팜,326030,임원ㆍ주요주주특정증권등거래계획보고서,20260226006746,insider
20260226,에스케이바이오팜,326030,주식등의대량보유상황보고서(일반),20260226006568,insider
20251104,에스케이바이오팜,326030,최대주주등소유주식변동신고서              ,20251104800358,insider
20251001,에스케이바이오팜,326030,주식등의대량보유상황보고서(약식),20251001000642,insider
