rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260401,서울보증보험,031210,최대주주등소유주식변동신고서              ,20260401801238,insider
20260401,서울보증보험,031210,임원ㆍ주요주주특정증권등소유상황보고서,20260401004285,insider
20260401,서울보증보험,031210,주식등의대량보유상황보고서(일반),20260401004131,insider
20260331,서울보증보험,031210,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),20260331803499,dividend
20260212,서울보증보험,031210,현금ㆍ현물배당결정              ,20260212800679,dividend
20260212,서울보증보험,031210,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20260212800665,dividend
20260130,서울보증보험,031210,임원ㆍ주요주주특정증권등소유상황보고서,20260130000518,insider
20260130,서울보증보험,031210,임원ㆍ주요주주특정증권등소유상황보고서,20260130000507,insider
20260128,서울보증보험,031210,최대주주등소유주식변동신고서              ,20260128800384,insider
20251216,서울보증보험,031210,기타경영사항(자율공시)              (배당기준일 변경 안내),20251216800251,dividend
20251001,서울보증보험,031210,주식등의대량보유상황보고서(약식),20251001000233,insider
