rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260521,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20260521000376,insider
20260515,티엘비,356860,임원ㆍ주요주주특정증권등거래계획보고서,20260515002725,insider
20260324,티엘비,356860,주식등의대량보유상황보고서(약식),20260324000586,insider
20260224,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20260224003395,insider
20260224,티엘비,356860,현금ㆍ현물배당결정              ,20260224900408,dividend
20260210,티엘비,356860,주식등의대량보유상황보고서(약식),20260210000691,insider
20260206,티엘비,356860,주식등의대량보유상황보고서(약식),20260206002036,insider
20260107,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20260107000590,insider
20260107,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20260107000568,insider
20260107,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20260107000559,insider
20251222,티엘비,356860,주식등의대량보유상황보고서(약식),20251222000324,insider
20251121,티엘비,356860,주식등의대량보유상황보고서(약식),20251121000412,insider
20251107,티엘비,356860,주식등의대량보유상황보고서(약식),20251107000267,insider
20251030,티엘비,356860,주식등의대량보유상황보고서(일반),20251030000512,insider
20251013,티엘비,356860,현금ㆍ현물배당결정              (중간배당),20251013900332,dividend
20251013,티엘비,356860,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,20251013900282,dividend
20250929,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20250929000305,insider
20250925,티엘비,356860,주식등의대량보유상황보고서(약식),20250925000527,insider
20250919,티엘비,356860,임원ㆍ주요주주특정증권등소유상황보고서,20250919000446,insider
20250916,티엘비,356860,주식등의대량보유상황보고서(약식),20250916000098,insider
20250801,티엘비,356860,주식등의대량보유상황보고서(약식),20250801001073,insider
20250709,티엘비,356860,주식등의대량보유상황보고서(약식),20250709000156,insider
