rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260327,세방전지,004490,최대주주등소유주식변동신고서              ,20260327802922,insider
20260224,세방전지,004490,현금ㆍ현물배당결정              ,20260224800876,dividend
20251001,세방전지,004490,주식등의대량보유상황보고서(약식),20251001000335,insider
20250904,세방전지,004490,임원ㆍ주요주주특정증권등소유상황보고서,20250904000312,insider
20250822,세방전지,004490,자기주식처분결과보고서,20250822000239,buyback
20250818,세방전지,004490,[기재정정]주요사항보고서(자기주식처분결정),20250818000154,buyback
20250818,세방전지,004490,[기재정정]주요사항보고서(자기주식처분결정),20250818000149,buyback
20250806,세방전지,004490,최대주주등소유주식변동신고서              ,20250806800353,insider
20250806,세방전지,004490,임원ㆍ주요주주특정증권등소유상황보고서,20250806000202,insider
20250715,세방전지,004490,자기주식처분결과보고서,20250715000211,buyback
20250702,세방전지,004490,주식등의대량보유상황보고서(약식),20250702000279,insider
