rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260522,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260522000417,insider
20260515,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260515000192,insider
20260430,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260430000303,insider
20260410,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260410002238,insider
20260324,코스모신소재,005070,임원ㆍ주요주주특정증권등소유상황보고서,20260324000847,insider
20260324,코스모신소재,005070,최대주주등소유주식변동신고서              ,20260324801323,insider
20260324,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260324000788,insider
20260309,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260309001459,insider
20260226,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260226004432,insider
20260209,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260206002159,insider
20260121,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260121000340,insider
20260105,코스모신소재,005070,주식등의대량보유상황보고서(일반),20260105000209,insider
20260102,코스모신소재,005070,주식등의대량보유상황보고서(약식),20260102000197,insider
20251208,코스모신소재,005070,주식등의대량보유상황보고서(일반),20251208000203,insider
20251024,코스모신소재,005070,주식등의대량보유상황보고서(일반),20251024000178,insider
20251001,코스모신소재,005070,주식등의대량보유상황보고서(일반),20251001000499,insider
20250926,코스모신소재,005070,주식등의대량보유상황보고서(일반),20250926000084,insider
20250904,코스모신소재,005070,주식등의대량보유상황보고서(일반),20250904000321,insider
20250716,코스모신소재,005070,주식등의대량보유상황보고서(일반),20250716000074,insider
20250630,코스모신소재,005070,임원ㆍ주요주주특정증권등소유상황보고서,20250630000589,insider
