rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260407,롯데웰푸드,280360,최대주주등소유주식변동신고서              ,20260407800544,insider
20260407,롯데웰푸드,280360,임원ㆍ주요주주특정증권등소유상황보고서,20260407001771,insider
20260327,롯데웰푸드,280360,최대주주등소유주식변동신고서              ,20260327801330,insider
20260204,롯데웰푸드,280360,현금ㆍ현물배당결정              ,20260204800578,dividend
20260204,롯데웰푸드,280360,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20260204800569,dividend
20260106,롯데웰푸드,280360,최대주주등소유주식변동신고서              ,20260106800455,insider
20251202,롯데웰푸드,280360,최대주주등소유주식변동신고서              ,20251202800570,insider
20251001,롯데웰푸드,280360,주식등의대량보유상황보고서(일반),20251001000026,insider
20251001,롯데웰푸드,280360,최대주주등소유주식변동신고서              ,20251001800056,insider
20250829,롯데웰푸드,280360,주식등의대량보유상황보고서(약식),20250829001867,insider
20250725,롯데웰푸드,280360,주식등의대량보유상황보고서(일반),20250725000642,insider
20250701,롯데웰푸드,280360,주식등의대량보유상황보고서(일반),20250701000130,insider
