rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260521,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260521000437,insider
20260521,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260521000428,insider
20260521,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260521000391,insider
20260514,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260514000881,insider
20260514,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260514000862,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000575,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000562,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000543,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000531,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000508,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000496,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000484,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000468,insider
20260417,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260417000457,insider
20260410,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260410002648,insider
20260403,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260403002792,insider
20260323,NAVER,035420,[기재정정]주요사항보고서(자기주식처분결정),20260323001314,buyback
20260323,NAVER,035420,[기재정정]주요사항보고서(자기주식처분결정),20260323001243,buyback
20260323,NAVER,035420,[기재정정]주요사항보고서(자기주식처분결정),20260323001224,buyback
20260323,NAVER,035420,[기재정정]주요사항보고서(자기주식처분결정),20260323001206,buyback
20260319,NAVER,035420,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,20260319000756,insider
20260319,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260319000681,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313001006,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313001000,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000991,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000982,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000962,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000941,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000925,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000920,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000909,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000890,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000879,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000871,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000838,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000825,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000813,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000805,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000793,insider
20260313,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260313000756,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000691,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000680,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000676,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000666,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000658,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000635,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000617,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000605,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000597,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000586,insider
20260306,NAVER,035420,임원ㆍ주요주주특정증권등소유상황보고서,20260306000574,insider
