period,group_name,keywords,ratio,chunk_id
2021-01-01,auto,자동차|전기차|현대차|자동차부품,17.05927,0
2021-02-01,auto,자동차|전기차|현대차|자동차부품,10.03843,0
2021-03-01,auto,자동차|전기차|현대차|자동차부품,6.3418,0
2021-04-01,auto,자동차|전기차|현대차|자동차부품,5.98539,0
2021-05-01,auto,자동차|전기차|현대차|자동차부품,4.87055,0
2021-06-01,auto,자동차|전기차|현대차|자동차부품,4.94,0
2021-07-01,auto,자동차|전기차|현대차|자동차부품,4.88292,0
2021-08-01,auto,자동차|전기차|현대차|자동차부품,4.52501,0
2021-09-01,auto,자동차|전기차|현대차|자동차부품,4.34956,0
2021-10-01,auto,자동차|전기차|현대차|자동차부품,4.14673,0
2021-11-01,auto,자동차|전기차|현대차|자동차부품,3.97675,0
2021-12-01,auto,자동차|전기차|현대차|자동차부품,3.80198,0
2022-01-01,auto,자동차|전기차|현대차|자동차부품,4.37179,0
2022-02-01,auto,자동차|전기차|현대차|자동차부품,4.40642,0
2022-03-01,auto,자동차|전기차|현대차|자동차부품,5.3616,0
2022-04-01,auto,자동차|전기차|현대차|자동차부품,4.62996,0
2022-05-01,auto,자동차|전기차|현대차|자동차부품,4.56332,0
2022-06-01,auto,자동차|전기차|현대차|자동차부품,4.63054,0
2022-07-01,auto,자동차|전기차|현대차|자동차부품,4.80885,0
2022-08-01,auto,자동차|전기차|현대차|자동차부품,4.3479,0
2022-09-01,auto,자동차|전기차|현대차|자동차부품,3.87654,0
2022-10-01,auto,자동차|전기차|현대차|자동차부품,3.91255,0
2022-11-01,auto,자동차|전기차|현대차|자동차부품,3.82868,0
2022-12-01,auto,자동차|전기차|현대차|자동차부품,3.42202,0
2023-01-01,auto,자동차|전기차|현대차|자동차부품,3.7379,0
2023-02-01,auto,자동차|전기차|현대차|자동차부품,3.07212,0
2023-03-01,auto,자동차|전기차|현대차|자동차부품,3.58159,0
2023-04-01,auto,자동차|전기차|현대차|자동차부품,4.48348,0
2023-05-01,auto,자동차|전기차|현대차|자동차부품,3.84628,0
2023-06-01,auto,자동차|전기차|현대차|자동차부품,3.38091,0
2023-07-01,auto,자동차|전기차|현대차|자동차부품,3.6599,0
2023-08-01,auto,자동차|전기차|현대차|자동차부품,3.60082,0
2023-09-01,auto,자동차|전기차|현대차|자동차부품,3.13939,0
2023-10-01,auto,자동차|전기차|현대차|자동차부품,2.96443,0
2023-11-01,auto,자동차|전기차|현대차|자동차부품,3.07364,0
2023-12-01,auto,자동차|전기차|현대차|자동차부품,3.06142,0
2024-01-01,auto,자동차|전기차|현대차|자동차부품,3.45923,0
