,Open,High,Low,Close,Volume,Adj Close
2018-05-14,496.75,496.75,496.75,496.75,27859.0,496.75
2018-05-15,505.75,514.75,502.5,509.75,27920.0,509.75
2018-05-16,510.0,516.25,508.5,514.0,20250.0,514.0
2018-05-17,516.0,528.0,514.5,519.0,22939.0,519.0
2018-05-18,519.0,539.5,516.25,538.75,28951.0,538.75
2018-05-21,543.0,546.0,525.0,526.5,28969.0,526.5
2018-05-22,525.0,551.75,522.5,540.5,37935.0,540.5
2018-05-23,540.5,553.0,536.25,551.75,35086.0,551.75
2018-05-24,551.75,564.5,548.25,549.0,48642.0,549.0
2018-05-25,549.5,565.0,547.25,564.0,27975.0,564.0
2018-05-29,566.0,574.75,553.75,556.5,38189.0,556.5
2018-05-30,556.0,556.0,536.25,540.75,31382.0,540.75
2018-05-31,540.0,549.5,533.5,542.5,26662.0,542.5
2018-06-01,540.25,544.0,532.0,540.75,32717.0,540.75
2018-06-04,538.0,538.5,518.5,521.5,33221.0,521.5
2018-06-05,524.25,534.75,522.75,529.0,36773.0,529.0
2018-06-06,529.25,549.0,527.0,539.75,31821.0,539.75
2018-06-07,541.5,555.5,540.25,544.5,42632.0,544.5
2018-06-08,547.0,552.25,533.0,538.25,55472.0,538.25
2018-06-11,538.25,546.5,531.0,534.75,40837.0,534.75
2018-06-12,535.5,555.5,530.5,553.5,42656.0,553.5
2018-06-13,552.75,558.0,536.5,539.0,44323.0,539.0
2018-06-14,539.0,539.0,520.0,522.25,29223.0,522.25
2018-06-15,539.0,539.0,506.5,519.75,29846.0,519.75
2018-06-18,515.0,518.75,499.0,499.5,26247.0,499.5
2018-06-19,499.25,500.5,471.75,483.0,32816.0,483.0
2018-06-20,483.0,491.75,478.25,488.75,20289.0,488.75
2018-06-21,489.5,496.25,482.0,493.25,16868.0,493.25
2018-06-22,492.5,495.5,485.25,488.75,17340.0,488.75
2018-06-25,488.75,488.75,468.75,469.75,16386.0,469.75
2018-06-26,470.0,473.5,454.0,458.0,17252.0,458.0
2018-06-27,458.0,467.75,455.25,460.25,18352.0,460.25
2018-06-28,458.25,463.0,452.75,453.25,13073.0,453.25
2018-06-29,453.5,477.75,453.0,470.75,1945.0,470.75
2018-07-02,473.75,481.0,449.5,449.5,912.0,449.5
2018-07-03,459.0,463.75,459.0,462.25,0.0,462.25
2018-07-05,472.75,482.0,472.75,482.0,123.0,482.0
2018-07-06,484.5,492.25,481.5,492.25,65.0,492.25
2018-07-09,491.0,491.0,482.5,487.5,173.0,487.5
2018-07-10,477.75,483.75,471.5,483.75,161.0,483.75
2018-07-11,478.0,478.0,463.0,463.0,42.0,463.0
2018-07-12,466.5,471.0,466.5,470.25,20.0,470.25
2018-07-13,469.25,469.25,469.25,469.25,23293.0,469.25
2018-07-16,489.75,492.75,482.0,484.5,18996.0,484.5
2018-07-17,487.0,499.5,485.0,490.75,22367.0,490.75
2018-07-18,490.75,497.75,487.25,487.75,18052.0,487.75
2018-07-19,488.0,497.5,485.0,496.5,20080.0,496.5
2018-07-20,497.0,513.0,496.5,508.5,27241.0,508.5
2018-07-23,509.25,518.0,506.25,510.75,31260.0,510.75
2018-07-24,509.0,516.0,502.25,509.75,30464.0,509.75
2018-07-25,510.0,544.75,510.0,540.75,51160.0,540.75
2018-07-26,540.0,553.5,527.5,534.0,44956.0,534.0
2018-07-27,532.75,538.0,525.75,532.5,31098.0,532.5
2018-07-30,536.25,553.0,535.25,547.75,31951.0,547.75
2018-07-31,547.0,564.25,542.75,556.5,44745.0,556.5
2018-08-01,556.25,569.25,553.0,563.75,36430.0,563.75
2018-08-02,564.0,597.25,563.5,569.25,53513.0,569.25
2018-08-03,571.75,577.25,564.25,567.25,31949.0,567.25
2018-08-06,567.0,587.25,563.5,586.0,31089.0,586.0
2018-08-07,586.0,598.75,578.0,579.5,33871.0,579.5
2018-08-08,579.5,590.5,578.0,584.25,36337.0,584.25
2018-08-09,584.25,587.5,574.25,578.5,27687.0,578.5
2018-08-10,578.0,585.5,559.0,559.75,40296.0,559.75
2018-08-13,559.5,561.75,540.0,540.75,32924.0,540.75
2018-08-14,541.25,552.5,539.75,545.75,21393.0,545.75
2018-08-15,547.5,549.0,533.75,535.25,32102.0,535.25
2018-08-16,536.0,552.5,534.0,547.5,17016.0,547.5
2018-08-17,549.5,568.75,542.25,565.0,20966.0,565.0
2018-08-20,565.75,567.25,544.5,547.25,14235.0,547.25
2018-08-21,549.25,549.25,533.25,534.5,13783.0,534.5
2018-08-22,534.5,539.25,524.5,530.0,15184.0,530.0
2018-08-23,535.75,538.5,518.25,527.25,14496.0,527.25
2018-08-24,527.75,527.75,517.5,519.25,12407.0,519.25
2018-08-27,518.25,518.75,500.75,501.75,20343.0,501.75
2018-08-28,501.25,508.0,498.25,499.25,14870.0,499.25
2018-08-29,498.5,524.0,497.75,519.75,14267.0,519.75
2018-08-30,521.0,527.25,507.25,512.25,6977.0,512.25
2018-08-31,515.5,523.0,513.5,523.0,0.0,523.0
2018-09-04,503.5,508.5,494.75,508.0,202.0,508.0
2018-09-05,507.0,511.75,501.75,501.75,40.0,501.75
2018-09-06,497.25,500.5,490.5,490.5,10.0,490.5
2018-09-07,489.5,489.5,488.5,488.5,3.0,488.5
2018-09-10,495.0,503.75,495.0,503.75,34.0,503.75
2018-09-11,496.25,496.25,494.25,494.25,7.0,494.25
2018-09-12,496.0,496.0,475.5,482.5,14.0,482.5
2018-09-13,477.5,477.5,477.5,477.5,0.0,477.5
2018-09-14,479.0,479.0,479.0,479.0,24178.0,479.0
2018-09-17,517.5,522.75,511.25,512.75,19133.0,512.75
2018-09-18,511.75,521.0,510.75,516.0,18743.0,516.0
2018-09-19,516.75,527.5,516.0,526.25,24961.0,526.25
2018-09-20,526.25,529.75,519.0,527.0,18213.0,527.0
2018-09-21,525.0,528.25,519.5,525.25,17096.0,525.25
2018-09-24,525.25,534.25,523.5,529.0,17164.0,529.0
2018-09-25,528.25,530.0,518.5,522.0,21596.0,522.0
2018-09-26,522.25,530.0,520.25,521.0,14950.0,521.0
2018-09-27,519.5,526.5,515.75,517.25,15360.0,517.25
2018-09-28,516.5,524.25,510.0,511.25,31261.0,511.25
2018-10-01,513.25,517.75,506.5,511.5,24120.0,511.5
2018-10-02,512.5,526.75,507.5,522.5,35306.0,522.5
2018-10-03,524.25,530.75,517.75,518.75,21045.0,518.75
2018-10-04,518.75,525.5,518.0,522.25,18563.0,522.25
2018-10-05,522.0,528.5,520.25,524.25,19517.0,524.25
2018-10-08,526.5,528.75,516.0,517.5,19152.0,517.5
2018-10-09,517.5,524.5,515.5,519.5,20844.0,519.5
2018-10-10,521.0,522.25,515.25,516.25,12788.0,516.25
2018-10-11,516.25,527.0,510.5,513.75,27993.0,513.75
2018-10-12,513.75,525.0,512.5,524.25,20220.0,524.25
2018-10-15,524.5,532.5,521.75,531.75,22186.0,531.75
2018-10-16,532.25,533.25,526.5,528.0,16981.0,528.0
2018-10-17,528.25,528.25,519.75,521.0,12199.0,521.0
2018-10-18,519.25,522.75,514.25,514.75,16341.0,514.75
2018-10-19,515.0,519.75,512.25,516.25,12532.0,516.25
2018-10-22,515.0,515.75,506.25,507.75,27385.0,507.75
2018-10-23,508.5,510.0,502.5,507.5,23488.0,507.5
2018-10-24,507.75,509.5,495.5,497.0,23388.0,497.0
2018-10-25,497.0,497.5,485.25,486.5,30639.0,486.5
2018-10-26,486.5,503.25,486.5,500.25,35760.0,500.25
2018-10-29,504.75,510.25,497.0,501.5,20758.0,501.5
2018-10-30,498.5,501.25,491.5,494.75,23653.0,494.75
2018-10-31,494.25,495.0,484.5,493.25,35319.0,493.25
2018-11-01,493.0,504.0,492.75,501.25,30482.0,501.25
2018-11-02,501.5,505.75,497.75,504.25,24774.0,504.25
2018-11-05,504.25,507.5,500.0,504.75,20853.0,504.75
2018-11-06,504.75,510.75,503.25,508.0,21250.0,508.0
2018-11-07,507.75,509.25,501.0,502.25,30096.0,502.25
2018-11-08,500.0,506.25,492.25,497.25,45107.0,497.25
2018-11-09,496.5,496.75,487.0,487.5,38549.0,487.5
2018-11-12,487.5,496.25,486.0,493.5,36215.0,493.5
2018-11-13,492.75,495.25,483.25,486.5,25710.0,486.5
2018-11-14,487.25,491.25,480.25,481.0,26179.0,481.0
2018-11-15,480.75,485.25,478.75,480.0,29568.0,480.0
2018-11-16,479.0,484.5,479.0,482.75,13579.0,482.75
2018-11-19,483.0,484.0,470.0,474.25,24453.0,474.25
2018-11-20,473.0,476.25,469.75,473.0,19777.0,473.0
2018-11-21,473.25,475.25,468.0,469.0,15220.0,469.0
2018-11-23,470.25,474.5,460.75,461.25,15629.0,461.25
2018-11-26,465.25,466.5,459.75,464.5,29033.0,464.5
2018-11-27,464.75,469.0,456.75,458.5,22882.0,458.5
2018-11-28,459.25,469.0,458.0,467.0,27186.0,467.0
2018-11-29,466.75,472.5,465.0,466.0,17516.0,466.0
2018-11-30,466.5,488.0,466.5,486.5,3638.0,486.5
2018-12-03,492.0,495.0,478.75,484.0,386.0,484.0
2018-12-04,484.75,486.0,483.75,483.75,89.0,483.75
